Financing gap (+=deficit / - surplus)                                       -68          -10          610        602          404       414         272        279           28         57             0          0          0
Exceptional financing (excluding IMF)                                            =              -            493         488           292         302           160         167               0          29              0            i)            0
Residual gap                                                                                    oe               eee             117          114            112          112            112          112              28           28                0             0             0
IMF-EFF                                                     pon         ae        117      114       112      112       112      112        28       28         0        it)        0
Remaining Gap                                                                                                                0                          0             0           0             0           0             0           0           0
Memorandum items:
Gross government deposits in BEAC                                          532.4        232.1         232.1      315.0        311.2      345.8        505.3      469.0        542.9      628.0        901.9 1215.3 1506.6
o/w Fund for Future Generations or Stabilization Fund                    146.6          150.2           150.2         47.2          229.3         60.5         327.6       183.7          461.0       342.7          616.6       930.0 1221.3
Statutory advances from BEAC                                                          452.5         452.5          452.5       452.5          452.5       452.5         452.5       452.5          452.5       452.5         452.5       402.5       352.5
Stock of arrears 5/                                                                            sx         795.5          405.3       570.0         178.9      266.9          76.9        92.4             0.0          0.0            0.0          0.0          0.0
External                                                                                                                                             aaa              156.9                     0.0          113.4                    0.0               0.0                  0.0               0.0                    0.0               0.0                   0.0               0.0               0.0
Domestic                                                                                                                          _            638.6             405.3         456.6             178.9         266.9              76.9           92.4                  0.0              0.0                 0.0              0.0              0.0
VAT Reimbursement                                                                         ma         347.8          305.8       326.9          178.9       266.9          76.9        92.4             0.0          0.0             0.0          0.0          0.0
Exceptional float 6/                                                                          =         248.8            99.5         87.9             0.0          0.0            0.0          0.0             0.0          0.0             0.0          0.0          0.0
Debt service                                                                              =          42.0             0.0        41.8            0.0         0.0           0.0         0.0            0.0         0.0            0.0         0.0         0.0
Non-oil primary balance excluding capital transfers (NOPD)            -513          -646          -559       -582          -388       -446         -295       -422          -231        -240         -194       -118         -39
"as percent of non-oil GDP                                                     -9.0         -11.0           a        =—O7          -6.1        =71          -4,3        -6.4          34        =33          “25        =15        -0.5"
"Non-oil GDP at market prices                                                   5,676        5,885         6,108      6,007        6406 6,289        6,852      6,625        7,376      7,186        7,698      8,106 8634"
Sources: Gabonese authorities and IMF staff estimates and projections.
"1/ Staff report on the First Review on the Extended Arrangement Under the Extended Fund Facility (December 4, 2017: IMF Country Report No. 17/408)."
2/ Includes net transfers to special funds financed by earmarked revenues.
3/ Records cash expenditure on payment orders issued the previous year minus payment orders settled the next year.
"4/ Includes bonds held by the non-bank sector, repayment of VAT reimbursement arrears, and securitization of previous extra-budgetary spending."
"5/ The clearance of the exceptional float and interest arrears are classified as part of the adjustment to cash basis above the line, while all other clearance of arrears are recorded"
below the line.
"6/ After 2017, exceptional float becomes zero and regular float cannot exceed 10 percent of the sum of current spending (excluding wages and interest)"
plus domestically-financed investment.
36) = INTERNATIONAL MONETARY FUND
