 COVID 19 related spending                                                                                        1.2
Primary balance                                                  -0.4    -0.3         0.7           1.0          -5.8         1.2            -1.6     1.0     1.2     1.2     1.3
Overall balance                                                  -3.0    -2.8        -1.8          -1.7          -8.8         -1.2           -4.1    -1.4    -1.1    -0.9    -0.7
Net other liabilities                                            -0.4    -1.0        -3.3          -2.2          -2.5         -0.9           -1.0    -0.8    -0.2    -0.2    -0.2
 Onlending to SOEs for investment purpose                        -2.4    -0.8        -0.8          -1.0          -1.1         -0.5           -0.6    -0.1    -0.3    -0.2    -0.2
 Other onlending (net)                                            2.6     2.0        -0.3          -0.6          -0.7         0.1             0.1    -0.6    0.1      0.1     0.0
            Disbursement                                          0.0     0.0        -1.2          -0.7          -0.8         0.0             0.0    -0.7    0.0      0.0     0.0
            Repayment                                             2.6     2.0         0.9           0.1           0.1         0.1             0.1     0.1    0.1      0.1     0.0
 Capitalization                                                  -0.7    -2.2        -2.2          -0.7          -0.8         -0.5           -0.5    0.0     0.0     0.0      0.0
 Other                                                            0.0     0.0         0.0           0.1           0.1         0.0             0.0     0.0    0.0      0.0     0.0
Financing Needs                                                    3.3    3.9         5.1           3.9          11.3         2.1             5.1     2.2     1.3     1.1     0.9
""
Total financing                                                    4.2    2.9         4.3           3.9           4.4         2.1             5.1     2.2     1.3    1.1      0.9
     Net domestic financing                                        0.2    1.4         0.7           0.4           0.4         0.4             2.9     1.3     0.8    1.2      0.3
     Net external financing                                        4.0    1.5         3.6           3.6           4.0         1.7             2.2     0.8     0.5    -0.2     0.6
      Disbursement                                                 5.9    3.4         5.8           5.8           6.5         4.8             5.3     4.8     4.3    3.4      4.0
           Budget Loans                                            1.3    1.2         3.1           1.5           1.7         1.5             1.7     1.4     1.3    1.2      1.1
           Project and Program Loans                               2.2    1.3         1.8           3.3           3.7         2.7             3.1     3.2     2.7    2.0      2.6
           Loans to on lend to SOEs 2/                             2.4    0.8         0.8           1.0           1.1         0.5             0.6     0.1     0.3    0.2      0.2
       Amortization                                                1.9    1.9         2.1           2.2           2.5         3.0             3.1     3.9     3.8    3.6      3.4
Net errors and omissions (+ overfinancing)                         0.8   -1.0        -0.8           0.0           0.0         0.0             0.0     0.0     0.0     0.0     0.0
Additional Financing Needs:                                                                                       6.9
Prospective Financing:                                                                                            6.9                         …       …       …       …       …
Additional Grants:                                                                                                0.4                         …       …       …       …       …
 EU                                                                                                               0.4                         …       …       …       …       …
 Others                                                                                                           0.0                         …       …       …       …       …
Additional Loans:                                                                                                 4.0                         …       …       …       …       …
 Prospective RCF                                                                                                  1.7                         …       …       …       …       …
 Prospective Additional Financing from the WB                                                                     1.3                         …       …       …       …       …
 Prospective Additional Financing from AfDB                                                                       0.9                         …       …       …       …       …
 Additional Domestic Financing:                                                                                   2.6                         …       …       …       …       …
Memorandum items:
    GDP at current market prices (billions of CVEsc)             173.1      183.7  195.2          210.3          187.6        224.3          200.4   217.4   234.9   252.9   272.3
Sources: Cabo Verdean authorities; and IMF staff estimates and projections.
"1/ Includes budgetary central government (BCG) and extra budgetary central government (ECG), but excludes social security funds."
2/ On lend to SOEs for public investment execution.
""
""
""
""
                                                                                                                                INTERNATIONAL MONETARY FUND                         13
