         other subsidies and transfers                                             2.3        2.1            2.2        2.2           1.0     2.1          ...       2.4        1.9        1.9        2.8        2.6       2.7      2.8      2.9
   Interest on debt                                                      0.8       1.1        0.9            1.1        1.0           0.3     0.6        1.1         1.0        0.8        0.8        1.0        0.7       1.0      1.0      1.0
     Domestic debt                                                       0.7       0.8        0.7            0.9        0.8           0.2     0.3        0.8         0.7        0.6        0.6        0.7        0.5       0.7      0.7      0.7
     External debt                                                       0.2       0.3        0.2            0.2        0.3           0.1     0.2        0.2         0.2        0.2        0.2        0.3        0.3       0.3      0.3      0.3
   Capital expenditure                                                   7.6       4.7        5.7            6.5        6.5           1.3     3.4        6.1         7.5        7.6        7.6        8.8        7.1       6.6      6.9      6.9
     Domestically financed                                               5.1       4.4        3.4            2.4        2.2           0.6     1.4        2.2         3.3        3.5        3.5        4.7        3.6       3.7      4.1      4.2
       Investment (central budget exec.)                                 5.0       4.3        3.4            2.3        2.1           0.6     1.4        2.1         3.2        3.4        3.4        4.7        3.5       3.7      4.1      4.2
          Local Development Fund                                                               …              …          …             …       …          …           …         0.4        0.4         …         0.4       0.4      0.4      0.4
         Capital transfers                                               0.1       0.1         0.1           0.0         0.0           0.0     0.0        0.0         0.0       0.0         0.0       0.0        0.1        0.0     0.0      0.0
       Externally financed                                               2.5       0.4         2.3           4.1         4.3           0.7     2.0        4.0         4.2       4.1         4.1       4.1        3.5        2.9     2.7      2.7
     Net lending and restructuring expenditures                          0.0       0.1         0.1           0.1         0.1           0.0     0.0        0.1         0.0       0.1         0.1       0.0        0.1        0.1     0.1      0.1
    Adjustment measures                                                   …         …           …                       -0.0            …       …          …                    0.0         0.0        …         0.0        0.0     0.0      0.0
Basic fiscal balance²                                                   -5.4      -0.7       -1.1            0.8        0.8           1.6     0.9        0.8         1.0        0.9        0.9        1.1        1.0       1.0      0.9      0.9
""
Overall balance
 Excluding grants                                                       -8.0      -1.3        -3.6          -3.5        -3.8           0.8    -1.3       -3.4        -3.4       -3.4       -3.4       -3.3       -2.7      -2.1     -2.1    -2.0
 Including grants                                                       -6.9      -0.1        -2.0          -2.2        -2.0           1.2     0.0       -2.2        -2.2       -2.3       -2.3       -2.0       -1.7      -0.9     -1.0    -1.0
 Float                                                                                                                                 0.4    -0.5
Financing                                                                6.8       0.1         2.0           2.2         2.0          -1.6   -0.5        2.2          2.2       2.3        2.3        2.0        1.7        0.9     1.0      1.0
  Domestic financing                                                     4.6       0.4         1.2          -1.0        -0.8          -1.6   -1.2       -1.0         -0.9      -0.8       -0.8       -0.7       -0.8       -0.7    -0.6     -0.5
   Bank financing                                                        3.9       0.6         1.4          -0.1        -0.1          -1.1   -1.4       -0.1         -0.1      -0.1       -0.1       -0.0       -0.1       -0.1    -0.1     -0.1
      Net position at central bank                                       2.7       0.4         0.5          -0.3        -0.3          -1.2   -1.6       -0.3         -0.3      -0.2       -0.2       -0.2       -0.3       -0.2    -0.2     -0.2
      Commercial banks                                                   1.2       0.3         0.9           0.2         0.2           0.1    0.2        0.2          0.2       0.2        0.2        0.2        0.1        0.1     0.1      0.1
   Nonbank financing                                                     0.7      -0.4        -1.2          -0.5        -0.7          -0.1   -0.2       -0.5         -0.6      -0.4       -0.4       -0.7       -0.4       -0.4    -0.3     -0.3
      Privatization revenue                                              0.0       0.0         0.0           0.0         0.0           0.0    0.0        0.0          0.0       0.0        0.0        0.0        0.0        0.0     0.0      0.0
      Borrowing/Amortization of domestic debt (net)                     -0.2      -0.4        -1.3          -0.5        -0.7          -0.1   -0.2       -0.5         -0.6      -0.5       -0.5       -0.6       -0.4       -0.4    -0.3     -0.3
      Other / Exceptional revenue                                        0.4       0.0         0.1           0.0         0.0           0.0    0.0       -0.4          0.0       0.0        0.0        0.0        0.0        0.0     0.0      0.0
   Change in arrears                                                     0.5       0.2         1.0          -0.4        -0.1          -0.4    0.4       -0.4         -0.3      -0.3       -0.3       -0.1       -0.3       -0.2    -0.2     -0.2
""
    External financing (net)                                             2.2      -0.3         0.9           3.2         2.8          -0.0     0.7        3.1         3.0        3.1        3.1        2.7        2.4       1.6      1.6     1.5
       Drawings                                                          2.5       0.3         1.3           3.9         3.5           0.3     1.1        3.8         3.6        3.7        3.7        3.4        3.1       2.2      2.2     2.2
          Project                                                        2.1       0.3         1.3           3.3         3.0           0.3     0.6        3.7         3.5        3.4        3.4        3.3        2.8       2.1      2.1     2.1
          Program                                                        0.4       0.0         0.0           0.6         0.5           0.0     0.5        0.1         0.1        0.3        0.3        0.1        0.3       0.1      0.1     0.1
       Amortization due                                                 -0.6      -0.6        -0.4          -0.7        -0.7          -0.3    -0.4       -0.6        -0.5       -0.6       -0.6       -0.7       -0.6      -0.5     -0.6    -0.6
       Debt relief                                                       0.1       0.0         0.0           0.0         0.0           0.0     0.0        0.0         0.0        0.0        0.0        0.0        0.0       0.0      0.0     0.0
       Change in cap. arrears (- = reduction)                            0.1      -0.0        -0.0           0.0         0.0          -0.0    -0.0        0.0         0.0        0.0        0.0        0.0        0.0       0.0      0.0     0.0
     Change in int. arrears (- = reduction)                              0.0      -0.0         0.0           0.0         0.0           0.0     0.0        0.0         0.0       0.0         0.0       0.0        0.0        0.0     0.0      0.0
     Non Paris Clus bilateral rescheduling                               0.0       0.0        0.1            0.0        0.0           0.0     0.0        0.0         0.0        0.0        0.0        0.0        0.0       0.0      0.0      0.0
Financing gap                                                            0.0       0.0        0.0            0.0        0.0           0.0     0.0        0.0         0.0        0.0        0.0        0.0        0.0       0.0      0.0      0.0
""
Memorandum items:
Primary fiscal balance                                                   -6.1       0.9       -1.1          -1.1        -1.0         1.5     0.6         -1.1        -1.2       -1.5       -1.5       -1.0       -0.9        0.0    -0.0     0.0
"  Nominal GDP (GNF billion)                                           65,829    77,899     94,524       106,561     109,691     109,691 109,691      109,691     122,055    126,356    126,356    129,548    144,860    165,893 188,527 213,367"
Sources: Guinean authorities; Fund staff estimates and projections.
¹ Based on GFSM 1986 due to data availability limitations.
² Total revenue excluding grants minus expenditures excluding interest on external debt and foreign-financed capital expenditures.
3
    2019 budget law presented to the Parliament.
4
    Supplementary budget law 2018 approved in August.
""
""
""
""
                                                                                                                                                                 INTERNATIONAL MONETARY FUND                                                  29
