Central African Republic                  7.2     4.6    -2.0     1.8          2.7          5.4       11.0         2.4       3.3      1.6    2.5     2.5     2.5
Chad                                      3.1     4.4    -1.7     3.0          1.0          3.8        5.8         3.1       2.6      3.0    3.0     3.0     3.0
"Congo, Republic of                        1.8     0.9     1.4     0.6          1.5          3.5        3.5         3.2       3.3      3.2    3.1     3.0     3.0"
Equatorial Guinea                        -0.2     2.6     4.1    -0.5          2.9          4.9        6.0         3.0       5.5      5.0    4.5     4.0     3.0
Gabon                                     1.1     6.3     1.0     1.6          1.7          4.6        4.0         2.0       2.6      2.7    2.7     2.7     2.7
CEMAC                                     1.2     3.0     1.7     1.7          2.6          3.5        4.6         2.4       3.1      2.6    2.6     2.5     2.4
""
                                                                                                  (in percentage of GDP)
Gross National Savings
Cameroon                                 16.3    15.7    14.4   13.5          14.4         18.8       16.1        19.9      17.4    18.9    20.3    21.7    23.0
Central African Republic                  5.6     8.5     9.6   10.3           5.0          5.3        1.3         8.0       6.1     9.0    10.7    11.3    12.8
Chad                                     13.6    17.8    18.9   16.1          18.1         23.0       24.6        24.8      26.3    25.7    24.2    22.5    22.0
"Congo, Republic of                       31.4    34.1    40.7   31.2          36.3         41.1       48.4        33.7      36.4    30.8    29.9    28.0    26.5"
Equatorial Guinea                         6.2    10.4    10.0    0.4           1.3          8.1        7.9         8.1       7.7     4.6     4.5     4.0     4.1
Gabon                                    23.1    23.3    27.1   24.0          26.8         28.9       27.8        30.0      27.1    25.5    26.6    26.8    27.1
CEMAC                                    17.4    19.0    20.2   16.1          18.0         22.4       21.6        22.5      21.0    20.6    21.2    21.5    22.0
""
Gross Domestic Investment
Cameroon                                 19.4    19.5    18.9   17.7          17.9         20.4       17.7        22.8      19.5    22.1    23.6    24.8    25.9
Central African Republic                 13.5    16.4    14.7   18.9          15.7         16.3       15.2        16.5      15.3    16.2    17.5    17.8    18.5
Chad                                     20.7    18.9    23.2   23.4          22.3         22.2       23.2        27.2      29.0    30.5    29.8    28.7    28.0
"Congo, Republic of                       37.3    25.2    23.8   17.7          21.8         23.9       26.8        25.7      27.9    28.1    27.8    26.4    25.5"
Equatorial Guinea                        14.0    12.5    10.9    4.6           4.8          9.5        9.5        10.0       9.8     9.8    10.9    11.0    11.1
Gabon                                    31.8    28.2    32.1   30.9          32.5         28.0       28.2        31.1      29.5    28.5    29.0    28.8    28.7
CEMAC                                    23.1    20.7    21.4   19.2          20.1         21.0       20.2        23.6      22.2    23.6    24.4    24.7    25.0
Sources: Authorities' data; and IMF staff estimates and projections.
1
    Refers to the projection published in the IMF Country Report No 22/208.
""
""
""
""
32         INTERNATIONAL MONETARY FUND
