  Transfers                                                           8.8        9.0        9.1       9.2        9.7       10.0       10.0       9.9       10.0        9.9       10.0       9.7        9.9
 Capital expenditure                                                  3.8        3.8        3.4       3.1        3.1        3.2        3.2       3.2        3.2        3.2        3.3       3.2        3.3
 Payment for financial assets                                         0.2        0.8        0.2       0.4        0.3        1.3        1.3       1.2        1.2        0.8        1.1       0.5        0.9
 Contingency                                                          0.0        0.0        0.0       0.0        0.0        0.0        0.0       0.1        0.1        0.1        0.1       0.1        0.1
Primary balance                                                       -0.9      -1.4       -0.5       -0.9       -0.7      -2.2        -2.4      -2.2       -2.3      -1.7       -2.0       -1.2      -1.6
Overall balance                                                       -4.0      -4.7       -4.0       -4.5       -4.5      -6.2        -6.5      -6.6       -6.7      -6.4       -6.7       -6.1      -6.7
Financing                                                              4.0       4.7        4.0        4.5       4.5        6.2         6.5       6.6       6.7        6.4        6.7        6.1       6.7
   Domestic Debt (net)                                                 4.2       3.9        3.6        4.4       3.8        6.0         6.3       5.9       6.0        5.8        6.1        5.6       6.1
   External Debt (net)                                                 0.2      -0.1        0.8        0.6       0.5        0.5         0.5       0.6       0.6        0.7        0.7        0.6       0.6
   Transactions in Assets and Liabilities                              0.4       1.1        0.4        0.4       0.3        0.4         0.4       0.1       0.1        0.1        0.1        0.1       0.1
   Use of cash and other balances                                     -0.8      -0.1       -0.9       -1.0       0.0       -0.6        -0.6       0.1       0.1       -0.2       -0.2       -0.2      -0.2
Structural primary balance (percent of potential GDP)                 -0.8      -1.0       -0.1       -0.3       0.0            …      -0.8        …       -0.7          …       -0.8         …       -0.7
""
Gross government debt 3/                                             46.5       48.9       50.5      52.9       56.6       60.8       61.9      64.9       66.3       68.5      70.6       71.3       74.3
Memorandum items:
 National budget primary balance (percent of GDP)                     -1.7      -2.0       -0.9       -1.4       -1.3      -2.7        -2.9      -2.7       -2.8      -2.1       -2.5       -1.6      -2.0
 National budget overall balance (percent of GDP)                     -4.7      -5.1       -4.2       -4.9       -5.0      -6.6        -6.9      -6.9       -7.0      -6.6       -7.0       -6.3      -6.9
 SOE Debt Guarantees 4/                                                8.2       9.0        9.4        9.4      10.5         …           …         …          …         …          …          …         …
" Fiscal year GDP (billions of rand)                                 3,866     4,127      4,420      4,702      4,925     5,211       5,173     5,530      5,487     5,893      5,826      6,283     6,196"
 Fiscal year real GDP growth (percent)                                 1.8       0.4        0.8        1.6        0.4       0.9         0.7       1.2        0.7       1.6        1.2        1.8       1.4
 Fiscal year GDP Deflator growth (in percent)                          5.2       6.3        6.2        4.8        4.3       4.9         4.3       4.9        5.4       4.9        4.9        4.7       4.9
 Fiscal year nominal GDP growth (percent)                              7.1       6.8        7.1        6.4        4.7       5.9         5.0       6.1        6.1       6.6        6.2        6.6       6.4
""
Sources: South African National Treasury and Fund staff estimates and projections.
""
"1/ Data are on a fiscal year basis (April 1-March 31). Consolidated government corresponds to the national government, social security funds, provincial governments, and some public entities. Local"
governments are only partially captured through the transfers sent to them by the national government. The authorities' projections are based on the 2018 Budget Review.
2/ Non- tax revenue excludes transactions in financial assets and liabilities. These transactions are classified as a domestic financing item given that they involve primarily revenues associated with
realized exchange rate valuation gains from the holding of foreign currency deposits and other conceptually similar smaller items.
3/ Covers only national government debt.
4/ Sourced from Table 11 of the Statistical Annex of the 2019 Budget Review.
""
""
""
""
                                                                                                                                     INTERNATIONAL MONETARY FUND                                            41
