"                                         Financial Public Sector                               1,165                620              2,375            4,488        8,648           8,296              655            1,687          2,443                3,277         502          816         4,698            12,138"
"                                         Private LETES                                         1,304                935              1,198            1,151        4,587           4,276            1,090            1,216               374             3,553        3,509        3,491        5,897             7,392"
"                                         Private Other                                             656                  24               14                15        709             714                  13          798                334             1,605          47           46         8,349             2,799"
"                                  IMF Debt Service                                                 -                -                    -             -             -               -                100             100                100              847          591          561         2,409             4,468"
"                                    of which: Amortization                                         -                -                    -             -             -               -                -                -                 -                -            -            -                -            1,875"
"                                         Total Needs                                           8,317             6,081             12,716            18,498      45,612           44,435            6,726            7,431         10,454            27,664       10,144       13,408         54,930            77,430"
"                                  Deposit drawdown (- = accumulation)                              691          (6,601)              3,218           (1,770)       (4,462)          (894)           2,782            2,372          (7,813)              6,103    (2,227)          6,186         (634)           (1,377)"
"                                  IFIs                                                             -                -                    -            1,550        1,550           2,000              -                -                 -               1,400         700          900         2,988             2,866"
"                                  Public Sector 1/                                             2,287             1,095               6,002            7,605       16,989          16,729            2,588            3,087          5,701                7,026        3,179        2,144       13,406            29,253"
"                                  Private Sector Issuances                                     5,339             5,847               3,496            3,413       18,095          13,160            1,356            1,972          1,646                7,675        3,032        3,197       35,251            44,727"
"                                    FX LETES                                                   1,479             1,310               1,840             479         5,108           3,435              805             965           1,293                4,838         721          721         7,314             7,314"
"                                    Peso LECAPs                                                3,860             4,537               1,352            1,380       11,128           7,337              552            1,007               354             2,837        2,311        2,476        5,897             7,392"
"                                    FX Other                                                       -                -                    -            1,547        1,547           2,031              -                -                 -                -            -            -           6,609            17,722"
INTERNATIONAL MONETARY FUND 333
""
""
""
""
"                                    Peso Other                                                     -                -                    304                8        311             357              -                -                 -                -            -            -          15,431            12,299"
"                                         Total Sources                                         8,317                341            12,716            10,798      32,172           30,995            6,726            7,431           (466)           22,204           4,684    12,428         51,010            75,470"
"                                  Total Gap                                                            0        5,740                        0       7,700       13,440                                   (0)              0       10,920            5,460        5,460             980        3,920             1,960"
"                                    FX                                                                 0         5,740                       0        7,700       13,440                                  (0)              0        9,772                2,707        4,323        2,273        9,346             7,699"
"                                    Peso                                                               0                (0)                  0             (0)           0                                (0)              (0)      1,148                2,753        1,137    (1,293)         (5,426)           (5,739)"
"                                  IMF Disbursements                                                -            5,740                    -           7,700       13,440                               -               -            10,920            5,460        5,460             980        3,920             1,960"
""
                                  Memo Items:
                                  Private Rollover Rates (FX)                                      87%              72%                  50%           50%                                            50%             50%                50%              55%          65%          70%          146%              192%
                                  Private Rollover Rates (AR$) 3/                               197%             473%                113%             120%                                            50%             50%                50%              55%          65%          70%          150%              193%
"                                  1/ Assumes that both financial and non-financial public sector roll over 100 percent of amortizations. In addition, non-financial public sector capitalizes interest."
"                                  2/ Compared to the first review, these years were revised to include amortizations and interest payments of debt issued in 2018 and 2019, in line with assumptions used in the DSA."
""
""
""
""
                                                                                                                                                                                                                                                                                                                             ARGENTINA
                                  3/ Includes new debt issuances in 2018. Rollover of existing amortizations assumed to be 50 percent.
