   External                                               -1.0    -3.4     -0.3    5.0    3.0    -0.2       …     0.3    -1.7   -1.5   -1.5   -1.0   -0.7
     Hydrocarbon revenue fund (net)                       -0.1    -1.4      1.5    0.0    0.2     0.0       …     0.0    -0.1   -0.4   -0.5   -0.5   -0.5
      Oil and gas revenue                                 -0.9    -2.8     -0.8   -0.4   -0.2    -0.4       …    -0.4    -0.7   -1.3   -1.5   -1.4   -1.4
      Transfer to the budget                               0.8     1.4      2.2    0.4    0.4     0.4       …     0.4     0.5    0.8    1.0    0.9    0.9
     Other                                                -1.0    -2.0     -1.8    5.0    3.0    -0.2       …     0.3    -1.6   -1.1   -1.0   -0.5   -0.2
      Borrowing (net)                                     -0.8    -1.9     -1.8   -1.3   -1.5    -1.5       …    -1.4    -0.9   -0.4   -0.3   -0.2    0.1
          Disbursements                                    1.5     0.9      1.2    1.8    1.1     1.8       …     1.8     1.8    2.2    2.2    2.2    2.2
          Amortization                                    -2.2    -2.8     -2.9   -3.1   -2.6    -3.2       …    -3.2    -2.7   -2.5   -2.4   -2.5   -2.2
"      Exceptional financing - debt relief (HIPC, DSSI)     0.0     0.1      0.1    1.5    1.5     0.0       …     1.3    -0.7   -0.8   -0.7   -0.2   -0.2"
      IMF (RCF)                                            0.0     0.0      0.0    2.1    2.1     0.0       …     0.0     0.0    0.0    0.0    0.0    0.0
"      IMF (ECF, actual and prospective)                    0.0     0.0      0.0    1.2    0.8     0.0       …     0.4     0.0    0.0    0.0    0.0    0.0"
      Expected official grants 3/                          0.0     0.0      0.0    1.5    0.0     0.0       …     0.0     0.0    0.0    0.0    0.0    0.0
""
 Residual financing gap                                     …       …        …     0.0    0.0     1.3       …     0.0    0.0     0.0    0.0    0.0    0.0
""
 Errors and omissions                                      0.0    -0.1     0.0     0.0    0.1     0.0       …     0.0    0.0     0.0    0.0    0.0    0.0
 Memorandum items:
""
     Non-extractive primary balance (excl. grants)        -1.8     0.1     -0.2   -5.1   -1.5    -1.6     -5.3   -6.2    -3.1   -3.3   -3.2   -2.8   -2.5
     Non-extractive primary balance                       -1.0     0.6      1.7   -4.5    1.2    -1.2     -3.7   -5.5    -2.6   -2.9   -2.8   -2.5   -2.2
     Overall balance (in percent of GDP)                   0.0     2.5      2.0   -3.8    2.1    -0.8     -2.0   -2.5    -0.5   -0.5   -0.4   -0.4   -0.2
     Basic budget balance (excl. grants) 4/                0.9     3.4      2.5   -3.3    2.3     0.4     -2.7   -2.5     0.7    1.1    1.2    1.4    1.6
     Social spending                                       4.2     3.9      4.1    6.1    6.3     4.9       …     6.7     7.2    7.7    8.3    8.9    9.5
     Poverty-reducing expenditure                          4.2     3.9       …    13.4     …     11.5       …      …       …      …      …      …      …
""
 Sources: Mauritanian authorities; and IMF staff estimates and projections.
 1/ Including transfers to public entities outside the central government.
 2/ Adjusted for half of additional/shortfall in extractive revenue.
 3/ Disbursed official grants moved above the line for 2020 projection.
 4/ Overall balance excluding foreign-financed investment expenditure.
""
""
""
""
30       INTERNATIONAL MONETARY FUND
