 Net financial assets                                       7.3           89.2       -116.7       -116.7         -94.8           0.0          0.0           0.0       0.0       0.0
   Domestic currency and deposits                           7.3           89.2       -118.1       -118.1         -94.8           0.0          0.0           0.0       0.0       0.0
 Net incurrence of liabilities                            -53.1          -45.1        -64.7        -44.1         -28.1         -71.1        -77.3         -77.2     -76.3     -74.9
   External loans (net)                                   -43.8          -37.9        -60.5        -39.9         -23.9         -68.3        -76.1         -76.5     -76.3     -74.9
     Disbursement                                          27.2           37.1           …            …            0.0           0.0          0.0           0.0       0.0       0.0
     Amortization                                          71.0           75.0           …            …           23.9          68.3         76.1          76.5      76.3      74.9
   Domestic loans (net)                                    -9.3           -7.1         -4.2         -4.2          -4.2          -2.8         -1.2          -0.7       0.0       0.0
""
 Unidentified financing gap 8/                                    …                       …            …           0.0        207.1        188.6         138.1      129.2     124.9
""
 Statistical discrepancy                                    0.1             0.2          0.0          0.0          0.0           0.0          0.0           0.0       0.0       0.0
 Memorandum items:
" Nominal GDP (in millions of tala)                      2,231.2         2,168.0      1,952.1      1,952.1     1,952.1       2,038.4       2,141.6       2,268.0   2,385.9   2,499.5"
" Total central government debt outstanding              1,058.6         1,012.3        996.0           …        956.1       1,102.5       1,215.7       1,278.9   1,335.3   1,389.8"
   Domestic debt                                           14.9             7.8          5.0           …          6.0           4.4           3.3           2.3       1.7       1.2
"   External debt                                        1,043.7         1,004.6        991.0           …        950.1       1,098.0       1,212.4       1,276.6   1,333.6   1,388.6"
 Stock of government deposits (in millions of             212.5           280.0           …            …        185.2         185.2         185.2         185.2     185.2     185.2
""
 Sources: Data provided by the Samoa authorities; and IMF staff estimates.
 1/ The FY2021 budget includes phase 2 of the authorities stimulus package in response to COVID-19. Staff projection includes
 grants of US$20 million from ADB and US$15 million from the World Bank.
" 2/ Includes supplementary budget 1, which reflects the freeing up of government's cash position due to the Debt Service Suspension Initiative (DSSI)."
" 3/ Starting January 2019, the Ministry of Health finances operations of the National Health Services (previously classified as an extra budgetary unit)."
 4/ Primarily to subsidize the cost of production for public corporations.
 5/ Grants paid to extra budgetary units of the central government.
 6/ To meet the direct cost of social assistance related spending that are not covered by a social security fund or provident fund.
" 7/ Includes current and capital transfers to meet the cost of operation for state owned enterprises, which are not part of subsidies."
 8/ Assumed to be externally financed at concessional borrowing terms.
""
""
""
""
                                                                                                                         INTERNATIONAL MONETARY FUND                              35
