"Other expense 6,                                                                                             1.1                 0.8                 O15                 0.8                a5                 a5                15                 a5                 O15                a5"
Transactions in monfinancial sets                                                   a2           6.1            53            £8           54           ra            Ta            £5           a7            o0
Gross operting balance                                                            61           62           £0           Fa          -18           -iT          -04            3.0           65           63
Overall ba ince                                                                   ~21           O.1            a           -1 7          -T3           -3.8          -TH           -58           -25           -2T
Overall balince exduding grants                                                   40           2 #           -15          -122         -142          -15.2         -12.6          -10.6           -F.6           -F.6
Primary balance                                                                                 -13              09              35             48             -6.5             -89             -6.8             AT             -15             -15
Fina ncineg                                                                                                            ~21                 O.1                 a                -17               -T3                -o.8               -TH                -58                -25                -2T
Met financial assets                                                                 -2A4           09           a3           3A          -O5           -03           01           01           01            a0
Domestic currency and deposits                                                                                 -24                 03                  a3                 3A                -0.5                 -O3                 01                  01                 01                  0
Met incunence of fiabilities                                                                                           -O3                 0.8                -2A                 -18                 a8                 a5                 TT                  5.5                 26                 26
External |oains                                                                                                     a1                 13                -20                -16                 50                 a9                £1                  62                 3.0                 3.0
Disbursement                                                                                                   aa.                 4.6                 12                 18                B5               13.6               115                 a3                 60                 59
Amortization                                                                                                    aa.                 34                 32                 7.4                 7.4                 5.6                 7.4                 3.1                  3.0                29
Domestic loans                                                                                                  -O.5                40.5                -04                42                 17                -04               -04                -04                -04                -04
Disbursement                                                                                                   aa.                   aa.                   aes                 oA                23                 ao                ao                 ao                 a0                ao
Aurmortizatiion                                                                                                            aa.                    aa.                    aes                  0.6                  16                  a4                  a4                  a4                  a4                  a4
Statistical disaepancy                                                                                              ao                0.0                 ao                 0.0                ao                 a0                a0                 ao                 a0                ao
Memorandum items:
Nominal GDF (in milion of tala}                                                   2 104       2105.7       22275        21745       21745       27951        2302 7        24711        253929       2 6614
Total central government debt outstanding                                            49.7          529          475          449          55.5          65.3          TOA          73.5          73.3          F32
Domestic debt                                                                                                    14                O39                 ar                 OF                af                 26                2A                 a2                 a1                 20
External debt                                                                                                    4B               520               469               442               529               628               680               Tia               Fi               Tia
‘Sources: Dats provided by the Samos authorities and IMP stefestimmstes
"Ty Indudes supplementary budget 7 in December 2079 (following measies outbreak) and supplementary budget 2 in April 2020 to support the private sector affected by COVID-19. In addition, it indudes external finandal"
Becistance by multilateral and bilateral donors to support policies to address impacts of the global COVID-19 pandemic (see Table 5)
"2/ Starting January 2079, the Ministry of Health finances operations of the National Health Senices (previously classified ac an extra budgetary unit)."
3/ Primarily to subsidize the cost of products or production of public conporations.
4/ Grants paid to extra budgetary units of the central government
5/ To meet the direct cost of social aesistance related spending that are mot covered by a social security fund of prowdent fund.
67 Indudes cunent and capital transfers made to cover and meet other operational and capital costs of state qewned enterprises which are mot subsidies.
INTERNATIONAL MONETARY FUND 19
