V1
CEMAC
""
""
""
"                                                     Table 2. CEMAC: National Accounts, 2016–26"
""
"                                                      2016      2017      2018       2019         ""2020""    2020        ""2021""    2021    2022    2023    2024    2025    2026"
 Consumer price inflation (period average)
 Cameroon                                               0.9       0.6          1.1    2.5             2.4     2.4           2.3    2.3     2.1     2.0     2.0     2.0     2.0
 Central African Republic                               4.9       4.2          1.6    2.8             2.3     2.2           3.7    4.3     2.6     2.5     2.5     2.5     2.5
 Chad                                                  -1.6      -0.9          4.0   -1.0             4.5     4.5           2.6    1.1     2.8     2.8     2.9     3.0     3.0
" Congo, Republic of                                     3.2       0.4          1.2    2.2             1.8     1.8           2.6    2.0     2.8     3.0     3.0     3.0     3.0"
 Equatorial Guinea                                      1.4       0.7          1.3    1.2             4.8     4.8           0.5   -0.1     3.1     3.1     3.1     3.1     3.0
 Gabon                                                  2.1       2.7          4.8    2.0             1.3     1.3           2.0    2.0     2.0     2.0     2.0     2.0     2.0
 CEMAC                                                  1.1       0.8          2.1    1.8             2.7     2.7           2.1    1.8     2.3     2.3     2.3     2.3     2.3
""
""
 End of period inflation
 Cameroon                                               0.3       0.8          2.0    2.4             2.1     2.1           2.1    2.1     2.0     2.0     2.0     2.0     2.0
 Central African Republic                              -4.5       7.2          4.6   -2.0             4.8     3.9           3.3    3.5     3.1     2.5     2.5     2.5     2.5
 Chad                                                  -5.0       3.1          4.4   -1.7             3.0     3.0           4.2   -0.3     5.9     2.7     2.9     3.0     3.0
" Congo, Republic of                                     0.0       1.8          0.9    3.8             0.5     0.5           2.7    2.7     3.0     3.0     3.0     3.0     3.0"
 Equatorial Guinea                                      2.0      -0.2          2.6    4.1            -0.5    -0.5           3.2    3.2     3.0     3.0     3.0     3.0     3.0
 Gabon                                                  4.1       1.1          6.3    1.0             1.6     1.6           2.0    2.0     2.0     2.0     2.0     2.0     2.0
 CEMAC                                                  0.3       1.2          3.0    1.9             1.7     1.7           2.6    2.0     2.7     2.3     2.3     2.3     2.3
""
 Gross national savings
 Cameroon                                             25.2       25.5         26.2   26.1           22.9     22.4         24.9    25.1    27.3    28.1    29.3    30.8    32.3
 Central African Republic                              8.2        5.7          8.4    9.7           10.3     10.3          9.5     5.7    13.5    10.7    11.5    12.6    12.9
 Chad                                                  6.1       13.6         17.5   18.6           15.5     15.0         16.2    16.2    17.5    16.9    16.7    18.5    17.8
" Congo, Republic of                                   25.3       31.2         24.9   22.6           22.6     22.5         32.0    33.8    29.4    25.3    23.4    21.4    18.7"
 Equatorial Guinea                                    -9.3        6.2         10.4    6.8           -1.0      1.1          6.9     5.6     5.5     7.0     7.0     8.1     7.9
 Gabon                                                24.4       23.1         27.0   31.1           25.5     25.6         25.6    25.3    27.6    27.1    26.5    27.4    27.6
 CEMAC                                                17.4       21.2         22.6   22.9           19.4     19.3         22.2    22.1    23.5    23.4    23.7    24.8    25.3
""
""
 Gross domestic investment
 Cameroon                                             28.4       28.1         29.8   30.4           26.6     26.2         28.9    28.0    29.8    31.4    32.5    33.6    34.8
 Central African Republic                             13.6       13.5         16.4   14.7           18.9     18.9         16.2    16.2    17.5    16.6    17.4    18.0    18.3
 Chad                                                 16.5       20.7         18.9   23.3           25.3     23.5         22.0    22.6    23.3    24.3    24.6    24.8    23.7
" Congo, Republic of                                   74.0       37.2         25.0   22.2           22.6     22.6         22.5    21.5    23.7    24.9    24.8    25.4    25.9"
 Equatorial Guinea                                    16.7       14.0         12.5    7.7            5.3      5.3         11.1     9.1    10.9    10.9    11.3    24.4    25.8
 Gabon                                                35.5       31.8         29.1   32.0           31.7     31.6         31.1    30.3    30.9    30.3    29.1    29.4    29.4
 CEMAC                                                31.9       26.7         25.1   25.6           24.2     23.8         25.2    24.2    25.9    26.9    27.3    29.5    30.2
""
 Sources: Authorities' data; and IMF staff estimates and projections.
 1
     Refers to the projection published in the IMF Country Report No 21/148
""
""
""
""
26      INTERNATIONAL MONETARY FUND
