      Amortization of non-structured debt                                          -0.2           -0.1            -0.5       -0.5            -0.1        -0.1         -0.1           0.0           0.0           0.0          0.0           0.0          0.0
      Other domestic financing                                                     -1.6           -0.4             0.0        0.0            -1.1        -1.4         -1.5          -1.8          -1.8          -1.9         -1.4          -1.4         -1.4
""
""
Financing gap                                                                       0.0            2.7             0.0          0.0          1.4           1.8         1.5           1.5           1.2          0.8           0.3          0.0           0.0
""
   IMF Financing                                                                    0.0            1.0             0.0          0.0          0.0           0.7         0.4           0.6           0.6          0.3           0.1          0.0           0.0
   Budget Support (excl. IMF)                                                       0.0            1.1             0.0          0.0          0.0           0.5         0.4           0.9           0.6          0.5           0.2          0.0           0.0
""
   Exceptional Financing                                                            0.0            0.5             0.0          0.0          0.4           0.7         0.7           0.0           0.0          0.0           0.0          0.0           0.0
     DSSI                                                                           0.0            0.5             0.0          0.0          0.4           0.7         0.7           0.0           0.0          0.0           0.0          0.0           0.0
""
 Residual gap                                                                       0.0            0.0             0.0          0.0          1.0           0.0         0.0           0.0           0.0          0.0           0.0          0.0           0.0
""
Memorandum items:                                                                   0.0            0.0             0.0        0.0             0.0         0.0          0.0           0.0           0.0           0.0          0.0           0.0          0.0
" Primary balance (payment order basis, incl. grants)                               -2.2           -3.5            -2.4       -2.3            -1.7        -2.2         -1.9          -1.0          -0.9           0.4          0.2           0.5          0.2"
" Primary balance (cash basis, incl. grants)                                        -1.8           -3.9            -2.8       -2.7            -2.0        -2.6         -2.3          -1.4          -1.3          -0.1         -0.1           0.3          0.2"
" Non-oil primary balance (payment order basis, incl. grants)                       -4.8           -4.7            -4.3       -4.2            -3.3        -4.4         -3.8          -3.1          -3.3          -2.1         -2.1          -1.5         -1.7"
" Non-oil primary balance (cash basis, incl. grants)                                -4.3           -5.1            -4.6       -4.5            -3.6        -4.8         -4.2          -3.5          -3.7          -2.6         -2.4          -1.7         -1.7"
 Unpaid government obligations                                                      2.9            1.7             2.6        2.6                         2.1          2.1                         1.6           0.9          0.5           0.3          0.2
    Float                                                                           1.2            0.7             1.2        1.2                         1.2          1.1                         0.9           0.6          0.4           0.3          0.2
    Arrears                                                                         1.1            0.4             0.8          0.8                          0.4       0.4                         0.2           0.0          0.0           0.0          0.0
    Other arrears 1/                                                                0.7            0.6             0.6          0.6                          0.5       0.5                         0.4           0.3          0.1           0.0          0.0
""
Sources: Cameroonian authorities; and IMF staff estimates and projections with updated nominal GDP.
"1/ Other arrears include the stock of unstructured debt that is held by CAA and the ""floating"" domestic debt at the Treasury as defined in the TMU. The payments of arrears are adjusted starting end-2018 and the stock of unpaid government obligations is"
adjusted starting end-2016 to reflect these operations.
""
""
""
""
      40          INTERNATIONAL MONETARY FUND
