                                       Domestically financed capital spending                     0.2     0.2    0.1     0.2     0.2    0.2    1.5    1.4    1.2    1.2      1.2    1.2    1.5     2.0    1.6     1.5     1.5    1.5    3.3    5.6    4.0    3.7      3.8    3.8    2.2    3.4    2.5    2.2     2.3       2.3
                                   Disposal of nonfinancial assets                                0.0     0.0    0.2     0.0     0.0    0.0    0.1    0.1    0.1    0.1      0.1    0.0    0.1     0.1    0.3     0.1     0.1    0.1    0.2    0.2    0.2    0.2      0.2    0.2    0.2    0.1    0.3    0.1     0.1       0.1
""
                             Gross/net operating balance (revenue - expense)                      1.8    -1.2     0.8   -0.5     0.9    0.4    1.4   -3.1   -0.4   -1.5     -0.2   -0.3     4.3    0.1    4.5     3.4     4.5    4.4    5.4    1.4    4.3    2.4      3.7    3.4    5.0    0.7    4.9    3.5        4.7    4.5
""
                             Net lending/borrowing (revenue - expenditure)                        1.1    -2.1     0.3   -1.7    -0.3   -0.7   -0.3   -4.8   -1.8   -3.0     -1.7   -1.9     1.2   -4.5    0.7    -0.5     0.7    0.9    0.7   -5.3   -0.3   -2.1     -0.9   -1.2    1.4   -4.7    0.8   -0.6        0.6    0.6
""
                             Net acquisition of financial assets                                  -0.7   -2.1     0.5   -1.9    -1.7   -1.5    1.0   -0.7    1.9   -2.8     -0.8    2.0    -0.3   -2.4     2.8    0.3     0.2    2.9    1.7   -0.4    2.9   -1.3      0.3    2.9    0.4   -1.5    3.0    0.2        0.6    3.2
                               Domestic assets                                                    -0.7   -2.1     0.5   -1.9    -1.7   -1.5    1.0   -0.7    1.9   -2.8     -0.8    2.0    -0.3   -2.4     2.8    0.3     0.2    2.9    1.7   -0.4    2.9   -1.3      0.3    2.9    0.4   -1.5    3.0    0.2        0.6    3.2
                                   Currency and deposits                                           0.0   -1.2     1.4   -1.1    -1.0   -0.9    0.2   -0.3    2.2   -3.2     -1.4    1.3     0.0   -2.1     3.3    0.3     0.2    2.9    1.2   -0.2    3.2   -1.3      0.3    3.0    0.4   -1.2    3.4    0.2        0.6    3.3
                                   Loans                                                          -0.7   -0.9    -0.9   -0.8    -0.8   -0.6    0.8   -0.4   -0.2    0.4      0.6    0.6    -0.3   -0.3    -0.5    0.0     0.0    0.0    0.2    0.0   -0.3    0.1      0.1    0.0   -0.2   -0.2   -0.4    0.0        0.0    0.0
""
                             Net incurrence of liabilities                                        -1.5    1.3     0.0   -0.2    -1.4   -0.8    1.4    4.2    3.6    0.2      1.0    3.9    -0.5    2.9     5.4    0.7    -0.5    2.1    0.9    5.2    3.3    0.8      1.2    4.1   -0.1    3.8    2.7     0.7       0.1    2.7
                               Domestic liabilities                                                0.0    0.6    -0.4    0.3     0.3   -0.2    1.1    2.6   -3.0    1.0      2.3    3.8    -0.1    0.4    -0.6    0.0    -0.1    1.5    0.6    3.3   -3.2    1.0      2.3    3.8    0.1    1.6   -1.6     0.3       0.7    2.2
                                   Debt securities                                                 0.0    0.6    -0.4    0.0     0.0    0.9    1.3    2.8   -1.6   -0.7      0.6    3.3     0.1    0.6    -0.4    0.0     0.0    0.9    1.4    3.0   -1.6   -0.7      0.6    3.3    0.5    1.3   -0.8    -0.2       0.2    1.7
                                   Other government obligations                                    0.0    0.0     0.0    0.0     0.0    0.0   -0.5   -0.4   -0.4   -0.1     -0.1   -0.1     0.0    0.0     0.0    0.0     0.0    0.0   -0.5   -0.4   -0.4   -0.1     -0.1   -0.1   -0.2   -0.1   -0.1    -0.1    0.0       0.0
                                   Loans                                                           0.0    0.0     0.0    0.4     0.4    0.9    0.3    0.0   -0.5    1.9      1.9    0.6    -0.1   -0.2    -0.1    0.0     0.0    0.6    0.1    0.5   -0.4    1.9      1.9    0.6    0.0    0.0   -0.2     0.6    0.6       0.6
                                Foreign liabilities                                               -1.5    0.7     0.4   -0.5    -1.7   -0.5    0.2    1.6    6.6   -0.8     -1.4    0.0    -0.4    2.5     5.9    0.7    -0.4    0.5    0.3    1.9    6.5   -0.2     -1.2    0.3   -0.2    2.2    4.3     0.4   -0.6       0.5
                                   Loans                                                          -1.5    0.7    -1.2   -0.5    -1.7   -0.5    0.4    1.7    0.2   -0.8     -1.4    0.0    -0.4    2.5     4.3    0.7    -0.4    0.5    0.4    2.0    0.1   -0.2     -1.2    0.3   -0.2    2.3    2.8     0.4   -0.6       0.5
                                      Drawings                                                     0.3    2.5     0.6    0.9     0.8    0.7    2.3    3.3    1.8    0.8      1.0    1.3     1.4    4.4     2.4    2.2     2.1    1.8    2.6    4.0    2.1    1.4      1.2    1.6    1.8    4.1    2.3     1.9    1.8       1.7
                                      Amortization                                                 1.8   -1.8    -1.9    1.4     2.5    1.3    1.9    1.6    1.6    1.6      2.4    1.3     1.9   -1.8    -1.8    1.4     2.5    1.3    2.2    1.9    2.0    1.6      2.4    1.3    2.0    1.9   -0.6     1.5    2.4       1.2
""
                             Statistical discrepancy                                              -0.3   -1.3     0.3    0.0     0.0    0.0    0.0    0.0    0.0    0.0      0.0    0.0    -1.1   -0.8   -3.2     0.0     0.0    0.0    0.1   -0.3   -0.1    0.0      0.0    0.0   -0.9   -0.6   -0.5    0.0        0.0    0.0
""
                             Memorandum items
                                    Net lending excl. externally-financed operations               1.3   -1.6     0.8   -0.9     0.5    0.0   -0.7   -4.9   -1.7   -2.8     -1.5   -1.7     2.6   -2.2     3.1    1.8     2.9    2.8    2.2   -4.0    0.6   -1.1      0.1   -0.2    2.5   -2.9    2.5     1.2       2.3    2.1
                                    Primary balance (% of GDP)                                     1.5   -1.7     0.6   -1.2     0.2    0.0    0.6   -3.9   -0.8   -2.3     -1.0   -0.8     1.8   -3.9     1.2    0.1     1.3    1.7    1.9   -4.1    0.9   -1.2      0.1    0.2    2.1   -3.9    1.5     0.1       1.3    1.5
""
                             Sources: BiH authorities; and IMF staff estimates and projections.
                             Note: Federation central government included pension fund in 2020.
