           Net of cash calls and transportation costs linked to the oil public enterprise (SHT) participation in private oil companies.
       2
           includes subsidies to the electricity company starting from 2020.
       3
"           Includes projects financed by the BDEAC, but the corresponding loans (in CFAF) are counted as domestic financing."
       4
"           Total revenue, less grants and oil revenue, minus total expenditures, less interest payments and foreign financed investment."
       5
           Difference between committed and cash expenditure.
       6
"           Recognized arrears, as registered by the Treasury in the ""restes à payer"" table."
""
""
""
""
38   INTERNATIONAL MONETARY FUND
