           IMF                                                                       0.0        0.0          0.0         0.0        0.0          0.0       0.0      0.0        0.0
            RCF Food Shock Window                                                     …            …            …        0.0        0.3          0.0       0.0      0.0        0.0
           Residual financing gap                                                 -0.0           0.0         0.0         0.0        0.0          0.0       0.0      0.0        0.0
""
""
       Memorandum items:
       Covid and Ebola spending                                                       …          1.6         0.4           …           …          …          …       …
       Primary fiscal balance                                                        0.2        -2.4        -1.1        -0.4       -1.5         -1.5      -1.3     -1.5       -1.6
"       Nominal GDP (GNF billion)                                             123,458        135,612     157,725     185,329    215,692      248,234    284,565 322,860    366,399"
""
       Sources: Guinean authorities; Fund staff estimates and projections.
       ¹ Based on GFSM 1986 due to data availability limitations.
       ² Total revenue excluding grants minus expenditures excluding interest on external debt and foreign-financed capital expenditures.
       3
"           Following the 5th and 6th ECF Review, staff revised the treatment of the Souapiti loan, which was previously classified as a transaction between the Souapiti SPV"
"       and a non-resident, thus not entering the fiscal accounts. The loan agreement is now considered to be between a non-resident (China Exim Bank) and the central"
"       government of Guinea, who then on-lent the funds to the Souapiti SPV."
       4
"         In accordance with standard practice, RCF projected disbursements, reported at the time of the RCF staff report as anticipated financing, have been reclassed as"
       external financing in the ECF and current projections.
""
""
""
""
                                                                                                                                    INTERNATIONAL MONETARY FUND                         37
