Net Domestic debt issuance                                                             1.6          1.6           25              2.7         1.7              14         14            18         1.7         19         24
Change in CBK deposits                                                                 0.7         0.6           3.1             -04        -2.0              04       -0.3            0.1         0.1         0.1         0.0
Change in GG Deposits at the CBK (TSA)                                       -05        -1.0           19             -0.7        -2.4              0.1        -04            0.0         0.0         0.0        -0.1
PAK Deposits                                                                1.2        1.6         1.2            0.3       0.3            03       0.1          0.1        0.1        0.1        0.0
Other Financing (Net POE and other)                                         0.3        0.2          0.2            0.3        0.1            0.1        0.1           0.0        0.0        0.0        0.0
Equity (Privatization)                                                                     0.3         0.6           0.2                -         0.0                -         0.0            0.0         0.0         0.0         0.0
Memorandum items
Overall balance (MOF) 3/                                                                -28       -29         -7.6            -6.4       -0.5            -46       -2.5          -2.5       -24       -2.5       -2.6
Pandemic-related fiscal measures                                                   wee          wee          44            57        4.1             1.9         es            wee         cee         wee         ee
Bank balance of the general government                                                       45           5.1              34                 39           5.5                49           55              5.2          49          46          45
Of which: ELA                                                               0.7       0.7        0.7            “-       0.6            oe       0.6         05       0.5       0.5       0.5
Total public debt 4/                                                                                       17.0         177           243               27.2        24.3               26.5        25.3            26.1         269        278        29.0
External debt                                                                                                     6.9            6.4              8.2                114           8.2                118           8.9               89           8.9           8.9           8.5
Of which: onlending                                                     0.8        0.7         0.6             aoe       0.5             oe       0.4          04       0.3       0.3       0.3
Of which: guarantees                                                    0.6        0.6         05             =       0.4             =       04          04       0.3       0.3       0.3
Domestic debt                                                                         10.1        11.3         16.0            158 16.2            147  =164          172 179 190 204
Sources: Kosovo authorities; and IMF staff estimates and projections.
1/ It does not yet reflect the GFSM 2014 methodology.
"2/ The “fiscal rule” caps the overall fiscal deficit at 2 percent of GDP, excluding investment financed with privatization receipts and donor financing contracted after 2015, as well as PAK-related"
current expenditure; the IMF calculates expenditures from carried-forward own-source revenue (OSR) as the difference in the municipal OSR stock.
"3/ Excludes DDGs, revenues held in trust, and additional net PAK expenditure."
"4/ The stock of public debt no longer includes the former Yugoslavia debt, which has been reclassified as a contingent liability. Beginning in 2020, it includes Euro 120 million of debt with KPST."
INTERNATIONAL MONETARY FUND 29
