          Tax revenue                                                              21.0      21.9       21.9     26.2       25.2       25.4      25.7            25.9      26.3       26.6
              Central Government                                                     …         …          …      24.9       24.0       24.2      24.4            24.7      25.1       25.4
              Sub-national Government                                                …         …          …       1.2        1.2        1.2       1.2             1.2       1.2        1.2
          Non-tax revenue                                                           2.2       2.1        2.4      3.2        2.8        2.8       2.8             2.8       2.8        2.8
         Grants                                                                     1.2       2.4        1.1      1.8        1.2        1.2       1.5             1.5       1.4        1.4
        Expenditure                                                                27.5      37.9       32.0     39.1       34.2       34.4      31.8            31.9      31.8       32.0
         Recurrent expenditure                                                     19.6      26.7       23.1     29.8       26.8       27.0      25.4            25.4      25.3       25.3
            Of which : Interest payments                                            0.4       1.0        0.5      0.8        0.7        0.7       0.6             0.6       0.5        0.5
                       Salaries and allowances                                      4.5       4.3        3.7      3.5        3.1        3.1       2.1             2.1       2.1        2.1
                       Grants & subsidies                                           9.2       6.2        6.6      5.1        4.4        4.4       3.9             3.9       3.8        3.8
                       Fiscal transfer                                                …       7.7        7.0      9.8        8.2        8.2          8.2          8.2       8.2        8.2
                       Revenue sharing and collection at sub-national levels         …         …          …       4.6        4.6        4.8          4.8          4.9       4.9        4.9
         Net acquisition of nonfinancial assets                                     7.9      11.1        8.9      9.3        7.4        7.4          6.4          6.5       6.5        6.7
        Operating balance                                                           4.8       0.0        2.4      1.3        2.4        2.4          4.5          4.9       5.3        5.6
        Net lending/borrowing                                                      -3.1     -11.2       -6.5     -8.0       -5.0       -5.0          -1.9        -1.6      -1.2       -1.1
        Statistical discrepancy                                                    -1.3      -3.4       -3.1      0.0        0.0        0.0          0.0          0.0       0.0        0.0
""
""
        Net financial transactions                                                  1.8       7.8        3.5      8.0        5.0        5.0          1.9          1.6       1.2        1.1
         Net acquisition of financial assets                                        1.4       2.5        2.6      2.9       -0.1       -0.1          0.9          0.9       0.9        0.9
           Foreign                                                                  0.1       0.0        0.1      0.0        0.0        0.0          0.0          0.0       0.0        0.0
           Domestic (net)                                                           1.3       2.5        2.5      2.9       -0.1       -0.1          0.9          0.9       0.9        0.9
            Sale of equity                                                          0.6       1.8        1.3      1.7        1.2        1.1          0.6          0.6       0.6        0.6
            Lending minus repayment                                                 1.0       0.7        0.5      1.2        0.5        0.5          0.3          0.3       0.3        0.3
            Change in cash/deposit                                                 -0.3       0.0        0.7      0.0       -1.8       -1.7          0.0          0.0       0.0        0.0
""
         Net incurrence of liabilities                                              3.2      10.3        6.0     10.9        4.9        4.9          2.8          2.5       2.1        2.0
           Foreign                                                                  1.3       6.1        2.5      6.8        3.7        3.9          2.6          2.3       1.9        1.4
           Domestic                                                                 1.9       4.2        3.6      4.1        1.2        1.0          0.2          0.2       0.2        0.6
""
        Memorandum items
        Primary balance                                                             -2.8    -10.2      -6.0       -7.3       -4.3       -4.4      -1.2            -1.1      -0.7       -0.7
        Fiscal impulse                                                               4.5       7.4      3.2        1.3       -1.7        0.1      -3.1            -0.2      -0.4        0.0
        Public debt                                                                26.4         …     30.4          …       33.1       34.1      33.8            33.5      32.6       31.9
          External                                                                 15.7         …     17.4          …       20.2       21.8      22.5            23.0      23.0       22.5
          Domestic                                                                 10.7         …     13.0          …       12.8       12.3      11.3            10.5        9.6        9.3
        Resources for sub-national governments (billions of NPR)                      …         …        …        483        432        541       602             667       742        820
          (in percent of GDP)                                                         …         …        …       14.4       12.8       14.2      14.3            14.3      14.4       14.4
          Of which: Fiscal Transfers                                                  …         …        …        328        277        313       347             384       425        470
                    Revenue Sharing                                                   …         …        …        114        114        182       203             227       255        281
                    Revenue collection at sub-national governments                    …         …        …         41         41         46        51              57        63         69
"        GDP (billions of NPR)                                                     2,643     3,007    3,007      3,361      3,361      3,803     4,222           4,662     5,165      5,712"
""
        Sources: Nepalese authorities; and IMF staff estimates and projections.
        1/ Fiscal year ends in mid-July.
""
""
""
""
28   INTERNATIONAL MONETARY FUND
