              Oil-related transfers                                            1.8          1.3             1.6            4.3            2.0              1.0           1.2             0.8             0.8
              Other transfers                                                  4.3          3.8             6.1            5.2            4.9              5.0           4.7             4.5             4.2
         Common charges                                                        1.7          1.1             1.3            1.1            1.0              1.0           1.0             0.9             0.7
       Annex budgets and special Accounts2                                     0.6          0.7             0.8            0.7            0.7              0.6           0.6             0.6             0.4
       Interest                                                                2.8          2.9             3.6            3.5            3.5              3.4           3.2             3.3             3.0
            Domestic                                                           1.4          0.0             1.4            1.6            2.2              2.4           2.4             2.6             2.4
            External                                                           1.4          0.0             2.2            1.9            1.3              1.0           0.8             0.7             0.6
              of which: COVID-19 Moratorium Loan (interest)                    0.0          0.0             0.1            0.1            0.1              0.0           0.0             0.0             0.0
              of which: on oil-prepurchased debt                               0.4          0.0             0.6            0.5            0.3              0.1           0.0             0.0             0.0
    Capital expenditure                                                        4.2          5.6             6.8            6.3            7.6              7.2           7.4             7.2             6.8
       Domestically financed                                                   2.5          2.8             3.2            2.8            3.4              3.5           3.8             4.0             4.3
       Externally financed                                                     1.7          2.9             3.6            3.5            4.1              3.7           3.6             3.2             2.5
 Non-oil primary balance3                                                    -14.2        -12.2           -14.6         -15.7          -13.3             -11.7        -11.5           -10.0             -8.8
 Basic non-oil primary balance4                                              -13.1        -10.0           -11.7         -13.0          -10.3              -8.8          -8.9            -7.8            -7.3
                                         5
    - excluding oil-related transfers                                        -11.4        -10.0           -10.2           -8.7           -8.4             -7.8          -7.7            -6.9            -6.5
 Primary balance                                                               5.0          5.9            17.8          12.7           11.6              11.5           8.8             8.1             8.5
" Overall balance, payment order basis"
     Excluding grants                                                          1.6          2.4            13.5            8.4            7.0              7.2           4.6             3.8             4.5
     Including grants                                                          2.2          3.0            14.3            9.2            8.2              8.0           5.5             4.8             5.5
" Overall balance, cash basis                                                   2.2          3.0            14.3            9.2            8.2              8.0           5.5             4.8             5.5"
 Financing                                                                    -2.7        -10.0           -18.7         -11.9          -11.8             -10.7          -5.5            -4.8            -5.5
    Foreign (net)                                                             -6.1         -5.3           -13.5         -11.0            -7.0             -4.4          -1.3            -1.0            -1.2
       Drawings                                                                1.5          2.2             2.9            2.7            3.0              2.9           2.6             2.2             1.5
       COVID-19 Moratorium Loan                                                1.7          0.0             0.0            0.0            0.0              0.0           0.0             0.0             0.0
       Amortization (paid)                                                    -7.7         -7.6           -16.3         -13.8          -10.0              -7.3          -3.9            -3.2            -2.7
         of which: COVID-19 Moratorium Loan (principal and interest)           0.0          0.0             1.1            1.0            1.2              1.1           0.3             0.3             0.2
         of which: on oil-prepurchased debt                                   -2.3          0.0            -6.7           -6.2           -5.3             -3.2          -0.2             0.0             0.0
       Other foreign financing                                                -1.5          0.0             0.0            0.0            0.0              0.0           0.0             0.0             0.0
    Domestic (net)                                                             3.4         -4.7            -5.2           -1.0           -4.7             -6.3          -4.3            -3.8            -4.3
       Banking system (net)                                                    7.8          2.0             1.4            4.9           -1.6             -4.8          -3.2            -0.8            -1.9
          Central bank                                                         0.0          2.0            -3.3            1.4           -6.3             -6.1          -6.8            -5.4            -5.3
             of which Use of SDR Allocations                                   0.6            …             2.4            2.1             …                …             …               …               …
                               6
          Commercial banks                                                     7.7          0.0             4.7            3.5            4.7              1.3           3.5             4.6             3.4
                             6
       Nonbank financing                                                      -4.4         -6.7            -6.7           -5.9           -3.2             -1.5          -1.0            -3.0            -2.4
           Of which: Repayment of domestic arrears                            -5.8          0.0            -8.0           -6.3           -3.2             -3.1          -2.1            -1.7            -1.2
              Of which: Chinese companies                                                                                 -0.7           -0.6             -0.6          -0.2            -0.6            -0.5
 Financing gap (- = surplus)                                                   0.5          7.0             4.5            2.7            3.6              2.7           0.0             0.0             0.0
  Expected financing (excluding IMF)                                           0.0            …             1.3            0.9            1.8              1.9           0.0             0.0             0.0
  IMF-ECF                                                                      0.0            …             3.2            1.9            1.8              0.8           0.0             0.0             0.0
  Residual financing gap                                                       0.5            …             0.0            0.0            0.0              0.0           0.0             0.0             0.0
  Memorandum items:
    Stock of domestic arrears7                                                18.6            …            25.0          26.0           20.6              14.5         10.9              8.1             6.3
    Stock of government deposits                                               4.0            …             7.7            6.3          13.8              19.8         24.8            28.0            30.8
                                        8
    CEMAC Reference fiscal balance                                            -1.1            …            -2.1           -5.4           -2.5              1.8           2.9             2.3             2.2
"    GDP at current market prices (CFAF billion)                             6,723        7,825           8,802          7,825          8,144            8,588         9,011           9,537       10,126.5"
"    Non-oil GDP at market prices (CFAF billion)                             5,452        5,834           5,011          5,834          6,266            6,728         7,250           7,841           8,480"
 Sources: Congolese authorities; and IMF staff estimates and projections.
 1
"   In line with continued improvements in compilation of statistics, supported technical assistance from the IMF and other development partners, historical GDP and BoP statistics have been revised."
" Overall nominal GDP and nominal oil GDP have been revised up and nominal non-oil GDP has been revised down, relative to CR 22/226."
 2
     Includes net spending (i.e. spending minus revenues) associated with decentralized government entities.
 3
   Revenue and grants excluding oil revenues minus total primary expenditures (excluding interest payments).
 4
   Non oil revenue excluding grants minus total expenditures excluding interest payments and foreign-financed investment.
 5
   Basic non-oil primary balance minus oil revenue and oil-related transfers.
 6
   Include resident and non-resident creditors from the CEMAC region.
 7
   Includes estimates of domestic arrears audited by the the Caisse Congolaise d'Amortisation (CCA) and reported but not yet audited arrears.
 8
   CEMAC definition: overall balance minus 20 percent of oil revenues and minus 80 percent of the oil revenue in excess of the average observed during the three previous years.
""
""
""
""
24        INTERNATIONAL MONETARY FUND
