V1
REPUBLIC OF KOSOVO
"Table 3. Kosovo: Consolidated Government Budget, 2017-2025 1/"
"(Including donor designated grants and PAK operational expenditure, percent of GDP)"
2017 +2018 2019        2020               2021               2022           2023 2024 2025
Actual    dget Prel.6  d  Proj  em proj  Proj. Proj. Proj
ctua                          Budget Prel. 6/         Budget          roj.        Authorities         roj.            roj.         roj.         roj.
Revenue and grants                                                                  26.5      26.4      26.8           25.7 25.1            26.4       26.6             26.7      26.2         26.2      26.1      26.2
Wages and salaries                                                                     8.6         88         8.7              8.9        9.7              87          9.1                85         8.7           8.5         84        8.2
Goods and services                                                                       3.5         3.7         41               45         43               44           5.0                46         44            42         41         39
Subsidies and transfers                                                                                        8.0            83            88                    9.4         128                    89            10.8                      87            8.7                85            84            83
Current reserves                                                                       0.0         0.0         0.0              0.6        0.0              05          0.3               0.1         0.0           0.0        0.0        0.0
DDGs and other expenditure                                                            0.1          0.1          0.1                  -         0.0                 .           0.0                   .         0.0            0.0         0.0         0.0
Recovery program 2/                                                                    0.0         0.0         0.0               4.2           -               3.1             .                   .         0.0            0.0         0.0         0.0
Interest payments                                                                     0.3         0.3         0.3              0.4        04              05          05               07        0.5           0.6        0.6        0.6
"of which,"
on external debt                                                                       0.2         02         0.2                 -         0.2                 .           0.3               =2\ 2)         03            03         03         03
Other net PAK expenditure                                                       0.2        0.1         0.0               -        0.0               .          0.0                .        0.0           0.0        0.0        0.0
Capital expenditure                                                                          7.2         79         75             10.6         5.6               87           68                90         68            68         73         77
Budget-financed                                                                                 7.0          65          5.1                5.8         43                56           5.6                  65          55             59          6.2          6.6
PAK-financed                                                                                                      0.0            1.2            19                   2.7           04                   04             0.4                     0.0           0.0               0.0           0.0           0.0
External                                                                                                                   0.2            0.2            0.5                   2.1            09                   27              0.7                     25            13               09            11            1.1
"of which: ""Investment Clause""                                                  0.0         0.0         0.2              2.1         08              27          0.5                25         1.2           0.9         1.0         1.0"
Fiscal balances
Primary balance                                                                                 -1.2         -2.6        -2.5             -11.6        -73               -69          -55                -44        -24           -2.0        -2.1         -2.0
Overall balance                                                              -1.4      -2.9      -2.8         -12.0      -7.7           -7.9       -5.9            -5.0      -2.9        -2.5      -2.6      -2.5
Overall cyclically adjusted balance                                                    -1.5        -3.0        -3.4                 _        -5.8                 .          -49                   i        -2.6           -24        -2.6        -2.5
"Overall balance (""Fiscal rule"" definition) 3/                          -1.3      -1.5      -0.7          -7.2      -5.8          -4.7       -4.9           -2.4      -1.7        -1.6      -1.6      -1.5"
"""Fiscal rule"" deductions from the overall balance                         0.1         13        2.1              5.5        18             32          1.0               26        12           0.9        1.0        1.0"
Financing                                                                                                                             14             29             28                  11.9            77                     79               5.9                       5.0            29                 25             2.6            25
Foreign financing (net)                                                                          0.9         -0.2         -0.2                46         2.0                48           28                  30          14             0.9          04         0.1
Budget Support                                                                       15         0.0         0.0              2.2        25              15          32               08        0.7           0.5        0.0        0.0
External Financing for Projects                                                  0.3        0.2        0.6             3.9        1.0             2) 2}         0.8               31        1.3           1.0        1.1        1.2
Amortization of external debt                                                            -0.9        -0.3         -0.7               -1.5        -14               -2          -1.2                -09        -0.7           -05        -08        -1.1
Domestic financing (net)                                                                        0.5          3.1          3.0                7.3          5.6                31            3.1                  20          15             1.6          2.2          25
Net Domestic debt issuance                                                           15         1.6         16               2.4         25               24          24                20         2.2            2.1         2.6         29
Change in CBK deposits                                                      -14        0.7        0.6             54       3.1             15         0.4              0.1       -1.2         -0.8      -0.6      -04
Change in GG Deposits at the CBK (TSA)                                       -1.3        -0.5        -1.0               2.8         2.0               1.0           0.2                 0.0        -08           -0.6        -0.5        -04
PAK Deposits                                                               -0.2        1.2        1.6            2.7       1.1             05         0.1              0.1       -03         -0.2      -0.1        0.1
Other Financing (Net POE and other)                                           0.0        03         0.2            -0.5        0.1             -07          0.1              -0.2        0.0           0.0        0.0        0.0
Equity (Privatization)                                                                     05         03         0.6                 -         0.0                 .           0.3                  .         04            0.2         0.1         0.0
Memorandum items
Overall balance (MOF) 4/                                                    -1.2      -2.8      -2.8           -6.5      -7.7           -7.9       -6.0            -5.0      -3.0        -2.6      -2.7      -2.6
Bank balance of the general government                                              46         45         5.2               3.1         40               32           3.6                3.0         41            45         47         49
Of which: ELA                                                                  0.7        0.7        0.6              wae       0.7              .         0.6               i       0.6          0.6       0.5       0.5
Total public debt 5/                                                                                         16.2         17.0         176                24.2        245                28.1           28.7                  317         304            31.7         32.9         34.1
External debt                                                                              73         68         64             10.3         8.6             123         11.0               147       117          12.0       117       11.1
Of which: onlending                                                      0.9        08        0.7              we        0.7              ne         0.6               ne        0.5          04        04       04
Of which: guarantees                                                     0.7        0.7        0.6              os        0.6              ne         0.6               nn        0.6          0.5        0.5        0.5
Domestic debt                                           9.0    10.1     11.2        13.8    15.9        158     17.7        17.1    18.7      19.7    213    22.9
"Nominal GDP (millions of euros)                              6414 6726 7,104      6,961 6,817      7,160    7,101       7,508 7,606     8,051 8533 9,027"
Sources: Kosovo authorities; and IMF staff estimates and projections.
1/ Does not yet reflect the GFSM 2014 methodology.
"2/ For staff projections, recovery program measures are directly incorporated in the expenditure lines. These add up to 4.2 percent of GDP in 2020 and 3.1 percent of GDP in 2021."
"3/ For fiscal rule purposes, IFl and PAK-financed projects post-July 2015, as well as PAK-related current expenditure, are excluded from the fiscal deficit; in the IMF presentation, expenditures from carried-"
forward own-source revenue (OSR) are calculated as the annual difference between the municipal OSR stocks in consecutive years.
"4/ Excludes DDGs, revenues held in trust, and additional net PAK expenditure."
"5/ The stock of public debt no longer includes the former Yugoslavia debt, which has been reclassified as a contingent liability. Beginning in 2020, it includes Euro 120 million of debt with KPST."
6/ Based on preliminary revenue and expenditure data as of end-December 2020 and the 2020 Budget.
INTERNATIONAL MONETARY FUND ~~ 31
