Compensation of employees                                    5.7         6.3         7.0           7.1        7.5        7.6          7.6        7.6                7.6       7.7        7.9        8.0        8.2
Purchase of goods and services                               3.9         3.8         4.1           3.2        4.1        3.5          4.3        …                  4.3       4.3        4.3        4.3        4.3
Interest                                                     0.3         0.4         0.3           0.4        0.3        0.5          0.3        …                  0.3       0.3        0.3        0.3        0.3
Expense not elsewhere classified                             2.7         3.0         3.5           3.7        3.5        3.0          3.5         …                 3.6       3.6        3.6        3.6        3.6
Net acquisition of nonfinancial assets                       7.8         7.6         7.5           7.9        7.7        8.2          8.2       11.1                9.4       8.8        9.2        9.2        9.5
Of which: Externally-financed                                6.0         5.2         4.7            …         4.0         …           4.3        …                  4.3       4.3        4.3        4.6        5.0
""
Net lending (+)/borrowing(-)                                 -0.6       -0.3        -0.8          -4.0        0.7        -2.4         0.5        -2.8              -1.7       -1.4       -2.4       -2.9       -3.4
Net acquisition of financial assets                           2.3        2.3         3.1            …         2.2          …          2.6         …                 0.3        0.8       -0.2       -0.2       -0.3
Net incurrence of liabilities                                 3.0        2.6         3.9           4.0        1.5         2.4         2.1         2.8               2.0        2.2        2.2        2.7        3.2
Of which: External                                            2.9        2.2         2.6           4.0        1.9         2.4         4.0         2.8               3.5        3.4        3.2        3.5        3.8
""
Memorandum items:
Net lending (+)/borrowing(-) excluding grant                 -1.7        -2.6        -2.7          -4.7       -1.4       -3.5         -1.4       -3.9              -3.1       -2.6       -3.4       -3.7       -4.1
Government deposits                                           9.1       10.4        12.6             …       15.0          …         16.2         …               15.2       14.6       13.1       11.8       10.4
"GDP (in billions of riels)                                73,423      81,242      89,754        98,919     98,919    108,550      108,550      118,800         118,982    130,388    143,050    157,048    172,309"
""
Sources: Data provided by the Cambodian authorities; and IMF staff estimates and projections.
""
""
""
""
                                                                                                                                             INTERNATIONAL MONETARY FUND                                       31
