Domestically financed                                                                           6.5           6.7            5.1            48             3.9          3.9           5.2          5.1           45          4.2          49          5.0
of which: Covid-19 spending                                                                  08           0.9            0.7            0.7               --            --             --            --             --            --            --            --
Fixed assets                                                                   3.0        6.7          --          --           --         --         --         --          --         --         --         --
of which: projects financed by Eurobond                                        0.5          0.5           0.1           0.1             --           --           --          --           --           --           --           --
of which: projects financed by SDR allocation                                   09          0.9            --            --             --           --           --          --           --          --          --          --
Net lending (+) / borrowing (-)
including grants                                                                 -7.6       -6.3        -5.7        -6.9         -4.9       -5.6       47 -49       -3.6      -3.2      -3.4      -3.0
excluding grants                                                                                                       -13.5          -13.2           -12.4           -12.1               -9.3         -10.0            -8.8          -9.2            -7.6           -74           -7.3           -6.7
Net acquisition of financial assets                                                    1.1          3.6          1.3         -0.2           1.5         1.2         0.5         0.5         0.3         0.4         1.4         0.3
Domestic                                                                                                                                                          0.6                  3.0                   1.8                   0.3                    15                1.2                 0.5               0.5                 0.3                0.4                14                0.3
Currency and deposits                                                            -0.5         1.7          0.6        -0.9          0.3        0.3         0.3        0.3         0.3        0.4        14        0.3
o/w RSF deposits                                                                      =           --            a            es          om           e          =           =          an          oe          —
Loans                                                                                          0.6          0.8           0.9           0.8            1h!          0.7          0.2         0.2           --           --           --           --
of which: KCC Interest Payment                                                         0.3           0.3            0.3           0.3            0.2          0.2          0.2         0.2            --           --           --           --
of which ERF-1 and ERF-2                                                       0.3         0.5          0.6          0.6          0.8        0.5          --         --          --          --          --          --
Equity and investment fund shares                                           0.5         0.5         0.3         0.3          0.2        0.2          --         --          --         --         --         --
Foreign                                                                                          0.6          0.6         -0.5         -0.5             --           --           --          --           --           --           --           --
Special Drawing Rights (SDRs)                                           06        0.6       -0.5       -0.5          --        --         --        --         --        --        --        --
Net incurrence of liabilities                                                             9.0        10.4          7.0          6.7           6.4         6.8         5.2        5.5         3.9        3.6        4.8        3.3
Domestic                                                                                                                                               -0.5                 18                  0.7                  0.5                   1.2                1.3                 1.4            -0.4                0.2             -0.6               1.7             -0.5
Debt securities                                                                              1.0          1.9           2.1           2.0            1.9         2.0          2.0        0.4          1.0         0.3         2.1           --
Debt securites (Without RSF)                                                      1.0         1.9          2.1          2.7           1.9        2.8         2.0        1.2         1.0        0.3        2.1          --
Loans                                                                                                                               -1.2             -0.7             -1.0             -1.0              -0.4           -0.4            -0.4          -0.4            -0.5           -0.6           -0.2           -0.3
Foreign                                                                                          95          8.6           6.3           6.2           5.2         5.5          3.9         5.9          3.6         4.2         oie         3.8
Special Drawing Rights (SDRs)                                           1.9        1.9         --         --          --        -         --        --         --        --        --        --
Debt securities                                                                              24          2.3           1.1           0.8             --         0.1            --          --           --           --           --           --
Disbursements                                                                            5.3          5.1           1.6           1.2             es         0.1            e          =           =           an           oe           —
Redemptions                                                                              2.9          2.8           0.5           0.5             --           --           --          --           --           --           --           --
Loans                                                                                           pea          45           beds           5.5           ees         5.4          3.9         5.9          3.6         4.2         eres         3.8
Disbursements                                                                            6.1           5.3           5.9           6.2           6.1          6.3          49         6.9          Dl         5.7         47         5.5
Current                                                                                                                                                         723)                   1.8                   24                   29                     2.5                 27                  2.3                3.6                  2.0                2.0                19                2.2
o/w required                                                                            --            --            --            --             --         1.0          0.3         0.6          0.1           --         0.1         0.4
o/w IMF RSF                                                           --         --         --        0.6          --       0.9         --       0.8         --        --        --        --
Capital                                                                                     3.8          3.4           ean           3.2           ies         3.6          2.6         3.3          Sh)         3.7         2.8         3.3
Reimbursements                                                                                                                         0.8                 0.8                  0.7                  0.7                   0.9               0.8                 1.0              1.0                pes               1.5               1.6               1.7
Statistical discrepancy                                                           -0.3       -0.5          --          --           --         --         --         --         --         --         --         --
Memorandum item:
Domestic revenue (incl. local government)                                                              17.9             17.8              16.6              17.1               WS            17.3            18.0          17.8            18.9           18.6           1913           19.4
Wage bill                                                                           54        5.4         5.6         6.0          54        5.9        es}       5.7        ey        5.6        2)        5.6
Total Covid-19 spending (excl. ERF 2 from FY24)*                             2.9         2.7         0.9         0.9           --         --          --         --          --         --         --         --
"Overall fiscal balance (incl. grants, policy loans)’                          -8.7       -7.6       -6.9       -8.1        -6.1      -6.5      -4.9      -5.2      -3.6      -3.2      -3.4      -3.0"
"Debt creating overall bal. (excl. PKO, comm.)’                              -8.7       -74        -6.9        -8.1        -6.1       -6.5       -4.9      -5.2       -3.6      -3.2      -3.4      -3.0"
"GDP (Billions of RwF), FY basis                                                                     11,808 11,992 13,685 13,989        15,642 15892 17,693 17,981 19,871 20,256 22,141 22,664"
Sources: Rwandan authorities and IMF staff estimates and projections.
‘Fiscal years runs from July to June.
"? For purposes of the PCI, the overall balance (GFSM 1986 definition, incl. policy lending) is used for monitoring."
> Overall deficit excluding spending on materialized contingent liabilities and other items already included in the DSA.
"* ERF-1/ ERF-2 were labelled COVID-19 spending in the Sth review. Since the 6th review, ERF-2 is no longer COVID-19 spending."
34 INTERNATIONAL MONETARY FUND
