      Nonbank financing                                                      -323             -317          -142       -100          -392          -151          -133             -42     -60    -106
        Of which: Repayment of domestic arrears                              -203             -128          -165       -165             …          -201          -177            -143    -102     -54
Financing gap (- = surplus)                                                        0               0              0        0            408         223           218             139       0       0
Expected financing (excluding IMF)                                                 0               0              0        0             …           71           167               89      0       0
IMF-ECF                                                                            0              0               0        0             …          152            51               50      0       0
Residual financing gap                                                             0              …               0        0             …            0             0                0      0       0
Memorandum items:
"    Stock of domestic arrears5                                               1,358                …         1,107     1,148              …        1,333           987             694     551     496"
    Stock of government deposits                                                98                …           243       294              …           88           200             277     326     460
    CEMAC Reference fiscal balance6                                            152                …            28       -36              …          -87          -202            -107    -137    -162
"    GDP at current market prices                                             5,937           6,962          6,976     6,962         7,189          7,189        7,390         7,899      8,146   8,370"
"    Non-oil GDP at market prices                                             4,245           4,369          4,369     4,369         4,639          4,639        4,955         5,308      5,708   6,162"
Sources: Congolese authorities; and IMF staff estimates and projections.
1
    Includes net spending (i.e. spending minus revenues) associated with decentralized government entities.
2
    Revenue and grants excluding oil revenues minus total primary expenditures (excluding interest payments).
3
    Non oil revenue excluding grants minus total expenditures excluding interest payments and foreign-financed investment.
4
    Basic non-oil primary balance minus oil revenue and oil-related transfers.
5
    Includes estimates of domestic arrears audited by the the Caisse Congolaise d'Amortisation (CCA) and reported but not yet audited arrears.
6
    CEMAC definition: overall balance minus 20 percent of oil revenues and minus 80 percent of the oil revenue in excess of the average observed during the three previous years.
""
""
""
""
                                                                                                                                        INTERNATIONAL MONETARY FUND                                      25
