    Tax refunds                                                            -0.9          -0.7        -0.7         -0.6         -0.7      -0.7        -0.6      -0.7        -0.7       -0.7       -0.8       -0.8       -0.8
  Nontax revenues                                                           2.9              2.9       2.9          3.0          3.0       2.9        2.8       3.0         2.9        3.0         3.0       3.1        3.1
 Grants                                                                     0.0              0.0       0.1          0.2          0.1       0.3        0.1       0.0         0.1        0.0         0.0       0.0        0.0
Expenditure                                                                27.4          29.0        33.4         29.4         32.5      29.2        31.9      28.2        32.8       27.7       27.8       28.0       28.1
 Current expenditure                                                       20.4          21.1        22.3         21.9         22.2      26.3        21.5      22.6        22.1       22.6       22.2       21.8       21.4
    Wages and salaries                                                      8.6           8.8         8.7          8.6          8.6       9.5         8.7       8.8         9.2        9.1        9.1        9.1        9.1
    Goods and services                                                      3.5           3.7         4.7          4.1          4.7       4.9         4.5       4.6         4.5        4.4        4.3        4.1        4.0
    Subsidies and transfers                                                 8.0           8.3         8.4          8.8          8.4      11.5         7.9       8.8         8.0        8.5        8.3        8.0        7.7
    Current reserves                                                        0.0           0.0         0.1          0.0          0.1       0.0         0.1       0.0         0.1        0.0        0.0        0.0        0.0
    Interest payment                                                        0.3           0.3         0.4          0.3          0.4       0.5         0.4       0.4         0.4        0.5        0.5        0.6        0.6
 Capital expenditure                                                        7.0              7.9     11.1           7.4        10.3        2.9       10.4       5.6        10.6        5.2         5.7       6.2        6.7
    Budget-financed capital expenditure                                     7.0              6.6      7.2           5.4         6.9        2.2        7.8       4.9         8.1        4.4         4.8       5.2        5.7
     PAK-financed capital expenditure                                       0.0              1.2       2.1          1.9          1.1       0.1        0.0       0.0         0.0        0.0         0.0       0.0        0.0
     IFI-financed capital expenditure                                       0.0              0.0       1.7          0.2          2.2       0.6        2.6       0.6         2.5        0.8         0.9       1.0        1.0
""
Primary balance                                                             -0.9         -2.6         -5.7         -2.6         -5.2      -4.4        -4.4      -2.3       -3.8       -1.8        -1.9      -2.0        -2.0
Overall balance                                                            -1.2          -2.9         -6.0         -2.8         -5.6      -4.8       -4.7      -2.7        -4.1       -2.3        -2.4      -2.5       -2.5
Overall balance (Fiscal rule) 2/                                           -1.1          -1.5         -2.0         -0.7         -1.9      -3.4       -2.0      -2.1        -1.5       -1.5        -1.5      -1.5       -1.5
Statistical discrepancy                                                     0.1           0.2           …           0.0           …        0.0         …        0.0          …         0.0         0.0       0.0        0.0
""
Financing                                                                    1.1          2.7          6.0          2.9          6.8       4.8        4.7        2.7        4.1        2.3         2.4       2.5         2.5
  Foreign financing                                                          0.7         -0.2          1.8         -0.2          2.0       0.1        2.0       -0.4        2.3        0.3         0.3       0.3         0.5
"     Drawings/ Borrowings, incl. official financing                          0.1          0.2          0.8          0.3          0.6       0.2         …         0.1         …         0.1         0.1       0.1         0.1"
     Donor financing for new projects                                        0.0          0.0          1.7          0.2          2.2       0.6         …         0.6         …         0.8         0.9       1.0         1.0
     IMF financing                                                           1.5          0.0          0.0          0.0          0.6       0.7         …         0.0         …         0.0         0.0       0.0         0.0
     Amortization/ Repayments                                               -0.9         -0.3         -0.7         -0.7         -1.5      -1.4         …        -1.2         …        -0.6        -0.7      -0.8        -0.6
 Domestic financing                                                          0.1          2.7          4.5          2.4          4.6       4.5        1.6        2.5        1.7        1.5         1.7       2.0         1.9
   Domestic borrowing (net)                                                  1.5          1.5          1.9          1.6          1.7       2.4        1.6        4.1        1.6        2.2         2.3       2.4         2.3
      Drawings                                                               5.8          9.3           …           5.1           …        6.5         …         8.4         …         6.8         7.0       7.7         7.5
      Amortization                                                          -4.3         -4.7           …          -3.4           …       -4.0         …        -4.3         …        -4.5        -4.6      -5.3        -5.2
   Change in GG Deposits at the CBK                                         -1.5          0.9           …           0.7           …        2.1         …        -1.5         …        -0.6        -0.5      -0.4        -0.2
      Change in PAK deposits (- = increase)                                 -0.2          1.2           …           1.6           …        0.1         …        -0.5         …        -0.4        -0.2      -0.1         0.0
        Privatization receipts                                              -0.3         -0.1           …          -0.6           …       -0.1         …        -0.5         …        -0.4        -0.2      -0.1         0.0
        Use of privatization revenues                                        0.1          1.4          2.1          2.2          1.2       0.2        0.0        0.0        0.0        0.0         0.0       0.0         0.0
             o/w for PAK-funded investment clause projects                   0.0          1.3          2.1          2.1          1.1       0.1        0.0        0.0        0.0        0.0         0.0       0.0         0.0
             o/w for PAK-related current expenditure                         0.1          0.1          0.0          0.1          0.1       0.1        0.0        0.0        0.0        0.0         0.0       0.0         0.0
      Change in municipalities OSR (– = increase)                           -0.1         -0.2          0.3         -0.1          0.3       0.6        0.1        0.0        0.1        0.0         0.0       0.0         0.0
        Change in GG free bank balances (- = increase)                      -1.2         -0.2         -0.3         -0.8          0.2       1.4        1.1       -1.0        0.2       -0.2        -0.2      -0.2        -0.2
        Change in other GG bank balances (- = increase)                      0.0          0.0           …           0.0           …        0.0         …         0.0         …         0.0         0.0       0.0         0.0
    Other financing                                                          0.1          0.3          0.2          0.1          0.2       0.0        0.1        0.0        0.1        0.0         0.0       0.0         0.0
 Equity ( Sale of State Assets)                                              0.3          0.1           …           0.6           …        0.1         …         0.5         …         0.4         0.2       0.1         0.0
""
Memorandum items
Bank balance of the general government                                       4.6          4.5          4.8           5.2           4.5      3.8          3.1        4.5         2.9        4.5        4.5      4.5       4.5
  Of which: ELA                                                              0.7          0.7          0.6           0.6           0.6      0.7          0.6        0.6         0.6        0.6        0.6      0.5       0.5
Total public debt 3/                                                       16.2          16.9        20.6          17.5          20.2      20.7        23.2        22.7        27.2      24.1       25.4      26.8     28.1
      External debt                                                          6.6          6.2          9.2           5.7           7.9      6.1        10.0         5.2        12.3        5.2        5.2      5.2       5.4
        Of which: guarantees                                                 0.7          0.7            …           0.6            …       0.6            …        0.6          …         0.6        0.5      0.5       0.5
"Nominal GDP (millions of euros)                                           6,414        6,726        7,125         7,125         7,520    6,877        7,946      7,476       7,946      7,870      8,305    8,784     9,276"
Sources: Kosovo authorities; and IMF staff estimates and projections.
 1/ Does not yet reflect the GFSM 2014 methodology.
" 2/ For fiscal rule purposes, IFI and PAK-financed projects post-July 2015 are excluded from the fiscal deficit. Following the LPFMA, the fiscal rule deficit also excludes expenditures from carried-forward own-source"
" 3/ The stock of public debt no longer includes the former Yugoslavia debt, which has been reclassified as a contingent liability."
 4/ Based on current legislation and preliminary budget execution as of end-December 2019.
""
""
""
""
10         INTERNATIONAL MONETARY FUND
