      Scheduled amortization                                          -0.8     -1.2    -0.7    -1.3      -1.4    -1.0     -0.9     -1.1     -1.1    -1.5    -1.6    -1.6    -1.1
     Net domestic                                                     -1.9      0.2    -1.8     1.7       2.3    -0.1      1.1      1.0     -0.1    -1.2    -1.7    -1.5    -2.1
      Net bank credit to the government                               -1.9      0.2    -1.8     1.8       2.9     0.1      1.3      1.2      0.1    -1.1    -1.5    -1.3    -2.0
"         Banking credit (net, excluding National Oil Account) 3        0.0      0.0    -2.3     1.3       2.3    -0.1      0.8      0.8      0.1    -1.0    -1.4    -1.3    -1.9"
         National Oil Account                                         -1.9      0.2     0.5     0.6       0.6     0.2      0.5      0.5     -0.1    -0.1    -0.1    -0.1    -0.1
      Nonbank financing                                                0.0      0.0     0.0    -0.2      -0.6    -0.2     -0.2     -0.2     -0.2    -0.2    -0.1    -0.1    -0.1
        Of which: Amortization payments to ENCO                         …        …       …     -0.2      -0.6    -0.2     -0.2     -0.2     -0.2    -0.2    -0.1    -0.1    -0.1
Financing gap                                                          0.0      0.0     0.0     0.0       0.0     0.0      0.0      0.0      0.0     0.0     0.0     0.0     0.0
""
Memorandum items
"Nominal GDP (Millions of new dobra)                                  8,619 9,424 10,247 10,750 10,759 11,281 11,281 11,365 12,139 12,938 13,853 14,999 16,322"
Public debt                                                             96   100     87     88     96     86      …     94     91     87     81     74     67
EMAE loss                                                               3.8   4.1     …      …      …      …      …      …      …      …      …      …      …
""
Sources: São Tomé and Príncipe authorities' data and IMF staff estimates and projections.
1
    Revenue is measured on a cash basis.
2
"    Excludes oil related revenues, ENCO debt repayment, grants, scheduled interest payments, and foreign-financed capital outlays per definition in TMU."
3
    Includes use of IMF program support.
""
""
""
""
                                                                                                                     INTERNATIONAL MONETARY FUND                             33
