"       Grants                                                           3,863   3,553          4,287   2,504          2,488   2,513   3,589   3,789   3,974   4,195"
"       Other revenue                                                   15,811  18,862         20,784  19,478         19,550  21,994 24,224   25,451  26,706  28,117"
"    Cash payments for operating activities                             78,668  90,693        100,097 103,868        108,882 112,426 121,394 127,238 133,618 140,884"
"       Compensation of employees                                       25,635  28,657         31,299  33,091         33,382  35,139 36,845   38,599  40,709  43,169"
"       Use of goods and services                                       14,341  17,695         19,484  17,686         18,717  19,039 21,690   23,350  24,002  25,290"
"       Interest                                                         3,183   3,770          4,755   4,815          5,834   5,453   5,523   5,396   6,403   6,804"
"       Subsidies                                                        2,934   3,570          4,279   4,592          4,354   4,172   5,816   5,843   4,979   5,272"
"       Grants                                                          10,754  11,902         12,575  13,076         13,121  13,182 14,399   15,357  17,069  17,986"
"       Social benefits                                                 18,122  21,150         24,351  27,435         29,504  31,062 32,527   33,856  35,351  36,953"
"       Other expense                                                    3,699   3,950          3,354   3,172          3,971   4,379   4,594   4,838   5,105   5,410"
"    Net cash inflow from operating activities                          16,522  18,096         20,831  10,335         17,041  15,468 13,599   14,305  14,893  15,855"
"    Net cash outflow from investments in NFAs                          23,224  26,622         29,487  27,321         25,415  26,346 27,545   29,317  30,990  31,914"
" Cash surplus / deficit                                                -6,702 -8,526          -8,656 -16,986         -8,374 -10,878 -13,947 -15,012 -16,097 -16,059"
" Central bank (BCN) cash surplus / deficit                             -1,027   -801            -650     465             32    -788    -742  -1,074 -1,544   -2,597"
" Consolidated Public Sector cash surplus / deficit                     -7,728     -9,327      -9,306 -16,521         -8,341 -11,666 -14,689 -16,085 -17,641 -18,657"
" Cash flows from financing activities: (-1+2+3+4)                       7,728      9,327       9,306     16,521       8,341     11,666     14,689      16,085       17,641   18,657"
        Net acquisition of financial assets
"        other than cash (1)                                             1,214           7       -248     -1,421        -600        -680          0           0           0         1"
"        Net incurrence of liabilities (2)                               9,767       9,429     15,721      6,187       8,540       7,657     10,419       9,874      11,688    12,591"
"               Domestic                                                   737         632      1,945     -1,801      -1,531      -1,127         84        -231       1,456     1,394"
"               Foreign                                                  9,030       8,796     13,775      7,988      10,070       8,784     10,335      10,105      10,232    11,197"
"    Use of deposits (3)                                                -1,852        -896     -7,312      9,378        -766       2,540      3,528       5,138       4,409     3,470"
"    Central bank (BCN) cash surplus/deficit (4)                         1,027         801        650       -465         -32         788        742       1,074       1,544     2,597"
 Memorandum items
"    GDP (nominal)                                                     347,707 380,261        416,013 413,911        411,254    426,447 445,266         466,128 488,893       515,135"
"    Stock of government deposits                                       26,654  27,670         33,716  24,316         25,082     22,541 19,014           13,876   9,467         5,997"
""
 Sources: National authorities and IMF staff calculations.
" 1/ Includes the state-owned airport (EAAI); ports (EPN); oil (PETRONIC); electricity generation, transmission and regulation (ENATREL, ENEL and INE); water and sewer (ENACAL); food"
 (ENABAS); trade and public enterprise corporation (ENIMPORT and CORNAP); telecommunications (TELCOR); technological institute (INATEC); post (CORREOS); and lottery
 (LOTERIA).
""
""
""
""
30      INTERNATIONAL MONETARY FUND
