V1
                                                                                                                                                                                                MALAWI
"                              Table 2b. Malawi: Central Government Operations, 2018/19-25/261"
                                                        (Percent of GDP)
                                                            2018/19       2019/20     2020/21                        2021/22                        2022/23         2023/24           2024/25    2025/26
""
""
                                                                                                      RCF II       RCF II
                                                                                       Prelim.                                 Budget    Proj.                                Proj.
                                                                                                   Pre-rebase     Rebase
REVENUE                                                          14.7       14.9        14.8          21.3         15.2         16.5      14.3        14.3           14.4              14.4       14.3
       Health Sector                                             0.6        0.8          0.6           0.9          0.7         0.6       0.6         0.6             0.6               0.6        0.6
       Agriculture Sector                                        0.1        0.1          0.1           0.1          0.1         0.1       0.1         0.1             0.1               0.1        0.1
       Education Sector                                          0.3        0.3          0.4           0.5          0.3         0.4       0.4         0.3             0.3               0.3        0.3
       Expenditure for arrears                                   0.1        0.6          0.0           0.1          0.1         0.1       0.1         0.0             0.0               0.0        0.0
       Storage levy expenses                                     0.0        0.0          0.0           0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
       Maize purchases                                           0.1        0.1          0.1           0.2          0.1         0.2       0.2         0.1             0.1               0.1        0.1
       Other
          p                   p                                  0.0        0.0          0.0           0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
      Interest                                                   2.9        3.1          3.8           5.4          3.8         3.9       3.8         4.7             5.2               5.7        6.2
       To non-residents                                          0.2        0.2          0.2           0.3          0.2         0.2       1.2         1.3             1.3               1.2        0.8
       To residents other than general government                2.7        2.9          3.6           5.1          3.6         3.7       2.6         3.4             3.9               4.6        5.4
      Grants                                                     2.2        2.5          2.1           3.3          2.3         2.0       2.2         2.0             1.9               1.8        1.6
       Current                                                   1.6        1.9          1.8           2.6          1.9         1.8       1.9         1.8             1.7               1.6        1.5
         Road fund Administration                                0.3        0.5          0.4           0.7          0.5         0.4       0.4         0.4             0.4               0.4        0.4
         Transfers to MRA                                        0.4        0.4          0.3           0.5          0.4         0.4       0.4         0.4             0.4               0.4        0.4
         Transfers to public entities                            1.0        1.1          1.1           1.5          1.1         1.0       1.2         1.1             1.0               0.8        0.7
       Capital                                                   0.6        0.6          0.2           0.6          0.4         0.1       0.3         0.2             0.2               0.2        0.1
         Rural electrification programme                         0.5        0.5          0.1           0.6          0.4          …        0.1         0.1             0.1               0.1        0.1
         Net Lending                                             0.1        0.1          0.1           0.1          0.0         0.1       0.1         0.1             0.1               0.1        0.0
      Social Benefits                                            1.4        1.5          2.6           4.1          2.9         2.9       3.7         2.9             2.7               2.4        2.4
       Social assistance benefits                                0.5        0.4          1.5           2.6          1.8         1.9       2.6         1.9             1.7               1.5        1.5
         Fertiliser payments 2                                   0.4        0.4          1.3           2.0          1.4         1.7       2.4         1.7             1.5               1.4        1.4
         Maize seed subsidy 2                                    0.1        0.1          0.2           0.3          0.2         0.2       0.2         0.1             0.1               0.1        0.1
         Social Cash Transfer-Government                         0.0        0.0          0.0           0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
       Pensions and gratuities                                   0.9        1.0          1.1           1.5          1.1         1.0       1.1         1.1             1.0               0.9        0.9
      Other Expenses                                             0.1        0.1          0.3           0.1          0.1         0.4       0.3         0.2             0.2               0.2        0.2
""
""
    Acquisition of Non-Financial Assets (Development
    Expenditure)                                                 4.0        3.8          3.8           7.2          5.2         7.4       5.1         4.8             4.7               4.8        4.9
      Foreign (Part I)                                           2.5        2.5          2.8           5.1          3.7         4.6       2.6         2.9             2.8               2.7        2.5
      Domestic (Part II)                                         1.5        1.3          1.0           2.1          1.6         2.8       2.5         1.9             1.9               2.2        2.4
""
""
Discrepancy                                                      0.1        0.8          -0.1          0.0          0.0         0.0       0.0         0.0             0.0               0.0        0.0
Overall Balance (incl. grants and discrepancy)                   -4.8       -5.8         -7.5         -11.4         -7.8        -9.4     -10.3        -9.5           -9.3              -9.7       -10.4
Primary Balance                                                  -1.9       -2.7         -3.7          -6.0         -4.0        -5.5      -6.5        -4.8           -4.2              -4.0       -4.2
Domestic Primary Balance 3                                       -0.9       -1.7         -2.5          -3.5         -2.2        -3.2      -5.1        -3.0           -2.5              -2.2       -2.3
""
""
NET FINANCING (Repayment if negative)                            4.8        5.8          7.5           11.4         7.8         9.4       10.4        9.5             9.3               9.7       10.4
Net Acquisition of Financial Assets                              1.8        -1.1         0.7           0.0          0.0          …        0.0         0.0             0.0               0.0        0.0
    Domestic Creditors                                           0.0        0.0           …             …            …           …         …           …              …                 …          …
    Currency and deposits                                        1.8        -1.1          …             …            …           …         …           …              …                 …          …
      Deposits Monetary                                          1.7        -1.0          …             …            …           …         …           …              …                 …          …
      Deposits Commercial banks                                  0.1        -0.1          …             …            …           …         …           …              …                 …          …
""
""
Net Incurrence of Liabilities                                    6.6        4.7          8.2           11.4         7.8         9.4       10.4        9.5             9.3               9.7       10.4
Total Financing                                                  6.6        4.7          8.2           11.4         7.8         9.4       9.6         3.8             3.1               2.2        3.6
    Foreign financing (net)                                      1.0        0.8          1.3           1.7          1.3         1.7       1.2         -0.3           -0.2               0.2        1.2
      Loans                                                      1.0        0.8          1.3           1.7          1.3         2.3       1.2         -0.3           -0.2               0.2        1.2
       Programme Borrowing                                       0.0        0.0          0.6           0.0          0.0         0.0       1.9         0.0             0.0               0.0        0.0
       Project Loans                                             1.3        1.2          1.2           2.4          1.7         2.3       1.4         1.7             1.7               1.7        1.9
       Other concessional loans                                  0.1        0.0          0.0           0.1          0.1          …        0.0         0.0             0.0               0.0        0.0
       Non-concessional loans                                    0.0        0.0          0.0                                     …        0.0         0.0             0.0               0.0        0.0
       Amortisation                                              -0.4       -0.4         -0.5          -0.8         -0.5        -0.6      -2.1        -2.0           -1.9              -1.5       -0.7
""
""
    Domestic financing (net)                                     5.6        3.9          8.1           9.6          6.5         7.6       8.3         4.1             3.2               2.0        2.4
    Debt Instruments                                             5.6        3.9          8.1           9.6          6.5          …        8.3         4.1             3.2               2.0        2.4
      Banking system                                             3.4        2.8           …             …            …           …         …           …              …                 …          …
       Gross borrowing Monetary                                  0.7        0.1           …             …            …           …         …           …              …                 …          …
       Gross borrowing Commercial banks                          2.7        2.7           …             …            …           …         …           …              …                 …          …
      Nonbank sector                                             3.2        1.2           …             …            …           …         …           …              …                 …          …
      Zero Coupon Promissory Note                                                        1.2                                     …        0.5         0.0             0.0               0.0        0.0
      Amortization                                               -1.0       -0.1         0.0           -2.3         -1.6         …        -0.3        -1.7           -3.6              -5.5       -6.7
""
""
Financing Gap                                                                                                       0.0                   0.8         5.7             6.3               7.5        6.8
""
""
Sources: Malawi Ministry of Finance and IMF staff projections.
""
""
1
"    FY2021/22 covers 1 July 2021 to 31 March 2022, to accommodate the transition to an April - March fiscal year starting from FY2022/23."
2
    Farm Input Subsidy Program prior to FY20/21
3
 Domestic primary balance is calculated by subtracting current expenditures (except interest payment) and domestically-financed development expenditures from tax
and nontax revenues.
""
""
""
""
                                                                                                                                 INTERNATIONAL MONETARY FUND                                             31
