     Domestic debt                                                                         29.4            19.5            14.9             15.2              58.6              56.8      55.2            54.1      53.1        52.5
"     External debt                                                                      1,018.0         1,094.3         1,043.7            961.0        1,150.8           1,377.5      1,565.1         1,718.1   1,804.4     1,896.3"
 Sources: Data provided by the Samoa authorities; and IMF staff estimates.
" 1/ Includes supplementary budget 1 in December 2019 (following measles outbreak) and supplementary budget 2 in April 2020 to support the private sector affected by COVID-19. In addition, it includes external financial"
 assistance by multilateral and bilateral donors to support policies to address impacts of the global COVID-19 pandemic (see Table 5).
" 2/ Starting January 2019, the Ministry of Health finances operations of the National Health Services (previously classified as an extra budgetary unit)."
 3/ Primarily to subsidize the cost of products or production of public corporations.
 4/ Grants paid to extra budgetary units of the central government.
 5/ To meet the direct cost of social assistance related spending that are not covered by a social security fund or provident fund.
 6/ Includes current and capital transfers made to cover and meet other operational and capital costs of state owned enterprises which are not subsidies.
""
""
""
""
18         INTERNATIONAL MONETARY FUND
