       excluding recapitalization of pension                                        -102.5     -88.3     -83.5     -85.5     -90.2        -88.4     -86.7      -85.4     -84.5      -83.4        -82.3     -81.1
         excluding oil-related subsidies and benefits                                -81.2     -77.5     -74.5     -76.6     -81.6        -80.8     -79.8      -78.8     -78.1      -77.1        -76.2     -75.0
""
 Memorandum items:
""
""
 Expenses (percent of nonoil GDP)                                                    107.4      81.0      78.6      81.3      88.8        86.6       84.5      83.1       82.1      81.0          80.0      78.8
 Expenses excl. recapitalization of pension fund (percent of nonoil GDP)             101.1      81.0      78.6      81.3      88.0        86.0       84.1      82.9       82.1      81.0          80.0      78.8
 Oil-related subsidies and benefits (percent of nonoil GDP)                           21.3      10.8       9.0       8.9       8.7          7.7       6.9       6.6        6.4          6.3        6.2       6.1
" Kuwait Crude oil price, USD per barrel                                               84.6      47.0      44.1      57.7      69.0        62.5       57.8      56.8       56.6      56.9          57.4      58.1"
 Total gross debt (percent of GDP)                                                     3.4       4.7      10.0      20.5      14.8        11.6       15.5      30.4       41.6      55.1          65.2      74.4
""
""
""
     Sources: MOF; CBK; and IMF staff estimates and projections.
     1/ Excluded from the national budget presentation. Estimated by IMF staff.
     2/ Includes UN (Iraq) compensations.
"     3/ Starting FY2016/17, there has been a reclassification of expenditure items."
     4/ Excludes 10 percent of total revenue transferred to the FGF and investment income.
""
""
""
""
34        INTERNATIONAL MONETARY FUND
