V1
CHAD
"Table 2. Chad: Fiscal Operations of the Central Government, 2017-21"
"(In billions of CFAF, unless otherwise indicated)"
2017                    2018                                  2019                                              2020                                            2021
Prel.          Prel.        Sth Rev.       Est.        Sth Rev.      Proj.      5th Rev.      Proj.
Financing Gap                                                                                 -1                    0                     0                 0                   0                170               0               315
Peawonindigra heap
"Non-oil GDP                                                                                                                   4,830                   4,961                     5,166               5,130                   5,466                5,206                5,850                5,517"
Poverty-reducing social spending                                 202            182            241          241             was            wes            ae            ws
Bank deposits (including BEAC)                                                             119                    254                    205                 149                   207                 152                239                 174
(In months of domestically-financed spending)              2.0            45             3.2          2.3            2.9          2.1           3.1           2.2
BEAC advances”                                                     480            480            480          480           480          480          480          480
Sources: Chadian authorities; and IMF staff estimates and projections.
'Net of cash calls and transportation costs linked to the oil public enterprise (SHT) participation in private oil companies.
* includes subsidies to the electricity company starting from 2020.
"""Includes projects financed by the BDEAC, but the corresponding loans (in CFAF) are counted as domestic financing."
"“Total revenue, less grants and oil revenue, minus total expenditures, less interest payments and foreign financed investment."
"°Difference between committed and cash expenditure, and errors and omissions."
"Recognized arrears, as registered by the Treasury in the ""restes 4 payer"" table."
"‘Other arrears include unrecognized arrears, the total of which will be specified after the audit of arrears, and the clearance in 2018 of CFAF 54 billion of arrears of the then"
public company Coton Tchad owed to domestic banks.
"8Bilateral or multilateral loans in CFAF (e.g. BDEAC, loan from Cameroon in 2016)."
"°27 billion in 2016 include arrears to China, cleared through an agreement in April 2017."
"""All debt to BEAC was consolidated and rescheduled in September 2017 into long term securities."
INTERNATIONAL MONETARY FUND 15
