"       COVID-19 vaccine procurement and delivery                                        0,0          0,0            0,0         0,3          0,3           0,0          0,0          0,0          0,0"
"       Local production stimulus fund                                                   0,0          0,0            0,2         0,1          0,2           0,2          0,2          0,0          0,0"
"       Decentralization addendum special account                                        0,0          0,0            0,1         0,1          0,1           0,2          0,2          0,0          0,0"
""
     Overall balance (payment order basis)
"       Excluding grants                                                                -3,9          -3,4          -3,3        -3,7         -2,9          -2,2         -2,0          -1,3         -1,4"
"       Including grants                                                                -3,3          -3,3          -2,9        -3,4         -2,5          -1,8         -1,6          -0,9         -1,1"
"     CEMAC reference fiscal balance                                                    -4,2         -3,3           0,0         -3,8         -2,8         -2,1          -1,7         -1,0          -1,1"
"     Adjustment to cash basis                                                           0,4         -0,4           -0,3        -0,4         -0,5         -0,5          -0,3         -0,1           0,0"
"       Unexecuted payment orders (-=reduction)                                          0,0          0,0            0,0         0,0          0,0          0,0           0,0          0,0           0,0"
"       Floats and arrears (- = reduction)                                               0,4         -0,4           -0,3        -0,4         -0,5         -0,5          -0,3         -0,1           0,0"
"        o/w Arrears (- = reduction)                                                     0,5         -0,3           -0,1        -0,3         -0,2         -0,2           0,0          0,0           0,0"
"        o/w Floats (- = reduction)                                                      0,0          0,0           -0,2         0,0         -0,2         -0,2          -0,2          0,0           0,0"
"         o/w other arrears 1/                                                          -0,1          0,0            0,0        -0,1         -0,1         -0,1          -0,1         -0,1           0,0"
""
     Overall balance (cash basis)
"       Excluding grants                                                                -3,4          -3,8          -3,6        -4,1         -3,4          -2,7         -2,3          -1,3         -1,4"
"       Including grants                                                                -2,9          -3,6          -3,1        -3,8         -3,0          -2,3         -1,9          -1,0         -1,1"
"     Financing                                                                          2,9           3,6           1,7         2,0          2,0           1,5          1,6           1,0          1,1"
"        External financing, net                                                         3,2           1,2           1,3         1,7          0,9           1,0          1,3           1,4          1,5"
"           Amortization                                                                -1,4          -1,0          -1,6        -3,0         -1,9          -2,0         -1,8          -1,6         -1,5"
"           Drawings                                                                     4,6           2,2           2,9         4,8          2,9           2,9          3,0           3,0          3,0"
"            Eurobond                                                                                                            1,9"
"        Domestic financing, net                                                        -0,4           2,4           0,4         0,3          1,1           0,6          0,3          -0,4         -0,5"
"           Banking system                                                               1,4           3,0           1,6         1,7          1,4           1,1          0,9           0,7          0,7"
"              o/w statutory advances from BEAC                                          0,0           0,0           0,0         0,1         -0,2          -0,2         -0,2          -0,2         -0,2"
"           Amortization of non-structured debt                                         -0,2          -0,5          -0,1        -0,1         -0,1          -0,1         -0,1           0,0          0,0"
"           Other domestic financing                                                    -1,6           0,0          -1,1        -1,4         -0,2          -0,5         -0,5          -1,1         -1,1"
""
""
"     Financing gap                                                                      0,0              0,0       1,5          1,8          1,0          0,8           0,3          0,0           0,0"
""
"        IMF Financing                                                                                              0,0          0,7          0,3          0,3           0,1          0,0           0,0"
"          ECF (2017)                                                                                               0,0          0,0          0,0          0,0           0,0          0,0           0,0"
"          RCF                                                                                                      0,0          0,0          0,0          0,0           0,0          0,0           0,0"
"          Prospective ECF                                                                                          0,0          0,2          0,1          0,1           0,0          0,0           0,0"
"          Prospective EFF                                                                                          0,0          0,4          0,2          0,2           0,1          0,0           0,0"
"        Budget Support (excl. IMF)                                                                                 0,0          0,5          0,7          0,5           0,2          0,0           0,0"
""
"        Exceptional Financing                                                                                      0,4          0,7          0,0          0,0           0,0          0,0           0,0"
"          DSSI                                                                                                     0,4          0,7          0,0          0,0           0,0          0,0           0,0"
""
"      Residual gap                                                                      0,0              0,0       1,1          0,0          0,0          0,0           0,0          0,0           0,0"
"     Memorandum items:                                                                  0,0           0,0           0,0         0,0          0,0           0,0          0,0           0,0          0,0"
"      Floor of social spending                                                          3,1           0,0           0,0         0,0          0,0           0,0          0,0           0,0          0,0"
"      Primary balance (payment order basis, incl. grants)                              -2,3          -2,4          -1,8        -2,2         -1,6          -1,1         -0,9          -0,2         -0,4"
"      Primary balance (cash basis, incl. grants)                                       -1,8          -2,8          -2,1        -2,6         -2,2          -1,6         -1,2          -0,3         -0,4"
"      Non-oil primary balance (payment order basis, incl. grants)                      -4,8          -4,3          -3,4        -4,4         -3,7          -3,0         -2,6          -1,8         -1,8"
"      Non-oil primary balance (cash basis, incl. grants)                               -4,4          -4,6          -3,7        -4,8         -4,3          -3,5         -2,9          -1,9         -1,8"
"      Unpaid government obligations                                                     3,0           2,6           0,0         2,1          1,5           0,9          0,5           0,4          0,4"
"         Float                                                                          1,2           1,2           0,0         1,2          0,9           0,7          0,4           0,4          0,4"
"         Arrears                                                                        1,1              0,8        0,0         0,4          0,2           0,0          0,0           0,0          0,0"
"         Other arrears 1/                                                               0,7              0,6        0,0         0,5          0,4           0,2          0,1           0,0          0,0"
""
     Sources: Cameroonian authorities; and IMF staff estimates and projections with updated nominal GDP.
"     1/ Other arrears include the stock of unstructured debt that is held by CAA and the ""floating"" domestic debt at the Treasury as defined in the TMU. The payments of arrears are adjusted starting"
     end-2018 and the stock of unpaid government obligations is adjusted starting end-2016 to reflect these operations.
""
""
""
""
28       INTERNATIONAL MONETARY FUND
