V1
                                                                                                                                                              CEMAC
""
""
""
"                                                   Table 2. CEMAC: National Accounts, 2016–25"
""
"                                                           2016        2017    2018    2019       ""2020""      2020       ""2021""    2021    2022    2023    2024    2025"
Cameroon                                                     0.9         0.6     1.1     2.5          2.8       2.4          2.3    2.3     2.1     2.0     2.0     2.0
Central African Republic                                     4.9         4.2     1.6     2.7          2.1       2.3          1.8    3.7     2.5     2.5     2.5     2.5
Chad                                                        -1.6        -0.9     4.0    -1.0          3.5       4.5          3.0    2.6     2.8     2.8     2.9     3.0
"Congo, Republic of                                           3.2         0.4     1.2     2.2          2.4       1.8          2.6    2.6     2.8     3.0     3.0     3.0"
Equatorial Guinea                                            1.4         0.7     1.3     1.2          5.7       4.8          3.5    0.5     3.1     3.1     3.1     3.1
Gabon                                                        2.1         2.7     4.8     2.0          2.0       1.3          2.0    2.0     2.0     2.0     2.0     2.0
CEMAC                                                        1.1         0.8     2.1     1.8          3.1       2.7          2.5    2.1     2.3     2.3     2.3     2.3
""
""
End of period inflation
Cameroon                                                     0.3         0.8     2.0     2.4          2.4       2.1          2.1    2.1     2.0     2.0     2.0     2.0
Central African Republic                                    -4.5         7.2     4.6    -2.8          3.0       4.8          2.5    3.3     2.5     2.5     2.5     2.5
Chad                                                        -5.0         3.1     4.4    -1.7          1.2       3.0          5.6    4.2     2.7     2.8     2.9     3.0
"Congo, Republic of                                           0.0         1.8     0.9     3.8          2.5       0.5          2.7    2.7     3.0     3.0     3.0     3.0"
Equatorial Guinea                                            2.0        -0.2     2.6     4.1          3.5      -0.5          3.5    3.2     3.0     3.0     3.0     3.0
Gabon                                                        4.1         1.1     6.3     1.0          2.0       1.6          2.0    2.0     2.0     2.0     2.0     2.0
CEMAC                                                        0.3         1.2     3.0     1.9          2.3       1.7          2.8    2.6     2.3     2.3     2.3     2.3
""
Gross national savings
Cameroon                                                    25.2       25.5    26.2     26.1         21.9      22.9         23.8   24.9    27.1    28.6    30.1    31.7
Central African Republic                                     8.2        5.7     8.4      9.7         11.1      10.3          9.8    9.5    10.0    10.9    11.7    12.4
Chad                                                         6.1       13.6    17.5     18.5         14.5      15.5         16.4   16.2    17.8    15.5    16.5    20.2
"Congo, Republic of                                          25.1       30.6    23.5     22.8         17.2      22.6         21.8   32.0    28.4    27.5    25.6    24.8"
Equatorial Guinea                                            3.7        8.2     7.2      1.7          5.5      -1.0          7.2    6.9     6.8     7.5     7.8     9.6
Gabon                                                       24.6       23.3    29.0     31.0         23.5      25.5         27.8   25.6    29.0    27.5    27.1    27.9
CEMAC                                                       19.2       21.4    22.3     22.2         18.6      19.4         21.1   22.2    23.8    23.9    24.6    26.1
""
""
Gross domestic investment
Cameroon                                                    28.4       28.1    29.8     30.4         27.2      26.6         28.2   28.9    30.7    32.0    33.2    34.6
Central African Republic                                    13.6       13.5    16.4     14.7         18.6      18.9         15.8   16.2    16.2    16.8    17.5    18.2
Chad                                                        16.5       20.7    18.9     23.3         25.5      25.3         26.0   22.0    22.7    23.5    23.8    24.9
"Congo, Republic of                                          73.8       36.5    23.4     22.2         21.3      22.6         24.9   22.5    24.4    24.4    25.2    25.2"
Equatorial Guinea                                           16.7       14.0    12.5      7.7         13.7       5.3         12.6   11.1    12.0    11.4    11.8    25.6
Gabon                                                       35.2       31.5    32.9     32.1         29.1      31.7         29.3   31.1    32.2    30.3    29.4    29.8
CEMAC                                                       31.8       26.6    25.5     25.6         24.9      24.2         25.6   25.2    26.8    27.2    27.9    30.2
Sources: Authorities' data; and IMF staff estimates and projections.
1
    Refers to the projection published in the IMF Country Report No 21/21.
""
""
""
""
                                                                                                                     INTERNATIONAL MONETARY FUND                   25
