   including grants                                          -741         -656       -801       -758      -775       -759        -785       -731       -590       -515      -640       -538
"   excluding grants                                         -1,169       -1,248     -1,373     -1,363    -1,387     -1,455      -1,462     -1,465     -1,338     -1,318    -1,487     -1,422"
Net acquisition of financial assets                           421            -0       307         -76      -263         -95         -5        -97         61        -10         8         41
   Currency and deposits                                       308         -220        181       -185      -447       -163        -170       -195        -79       -110          8        41
   Loans                                                       104          212        119        104       124        63.4        124          --       117          --        --         --
     of which ERF                                                 0         183         90         25        93           --        88          --        92          --        --         --
   Equity and investment fund shares                            10             7          7          5       60            5        42         97         23        100         --         --
"Net incurrence of liabilities                               1,160          655      1,108        682       512      1,343         781      1,114        652      1,051       647        580"
 Domestic                                                      206          -35        102        -25       -40        664         -40        537        -40        506       -40        -40
   Debt securities                                             271           57        195         73        67          83        140           0          1          0       37        107
   Loans                                                       -39          -57        -57        -58       -67        621        -140        577          -1       546       -37       -107
   Other accounts payable                                      -27          -35        -35        -40       -40         -40        -40        -40        -40        -40       -40        -40
" Foreign                                                       954          691      1,006        707       552        679         821        577        692        546       688        620"
   Debt securities                                               --           --       253          --        --          --         --         --         --         --        --         --
   Loans                                                       954          691        752        707       552        679         821        577        692        546       688        620
"     Disbursements                                           1,009          766        828        801       651      1,198         924        688        829        699       871        906"
      Current                                                  721          457        416        448       248        821         468        270        339        246       372        376
      Capital                                                  288          309        413        353       403        377         456        418        490        453       499        530
     Reimbursements                                             55           76         76         94       100        519         103        111        137        153       183        286
Statistical discrepancy                                           2           --         --         --        --          --         --         --         --         --        --         --
Memorandum items:
"Domestic revenue (incl. local government)                    1,624        1,688       1,739     1,858     1,898      2,267       2,219      2,603      2,588      3,004     2,968      3,459"
Wage bill                                                      453          558         561       552       682        594         762        641        829        693       925        996
Total Covid-19 related spending                                109          294         370       168       342        105         198          --        92         --        --         --
"Overall fiscal balance (incl. grants, comm. basis)            -855         -875        -927      -867      -959       -827        -951       -731       -730       -615      -640       -538"
Debt creating overall bal. (excl. PKO)2                      -729          -883       -927      -867       -959       -827       -947       -731        -730      -615       -640       -538
Sources: Rwandan authorities and IMF staff estimates and projections.
 1
  Fiscal year runs from July to June.
 2
  Overall deficit excluding spending on materialized contigent liabilities and other items already included in the DSA.
""
""
""
""
                                                                                                                               INTERNATIONAL MONETARY FUND 23
