           Local Development Fund                                                        …             …            0.4        0.3     0.4          0.4             0.4          0.4          0.4            0.4        0.4        0.4         0.4       0.4     0.4      0.4     0.4     0.4
         Capital transfers                                               0.1            0.0           0.0           0.0        0.0     0.0          0.0             0.0          0.0          0.0            0.0        0.0        0.0         0.0       0.0     0.0      0.0     0.0     0.0
       Externally financed                                               2.3            3.0           4.0           4.0        3.2     1.4          0.5             0.9          1.1          4.1            4.0        3.8        4.7         4.7       5.7     4.8      4.1     3.5     3.4
      Net lending                                                        0.1            0.1           0.1           0.1        0.1     0.1          0.0             0.0          0.1          0.1            0.1        0.1        0.1         0.1       0.1     0.1      0.1     0.1     0.1
 Basic fiscal balance²                                                  -1.1            0.8          0.8           0.6        0.5      0.6          0.2            1.2          0.4           0.9        0.5           0.9        0.6         0.6        0.9     0.9     0.9      0.8     0.7
""
 Overall balance
  Excluding grants                                                       -3.6       -2.5            -3.4           -3.7       -2.9    -0.9         -0.3             0.2         -0.9         -3.4        -3.7          -3.1       -4.1        -4.3      -5.0     -4.2    -3.5    -3.0    -3.1
  Including grants                                                       -2.1       -1.1            -2.2           -2.6       -1.8    -0.5         -0.2             0.4         -0.8         -2.3        -2.5          -2.0       -3.0        -3.3      -4.0     -3.4    -2.6    -2.1    -2.1
  Float                                                                              0.6                                                            0.5             0.4          0.3
 Financing                                                                2.1        0.4             2.2            2.6       1.8      0.6         -0.3            -0.8          0.5          2.3         2.5           2.0        3.0         3.3       4.0     3.4      2.6     2.1     2.1
   Domestic financing                                                     1.2       -1.5            -1.0           -1.4      -1.3     -1.1         -0.6            -1.7         -0.5         -0.8        -1.4          -0.7       -0.7        -0.4      -0.7    -0.5     -0.4    -0.3    -0.2
    Bank financing                                                        1.4       -0.9            -0.1           -0.2      -0.1      0.9          0.4            -0.2          0.6         -0.1        -0.2          -0.1        0.1         0.4      -0.1    -0.1     -0.1    -0.1    -0.1
       Net position at central bank                                       0.5       -1.9            -0.3           -0.2      -0.2     -0.2          0.5            -0.3          0.2         -0.2        -0.2          -0.2       -0.2        -0.2      -0.2    -0.2     -0.1    -0.1    -0.1
       Commercial banks                                                   0.9        1.0             0.2            0.1       0.1      1.1         -0.1             0.2          0.4          0.2         0.1           0.1        0.3         0.6       0.1     0.1      0.1     0.0     0.0
    Nonbank financing                                                    -1.2       -0.9            -0.5           -0.6      -0.6     -0.9         -0.3            -0.4         -0.7         -0.4        -0.6          -0.5       -0.8        -0.8      -0.5    -0.3     -0.3    -0.2    -0.1
       Privatization revenue                                              0.0        0.0             0.0            0.0       0.0      0.0          0.0             0.0          0.0          0.0         0.0           0.0        0.0         0.0       0.0     0.0      0.0     0.0     0.0
       Borrowing/Amortization of domestic debt (net)                     -1.3       -0.9            -0.5           -0.6      -0.6     -0.9         -0.3            -0.4         -0.7         -0.5        -0.6          -0.5       -0.8        -0.8      -0.5    -0.3     -0.3    -0.2    -0.1
       Other / Exceptional revenue                                        0.1        0.0            -0.4            0.0       0.1      0.0          0.0             0.1          0.0          0.0         0.1           0.0        0.0         0.0       0.0     0.0      0.0     0.0     0.0
    Change in arrears                                                     0.9        0.2            -0.4           -0.6      -0.6     -1.1         -0.8            -1.2         -0.4         -0.3        -0.6          -0.1       -0.0        -0.0      -0.1    -0.1     -0.1    -0.0    -0.0
""
     External financing (net)                                             0.9        2.0             3.1            4.0        3.1     1.7          0.3             0.9          1.0          3.1         4.0           2.8        3.7         3.8       4.7      3.8     3.0     2.4     2.4
        Drawings                                                          1.3        2.5             3.8            4.5        3.6     2.2          0.4             1.1          1.3          3.7         4.5           3.4        4.3         4.3       5.4      4.6     3.7     3.1     3.0
           Project                                                        1.3        2.1             3.7            3.3        2.5     1.1          0.4             0.7          0.9          3.4         3.3           3.1        4.0         4.1       5.1      4.3     3.6     3.0     3.0
           Program                                                        0.0        0.5             0.1            1.2        1.1     1.1          0.0             0.4          0.4          0.3         1.2           0.3        0.3         0.3       0.2      0.2     0.1     0.1     0.1
        Amortization due                                                 -0.4       -0.6            -0.6           -0.5       -0.5    -0.5         -0.1            -0.2         -0.3         -0.6        -0.5          -0.6       -0.6        -0.6      -0.7     -0.7    -0.7    -0.7    -0.7
        Debt relief                                                       0.0        0.0             0.0            0.0        0.0     0.0          0.0             0.0          0.0          0.0         0.0           0.0        0.0         0.0       0.0      0.0     0.0     0.0     0.0
        Change in cap. arrears (- = reduction)                           -0.0        0.0             0.0            0.0        0.0    -0.0          0.0            -0.0         -0.0          0.0         0.0           0.0        0.0         0.0       0.0      0.0     0.0     0.0     0.0
      Change in int. arrears (- = reduction)                             0.0        -0.0              0.0           0.0        0.0     0.0          0.0             0.0          0.0          0.0            0.0        0.0        0.0         0.0       0.0     0.0      0.0     0.0     0.0
      Non Paris Clus bilateral rescheduling                              0.1            0.0          0.0           0.0        0.0      0.0          0.0            0.0          0.0           0.0        0.0           0.0        0.0          0.0       0.0     0.0     0.0      0.0     0.0
 Financing gap                                                           0.0            0.0          0.0           0.0        0.0      0.0          0.0            0.0          0.0           0.0        0.0           0.0        0.0         -0.0       0.0     0.0     0.0      0.0     0.0
""
 Memorandum items:
 Primary fiscal balance                                               -1.1          -0.3            -1.1           -1.8       -1.0    -0.0         -0.1            0.8          -0.2         -1.5        -1.8          -1.3       -2.4        -2.5       -3.1    -2.4    -1.6    -1.1    -1.1
"     Nominal GDP (GNF billion)                                     93,942       109,761         109,761        125,589    125,999 126,707      126,707        126,707       126,707      126,707     126,707       143,916    144,980     144,980    166,521 189,787 215,080 243,403 275,395"
 Sources: Guinean authorities; Fund staff estimates and projections.
 ¹ Based on GFSM 1986 due to data availability limitations.
 ² Total revenue excluding grants minus expenditures excluding interest on external debt and foreign-financed capital expenditures.
 3
     Supplementary budget law 2018 approved in August.
""
""
""
""
30          INTERNATIONAL MONETARY FUND
