V1
SURINAME
""
""
""
"                      Table 4. Suriname: Central Government Operations, Restructuring Scenario"
                                                   (Percent of GDP)
                                                                                                                                                                          Proj.
                                                                                                       2016         2017        2018    2019    2020    2021    2022    2023      2024    2025    2026
      IFIs                                                                                              -0.4         -0.6        -1.2    -1.1    -0.9    -2.0    -1.7    -1.6      -1.5    -1.5    -1.4
      Official bilateral                                                                                -0.5         -0.6        -0.6    -0.7    -0.1    -0.7    -0.9     0.0       0.0     0.0     0.0
      Commercial                                                                                        -4.5         -0.4        -1.7    -0.5    -0.1    -2.9    -2.2     0.0       0.0     0.0    -3.1
   Disbursements                                                                                        23.2          8.1         4.7     7.7     2.4     1.3     1.2     1.2       1.5     1.8     3.1
      IFIs                                                                                               4.7          0.7         0.8     1.0     1.4     1.3     1.2     1.2       1.5     1.5     1.5
      Official bilateral                                                                                 0.2          2.3         2.5     3.4     0.5     0.0     0.0     0.0       0.0     0.0     0.0
      Commercial                                                                                        18.3          5.1         1.3     3.4     0.5     0.0     0.0     0.0       0.0     0.2     1.6
   Official financing                                                                                    0.0          0.0         0.0    -0.5    -1.0     1.6     8.7     7.5       5.3     0.0    -0.6
      O/w: IMF                                                                                           0.0          0.0         0.0    -0.5    -1.0     1.6     2.9     2.0       0.0     0.0    -0.6
        Purchases                                                                                        0.0          0.0         0.0     0.0     0.0     2.2     2.9     2.0       0.0     0.0     0.0
        Repurchases                                                                                      0.0          0.0         0.0    -0.5    -1.0    -0.7     0.0     0.0       0.0     0.0    -0.6
      O/w: IFIs                                                                                          0.0          0.0         0.0     0.0     0.0     0.0     5.8     5.5       5.3     0.0     0.0
  External arrears (net)                                                                                 0.0          0.0         0.0     0.0     1.6     6.7     6.1    -1.3       0.0     0.0     0.0
  Privatizations                                                                                         0.0          0.0         0.0     0.0     0.0     0.0     0.0     0.0       0.0     0.0     0.0
""
  Statistical discrepancy                                                                                -4.7            -4.5    -0.8     3.5    -4.7     0.0     0.0     0.0       0.0     0.0     0.0
""
""
 Memorandum items:
  Primary cash balance 4/                                                                                -8.1            -6.2    -7.0   -15.8    -6.1    -1.3     1.7     3.5       4.5     4.0     3.5
  Gross financing needs (incl. IMF debt service)                                                          …            …           …     28.6    18.3    21.3    13.1     9.3       7.3     2.8     5.9
  Electricity subsidy financed through the budget                                                        1.2          3.4         4.2     4.7     2.3     3.4     3.5     2.2       0.5     0.0     0.0
  Non-resource balance                                                                                 -14.1        -13.7       -12.4   -28.1   -19.9   -19.1   -16.7   -12.5     -10.4    -9.5    -9.0
  Non-resource primary balance                                                                         -11.6        -11.2        -9.6   -25.2   -16.2   -12.5   -10.9    -9.2      -7.3    -7.0    -6.7
  Public (central government) debt 5/                                                                   74.8         71.5        66.1    85.2   147.7   128.9   128.5   119.8     119.4   108.6   101.9
"  Official exchange rate (SRD per USD, period average)                                                   6.2          7.5         7.5     7.5     9.3      …       …       …         …       …       …"
"  Official exchange rate (SRD per USD, eop)                                                              7.4          7.5         7.5     7.5    14.2      …       …       …         …       …       …"
  Domestic debt interest rate (effective)                                                                 3.7            4.1      5.5     2.4     5.0     6.3     6.3     8.6       8.1     6.3     5.2
  External debt interest rate (effective)                                                                 3.2            3.3      4.4     4.2     1.5     1.4     1.5     1.8       1.8     1.7     1.8
""
 Sources: Surinamese authorities; and IMF staff calculations and projections.
" 1/ The overall balance is computed using net financial transactions, and therefore, includes statistical discrepancy."
 2/ Includes acquisition of stake in gold mine and loans to state owned enterprises.
 3/ Comprised of holding of T-bills and notes by non-bank financial institutions.
 4/ Defined as net financial transactions (cash-basis) plus net interest payments.
 5/ The debt-to-GDP ratio is different when computed using the definition in the Government Debt Act of Suriname.
""
""
""
""
36       INTERNATIONAL MONETARY FUND
