V1
CHAD
"Table 3. Chad: Fiscal Operations of the Central Government, 2017-21"
"(Percent of non-oil GDP, unless otherwise indicated)"
2017                     2018                                   2019                                                2020                                                  2021
Prel.            Prel.          5th Rev.         Est.          5th Rev.        Proj.          5th Rev.        Proj.
"Non-oil primary balance (excl. grants, commitment)‘                         -3.8              -4.2              -4.9            -4.8              -4.9            -6.8               -5.0            -6.6"
Float from previous year”                                                                 -1.6                -0.2                -1.0              -1.0               -1.5             -1.7                 -14              -1.4
Float at end of period”                                                                    0.2                 1.0                 1.5               1.8                 1.5               1.5                  1.6               1.6
Var. of Arrears®                                                                                    0.1                  -0.7                 -1.2               -1.2                -0.8              -0.9                  -0.7              -0.7
Repayment of other arrears’                                                                  -0.3                 -1.1                  0.0                0.0                 -0.2              -0.2                  -0.7               0.0
"Overall balance (incl. grants, cash)                                                           -2.5                  0.8                  -0.6               -1.2                  2.0               -2.8                   1.3                -3.9"
"Non-oil primary balance (excl. grants, cash)                                    -5.4              -5.3              -5.4            -5.3              -5.9            -8.1               -6.1            -7.1"
Financing                                                                                                                                        2.5                          -0.8                         0.6                        1.2                         -2.0                     -0.5                          -1.3                     -1.8
Domestic financing                                                                                 0.9                   -1.5                   0.4                 0.7                  -1.4               -1.6                   -0.7                -1.2
Bank financing                                                                                0.2                 -1.6                 24                3.5                  0.3               0.4                  -0.7              -0.5
Central Bank (BEAC)                                                   -0.2            -1.5             24            3.5             0.3           0.4              -0.7           -0.5
Deposits                                                                                                                    -0.5                       -2.6                        1.0                      2.0                         0.0                     0.0                          -0.6                    -0.4
Advances (net)                                                                 -0.3               0.0                0.0              0.0               0.0             0.0                 0.0              0.0
IMF                                                                                                                                         0.6                           1.1                            14                        14                          0.4                       0.4                            -0.1                      -0.1
Commercial banks (deposits)                                            0.4             -0.1              0.0            0.0              0.0            0.0               0.0            0.0
Other financing (net)                                                                      -0.8                 0.0                 -2.0               -2.8                -1.8              -2.0                  0.0               -0.6
Privatization and other exceptional receipts                               1.5              0.2              0.0             0.0              0.0            0.0               0.0            0.0
Foreign financing                                                                     1.6                0.7                0.2              0.5               -0.6            -0.1                -0.7             -0.6
Loans (net)                                                                                                                          0.6                          0.2                         -0.3                      0.0                        -1.1                     -0.6                          -1.1                     -1.1
Disbursements                                                                                                                        3.3                            2.2                            14                         14                            1.3                        1.3                              1.2                         1.3
Amortization                                                                               -2.7                 -2.0                 -1.7               -1.4                -2.4              -2.0                  -2.3               -2.4
Memo: Glencore loan (after restructuring)                                         -1.2                   -0.8                   -0.5                 -0.5                   -1.1                 -0.7                     -1.1                 -1.0
Debt relief/rescheduling (HIPC)                                                    0.6                 0.5                 0.5               0.5                0.5              0.5                  0.4               0.5
External arrears®                                                                0.3              -0.1              0.0             0.0              0.0             0.0                0.0             0.0
Prospective RCF                                                                0.0              0.0              0.0            0.0              0.0            1.3               0.0            0.0
Financing gap                                                                   0.0              0.0              0.0            0.0              0.0            3.3               0.0            5.7
Momma ibeygpge uuu
"Non-oil GDP                                                                                                                                     4,830                       4,961                        5,166                    5,130                       5,466                   5,206                         5,850                    5,517"
Poverty-reducing social spending                                             4.2               3.7               47             47               wee              oe                 wee               wee
Bank deposits (including BEAC)                                                2.5               5.1               4.0             2.9               3.8             2.9                4.1             3.2
(In months of domestically-financed spending)                           2.0                4.5                3.2              2.3               2.9             2.1                 3.1              2.2
BEAC advances”                                                                           9.9                 9.7                 9.3               9.4                8.8              9.2                  8.2               8.7
Sources: Chadian authorities; and IMF staff estimates and projections.
‘Net of cash calls and transportation costs linked to the oil public enterprise (SHT) participation in private oil companies.
* includes subsidies to the electricity company starting from 2020.
"*Includes projects financed by the BDEAC, but the corresponding loans (in CFAF) are counted as domestic financing."
"“Total revenue, less grants and oil revenue, minus total expenditures, less interest payments and foreign financed investment."
°Difference between committed and cash expenditure.
"Recognized arrears, as registered by the Treasury in the ""restes a payer"" table."
"7Other arrears include unrecognized arrears, the total of which will be specified after the audit of arrears, and the clearance in 2018 of CFAF 54 billion of arrears of the then public company"
Coton Tchad owed to domestic banks.
"°27 billion in 2016 include arrears to China, cleared through an agreement in April 2017."
°All debt to BEAC was consolidated and rescheduled in September 2017 into long term securities.
16 INTERNATIONAL MONETARY FUND
