V1
LAO PEOPLE’S DEMOCRATIC REPUBLIC
""
""
""
"                 Table 3. Laop P.D.R.: General Government Operations, 2014–2022 (Concluded)"
""
                                        2003/04        2014           2015           2016          2017       2018        2019       2020       2021       2022
 Expenditure                                           23.8           22.3           20.5          21.5       21.2        21.5       21.6       21.6       21.6
   Expense                                             13.8           14.2           14.4          13.5       13.1        13.4       13.5       13.5       13.5
     Compensation of employees                          7.8            7.2            7.1           7.5        6.9         6.5        6.5        6.5        6.5
     Transfers                                          2.2            2.2            2.2           2.3        2.2         2.2        2.2        2.2        2.2
     Interest payments                                  0.9            1.1            1.2           1.2        1.6         1.6        1.6        1.7        1.7
       Of which: External                               0.6            0.9            1.0           1.0        1.2         1.1        1.1        1.1        1.1
     Other recurrent (including arrears)                2.8            3.7            3.9           2.5        2.5         3.1        3.1        3.1        3.1
   Net acquisition of nonfinancial assets 3/           10.1            8.1            6.0           8.0        8.1         8.1        8.1        8.1        8.1
     Externally financed                                6.6            5.4            3.8           5.3        5.1         5.0        4.9        4.9        4.8
 Net lending/borrowing                                  -2.8           -4.5           -4.6          -4.8       -4.3        -4.1       -4.2       -4.6       -4.9
  Net acquisition of financial assets                   -0.7           -1.4           -1.8           0.0        0.0         0.0        0.0        0.0        0.0
    Domestic                                            -0.7           -1.4           -1.8           0.0        0.0         0.0        0.0        0.0        0.0
    Foreign                                              0.0            0.0            0.0           0.0        0.0         0.0        0.0        0.0        0.0
  Net incurrence of liabilities                          5.3            5.2            4.6           4.8        4.3         4.1        4.2        4.6        4.9
    Domestic                                             2.4            1.1           -0.3           3.3        2.9         2.8        2.9        3.2        3.5
    Foreign                                              2.9            3.9            4.9           1.5        1.4         1.2        1.3        1.3        1.4
  Discrepancy                                           1.8            -0.6            1.8           0.0       0.0         0.0        0.0        0.0        0.0
""
 Net lending including discrepancy                      -4.6           -3.9           -6.4            …          …           …          …          …          …
 Nonmining balance 2/                                   -4.1           -5.3           -5.5          -5.7       -5.0        -5.1       -5.1       -5.1       -5.0
 Operating balance                                       7.3            3.7            1.4           3.2        3.8         4.0        3.9        3.6        3.2
 Domestic financing                                      2.1            2.5            1.5           3.4        2.9         2.9        2.9        3.3        3.6
 Mining revenue                                          1.3            0.9            0.8           0.9        0.7         1.0        0.9        0.5        0.2
 Hydropower revenue                                      0.8            0.7            0.7           0.9        0.6         1.0        1.2        1.3        1.4
 Nonresource revenue                                   14.4           14.0           12.9          13.2       13.8        13.6       13.5       13.4       13.4
" Real expenditure (percent, year on year) 3/             2.6            0.9           -5.0           5.7        2.9         8.1        7.4        6.9        6.7"
" GDP (calender year)                                106,797        117,252        129,279       140,019    152,822     168,514    186,086    204,991    225,640"
 Sources: Data provided by the Lao P.D.R. authorities; and IMF staff estimates and projections.
" 1/ Resource revenue comprises royalties, taxes, and dividends from the mining and hydropower sectors.                #DIV/0!"
 2/ Net lending/borrowing minus mining revenues.                                                                          -0.2
 3/ Data was revised to bring on budget grant-financed capital expenditure.
""
""
""
""
36     INTERNATIONAL MONETARY FUND
