"    Social security payments                                                1,358     1,528     1,681      1,681     1,849      1,849     2,034     2,227     2,445     2,725"
    Goods and services                                                         24        28        37         38        39         41        43        45        48        52
""
""
"E. Interest expenditure:                                                    1,139     1,170     1,168      1,238     1,309      1,396     1,583     1,670     1,747     1,759"
"   Central government (excluding interest paid to SSC)                       980      1,025      963       1,033     1,113      1,195     1,365     1,438     1,501     1,502"
   NEPCO                                                                     114       110       164        164       159        164       181       196       209       220
   WAJ Interest Payments                                                      45        36        41         41        37         37        38        36        37        37
""
" 1. Central government primary balance (ex grants)                         -1,767    -1,444    -1,159     -1,298     -955      -1,088     -680      -371      -130          0"
  (in percent of GDP)                                                        -5.7      -4.4      -3.4       -3.7      -2.6       -2.9      -1.7      -0.9      -0.3       0.0
" 2. Balance of utilities (NEPCO, WAJ, water distribution companies)         -408      -541      -398       -462      -625       -593      -539      -492      -444      -398"
  (in percent of GDP)                                                        -1.3      -1.7      -1.2       -1.3      -1.7       -1.6      -1.4      -1.2      -1.0      -0.9
" 3. Combined public balance (1+2)                                          -2,175    -1,985    -1,557     -1,761    -1,580     -1,682    -1,219     -863      -574      -398"
  (in percent of GDP)                                                         -7.0      -6.1      -4.6       -5.1      -4.4       -4.6      -3.1     -2.1      -1.3      -0.9
" 4. SSC balance                                                              614       734       786        993       816       1,119     1,022     1,031     1,063     1,051"
  (in percent of GDP)                                                         2.0       2.3       2.3        2.9       2.3         3.0       2.6       2.5       2.4       2.3
 5. General government primary balance (ex grants) (3+4) 1/                -1403     -1106      -566       -563      -568        -361        22       400       734       910
  (in percent of GDP)                                                        -4.5      -3.4      -1.7       -1.6      -1.6       -1.0       0.1       1.0       1.7       2.0
" 6. General government overall balance                                     -1,751    -1,364     -860       -986     -1,139      -978      -865      -730      -483      -346"
  (in percent of GDP)                                                        -5.6      -4.5      -2.5       -2.8      -3.2       -2.6      -2.2      -1.8      -1.1      -0.8
" 7. General government balance excluding grants                            -2,559    -2,178    -1,769     -1,836    -1,908     -1,787    -1,591    -1,300    -1,043     -879"
  (in percent of GDP)                                                         -8.2      -6.7      -5.2       -5.3      -5.3       -4.8      -4.1      -3.2      -2.4     -1.9
""
" Consolidated debt of general government = Debt t-1 + Net borrowing need   27,295    29,474    31,007     31,064    32,370     32,560    33,615    34,662    35,503    36,376"
  (in percent of GDP)                                                        87.5      90.7      91.0       89.7      89.8       88.2      86.2      84.2      81.7      79.3
 Net borrowing need:
"     General government overall deficit incl. discretionary measures        1,751     1,473     860.3       986      1,139       978       865       730       483       346"
     Prefunding of amortizing debt and use/buildup of deposits                                   241        242         16        15        11        11        13        13
     SSIF investment outside GG                                              212       543       437        313        371       640       459       524       562       610
     Guaranteed off-budget project loans                                       4        19        67         62         12        36        67        60        43        50
     CBJ repurchases in respect of 2012 EFF                                  117          4       -18        -13     -177       -172      -346      -278      -261      -145
    Recapitalization and guarantee of Royal Jordanian                         33        35          0          0         0          0         0         0         0         0
    Securitization of domestic arrears                                       105       105
" Unconsolidated debt of general government                                 27,707    36,477    38,805     39,167    41,010     41,563    43,668    45,765    47,706    49,680"
 (in percent of GDP)                                                         88.8     112.3     114.4      113.1     114.5      112.6     112.0     111.2     109.8     108.3
Memorandum items:
 SSIF interest income government debt                                         309       378       350        420       406        421       486       543       600       659
 SSIF government debt holding (% of total Assets)                              57        53        58         54        59         54        56        57        57        58
" Nominal GDP at market prices                                              31,186    32,478    34,077     34,624    36,042     36,911    39,004    41,174    43,464    45,882"
""
Sources: Jordanian authorities; and IMF staff estimates and projections.
1/including NEPCO and the water sector interest expenditures
""
""
""
""
  26       INTERNATIONAL MONETARY FUND
