    Domestically financed                            5.9        4.6           4.2       4.6          4.9           4.6       3.0       3.4         3.8         4.5         4.7         4.9
    Externally financed                              2.5        3.6           3.3       1.5          4.1           3.9       2.6       2.8         2.8         2.8         2.9         2.9
 Net lending                                     -0.1          -0.1         -0.1       -0.3          0.0           0.0       0.0       0.0         0.0         0.0         0.0         0.0
""
Overall balance 1/                               -4.2          -3.0         -2.8       -2.7         -3.0         -2.9       -5.0      -3.5        -3.0        -3.0        -3.0        -3.0
 Cash basis adjustment                           -1.1           0.0           0.0      -0.5          0.0           0.0       0.0       0.0         0.0         0.0         0.0         0.0
""
Overall balance (cash basis)                     -5.3          -3.0         -2.8       -3.2         -3.0         -2.9       -5.0      -3.5        -3.0        -3.0        -3.0        -3.0
""
Financing                                            5.2        3.0           2.8       3.2          2.7           2.6       3.0       3.2         3.0         3.0         3.0         3.0
 Foreign financing                                   0.8        1.1           1.0       1.1          0.8           0.8       0.8       0.8         1.9         1.9         2.0         2.1
   Drawings                                          1.5        1.8           1.6       1.7          1.5           1.4       1.4       1.5         2.4         2.5         2.5         2.6
     Project loans                                   1.1        1.5           1.4       1.0          1.4           1.3       1.3       1.2         1.3         1.3         1.4         1.4
     Program loans                                   0.3        0.2           0.2       0.7          0.2           0.2       0.2       0.3         1.2         1.2         1.2         1.2
   Amortization (excl. IMF)                      -0.6          -0.7         -0.6       -0.6         -0.7         -0.6       -0.6      -0.6        -0.6        -0.6        -0.5        -0.5
 Domestic financing                                  4.4        2.0           1.8       2.1           1.9          1.8       2.2       2.4         1.2         1.1         1.0         1.0
   Bank financing                                    1.6         2.0          1.8       0.2           1.9          1.8       2.2       2.4         1.2         1.1         1.0         1.0
     Central bank                                    0.3         0.3          0.3       0.1         -0.2          -0.2      -0.2      -0.2        -0.1        -0.1        -0.1        -0.1
       of which: IMF net financing                   0.0         0.3          0.3       0.3         -0.2          -0.2      -0.2      -0.2        -0.1        -0.1        -0.1        -0.1
          ECF Disbursements (past)                   0.2        0.5           0.5       0.5          0.0           0.0       0.0       0.0         0.0         0.0         0.0         0.0
          Repayments                             -0.2          -0.2          -0.2      -0.2         -0.2          -0.2      -0.2      -0.2        -0.1        -0.1        -0.1        -0.1
     Commercial banks                                1.3        1.7           1.5       0.1          2.1           1.9       2.4       2.5         1.3         1.2         1.1         1.1
   Nonbank financing                                 2.8        0.0           0.0       1.9          0.0           0.0       0.0       0.0         0.0         0.0         0.0         0.0
Errors and Omissions                                 0.1                                0.0
""
Financing gap                                        0.0        0.0           0.0       0.0          0.3           0.3       2.0       0.3         0.0         0.0         0.0         0.0
""
   Prospective ECF disbursements                      …           …             …           …        0.3           0.3       0.3           …           …           …           …           …
   Prospective RCF disbursement                       …           …             …           …        0.0           0.0       0.7           …           …           …           …           …
   World Bank additional financing                    …           …             …           …        0.0           0.0       0.1           …           …           …           …           …
   AfDB additional financing                          …           …             …           …        0.0           0.0       0.1           …           …           …           …           …
""
Residual financing gap                               0.0        0.0           0.0       0.0          0.0           0.0       0.8       0.3             …           …           …           …
""
Memorandum items:
" Nominal GDP (CFAF billion)                    8,998          8,471        9,226     9,226         9,156        9,666     9,666    10,409      11,224      12,133      13,116      14,185"
 Wage bill to tax revenue ratio (percent)        52.1          57.1         57.1       57.3         54.4         54.4       61.0      55.2        52.4        49.3        48.5        47.7
Sources: Burkinabè authorities; and IMF staff estimates and projections.
"1/ Commitment (""engagement"") basis."
""
""
""
""
                                                                                                                         INTERNATIONAL MONETARY FUND                                       19
