V1
                                                                                                                                                HONDURAS
""
""
""
       Table 3. Honduras: Statement of Operations of the Nonfinancial Public Sector
                                   (In percent of GDP)
                                                      Actual                 2019                   2020                       Projections
                                                    2017     2018       Revised   Prelim.   Program        Proj.   2021    2022    2023      2024    2025
   Domestic                                           0.4       1.8         1.0       1.4          0.4       1.2     1.0     1.5     1.1       1.0     1.0
     Currency and deposits                            0.2       1.6         0.8       1.3          0.3       0.7     0.6     1.0     1.0       1.0     1.0
     Debt securities                                  0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Loans                                            0.2       0.1         0.1       0.1          0.1       0.5     0.4     0.5     0.1       0.1     0.0
     Other accounts receivable                        0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
 Net incurrence of liabilities                        1.2       2.8         2.0       2.5          1.4       5.3     4.0     2.4     2.1       2.0     1.9
   Foreign                                            3.8       1.1         1.8       1.4          2.3       1.3     2.1     0.5     1.7      -1.1     0.0
     Currency and deposits                            0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Loans                                            3.8       1.1         1.8       1.4          2.3       1.3     2.1     0.5     1.7      -1.0     0.0
     Other accounts payable                           0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Exceptional financing 1/                         0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Other external                                   0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
   Domestic                                          -2.2       2.1         0.6       1.4         -0.5       4.4     2.2     2.3     0.7       3.3     2.2
     Currency and deposits                            0.0       0.0         0.0       0.0          0.0       0.0     0.0     0.0     0.0       0.0     0.0
     Loans                                           -0.7       1.5         0.6       1.3         -0.9       3.5     1.9     2.4     0.9       3.0     1.9
          o/w IMF disbursements 2/                    0.0       0.0         0.6       0.0          0.0       1.9     0.2     0.0     0.0       0.0     0.0
     Other accounts payable                          -1.6       0.3        -0.3      -0.8         -0.2       0.4     0.0    -0.4    -0.7      -0.1    -0.1
     PPPs/other                                       0.2       0.3         0.3       0.9          0.6       0.4     0.3     0.3     0.5       0.4     0.4
   Adjustment for HIPC debt relief 3/                -0.4      -0.4        -0.4      -0.4         -0.4      -0.4    -0.4    -0.3    -0.3      -0.3    -0.3
Memorandum items:
Net lending minus net interest payments               0.1       0.0         0.1       0.2          0.1      -3.0    -1.5     0.4     0.2       0.3     0.5
Gross total debt                                     40.1      42.2        43.4      43.1         43.2      47.8    50.9    51.6    51.4      50.4    48.9
Nominal GDP (in billions of Lempiras)              542.6    572.9         607.3     615.1        654.0     621.8   689.8   752.6   819.0     891.2   969.9
"Sources: Honduran authorities, IMF staff estimates and projections."
"1/ Includes debt forgiveness, accumulation, rescheduling, payments,and forgiveness of arrears."
2/ Reflects Fund purchases by the central bank to finance the budget.
3/ Offsets the HIPC/MDRI debt relief accounted as grants.
""
""
""
""
                                                                                                            INTERNATIONAL MONETARY FUND                      27
