V1
                                                                                                                                                                                    ANGOLA
""
""
""
"                      Table 2b. Angola: Statement of Central Government Operations, 2019–23"
"                                                        (Percent of GDP, unless otherwise indicated)"
                                                                                        2019                      2020                     2021                      2022             2023
                                                                                 2nd Rev.        Prel.    2nd Rev.         Proj.    2nd Rev.        Proj.    2nd Rev.       Proj.       Proj.
 Domestic                                                                              0.7       -2.1          -2.1        -6.4          -0.1       -1.4          -1.0       0.4        -0.1
       Cash and deposits1                                                              0.0        -2.1          -2.5       -7.1          -1.0        -1.4          -1.0      0.4        -0.1
       Equity and investment fund shares                                               0.6         0.0           0.4        0.6           1.0         0.0           0.0      0.0         0.0
       Other accounts receivable                                                       0.0         0.0           0.0        0.0           0.0         0.0           0.0      0.0         0.0
     Foreign                                                                          -0.6        -0.1          -0.8       -0.4          -0.1        -1.0           0.0     -1.1         0.7
""
Net incurrence of liabilities (+: increase)                                           -0.9       -2.6          -3.7        -4.1          -1.7       -2.4          -2.9      -1.6        -1.0
 Domestic                                                                             -4.3       -5.5          -5.7        -7.3          -1.3       -2.3          -3.0      -2.0        -0.7
   Debt securities                                                                     0.2       -0.4          -3.6        -6.8           0.4       -1.9          -1.9      -1.7        -0.7
      Disbursements                                                                    5.8        4.9           5.0         4.0           4.0        3.1           3.4       4.7         4.8
      Amortizations                                                                   -5.6       -5.2          -8.6       -10.8          -3.5       -5.0          -5.3      -6.4        -5.4
   Loans                                                                               0.0       -0.9           0.0         0.0           0.0        0.0           0.0       0.0         0.0
       Other accounts payable2                                                        -4.5        -4.3          -2.1       -0.5          -1.7        -0.4          -1.1     -0.3         0.0
     Foreign debt securities                                                           3.4         2.9           2.0        3.2          -0.5         0.0           0.1      0.4        -0.3
       Disbursements                                                                   9.4         9.2           9.8        7.3           6.6         6.0           5.2      3.5         4.4
         Of which : Budget support under the program                                   1.6         1.3           2.6        4.1           2.4         3.2           0.0      0.0         0.0
         Eurobonds                                                                     4.4         4.2           1.2        0.0           0.0         0.0           2.4      0.0         0.0
         Project loans and other                                                       3.5         3.6           5.9        3.2           4.1         2.8           2.8      3.5         4.4
         Financing to be identified                                                    0.0         0.0           0.0        0.0           0.0         0.0           0.0      0.0         0.0
       Amortizations                                                                  -6.0        -6.2          -7.8       -4.1          -7.0        -6.0          -5.1     -3.1        -4.7
       Other accounts payable                                                          0.0         0.0           0.0        0.0           0.0         0.0           0.0      0.0         0.0
""
Memorandum items:
Non-oil primary fiscal balance                                                        -5.6        -5.7          -5.6       -5.9          -4.7       -5.0           -4.4     -4.4        -4.1
"Angola oil price (average, U.S. dollars per barrel)                                   64.0        65.2          55.0       39.8          55.0       44.9           55.0     46.9        48.5"
                        3
Social expenditures                                                                    3.4         5.3           3.5        4.1           4.0         4.0           4.5      4.5         5.0
Public sector debt (gross)4                                                          110.9      109.2         102.0       120.3          95.1      107.5           86.0     93.8        83.7
     Of which: Central Government and Sonangol5                                      110.8      108.9         101.7       120.0          94.9      107.2           85.8     93.5        83.4
     Of which : Central Government6                                                  107.2      105.6           97.0      115.9          88.7      103.0           79.1     89.9        80.7
Sources: Angolan authorities; and IMF staff estimates and projections.
1
    Historical figures may include valuation effects related to foreign-currency denominated deposits. Projections for 2020-23 include deposit withdrawals from FSDEA.
2
    Includes repayment of debt owed to Sonangol related to the National Urbanization and Housing Plan (PNUH).
3
"    Spending on education, health, social protection, and housing and community services. For 2020 onwards are projected floors."
4
"    Includes debt of the Central Government, external debt of state oil company Sonangol and state airline company TAAG, and guaranteed debt."
5
    Includes debt guaranteed and excludes debt owed by the Central Government to Sonangol related to the National Urbanization and Housing Plan (PNUH).
6
    Excludes debt guaranteed and includes debt owed by the Central Government to Sonangol related to the National Urbanization and Housing Plan (PNUH).
""
""
""
""
                                                                                                                              INTERNATIONAL MONETARY FUND                                    11
