   Use of goods and services                                       3.8           3.5           4.1           4.3         3.2        3.9        3.4        3.5        3.5         3.6    3.7
   Interest                                                        3.1           3.1           2.9           3.0         2.6        2.6        2.8        2.5        2.2         2.1    2.0
     External                                                      0.5           0.4           0.5           0.6         0.5        0.6        0.6        0.6        0.5         0.5    0.5
     Domestic                                                      2.6           2.7           2.5           2.4         2.1        2.0        2.3        2.0        1.7         1.6    1.5
   Subsidies and transfers                                         3.0           3.6           4.2           5.9         3.9        4.3        4.3        3.7        3.2         3.3    3.0
     Of which : Subsidies to SOEs                                  0.5           0.6           0.5           1.0          …          …          …          …          …           ….     ….
         NAWEC                                                     0.3           0.1           0.2           0.2          …          …          …          …          …           ….     ….
         NFSPMC                                                    0.2           0.5           0.4           0.8          …          …          …          …          …           ….     ….
 Net acquisition of nonfinancial assets                            7.5           9.0           9.1           7.8         9.7       10.0       14.5        9.8        9.6         8.7    8.4
   Acquisitions of nonfinancial assets                             7.5           9.0           9.1           7.8         9.7       10.0       14.5        9.8        9.6         8.7    8.4
       Foreign financed2                                           6.9           8.3           8.0           6.1         8.1        7.5       12.0        8.3        7.9         7.0    6.6
       Gambia local fund                                           0.6           0.7           1.1           1.7         1.6        2.5        2.4        1.5        1.7         1.7    1.7
""
Net lending (+)/borrowing (–)                                     -6.1          -2.5          -2.6          -1.7        -1.8       -3.9        -5.7      -2.0       -1.2        -0.8   -0.2
""
Financing                                                          5.5           2.8           2.6           1.0         1.8        3.9        5.7        2.0        1.2         0.8    0.2
                                          3
    Net acquisition of financial assets                            0.1          -0.4          -0.3          -0.2         0.0       -0.2        0.7       -0.1       -0.1         0.0    0.0
""
    Net incurrence of liabilities                                  5.5           3.1           2.6           1.0         1.6        4.0        5.0        2.2        1.3         0.8    0.2
     Domestic                                                      3.0           0.5           1.1           0.8         0.0        2.3        2.5        0.4        0.0         0.0    0.0
         Net borrowing                                             3.3           1.2           0.5           0.5         0.0        1.2        0.8        0.4        0.0         0.0    0.0
          Bank                                                     2.5           1.3           0.5           1.0         0.0        1.2         …         0.4        0.0         0.0    0.0
           Central Bank of The Gambia                              0.6          -1.2          -0.5          -0.8         0.0       -0.2         …         0.0        0.0         0.0    0.0
           Commercial4                                             1.9           2.5           1.0           1.8         0.0        1.4        0.8        0.4        0.0         0.0    0.0
          Nonbank                                                  0.8          -0.1           0.0          -0.5         0.0        0.0         …         0.0        0.0         0.0    0.0
         RCF/ECF (onlent)                                           …             …            1.1           1.1          …         2.1        2.1         …          …           …      …
        Change in arrears 5                                       -0.3          -0.7          -0.6          -0.8         0.0       -0.9        -0.4       0.0        0.0         0.0    0.0
     Foreign                                                       2.5           2.6           1.6           0.2         1.6        1.6         2.4       1.8        1.3         0.8    0.2
       Loans                                                       2.5           2.6           1.6           0.2         1.6        1.6         2.4       1.8        1.3         0.8    0.2
        Borrowing                                                  4.6           4.3           2.6           1.9         2.5        2.9         3.9       3.1        2.7         2.4    2.2
          Budget support                                           0.0           0.0           0.0           0.0         0.0        0.0          …        0.0        0.0         0.0    0.0
          Project support                                          4.6           4.3           2.6           1.9         2.5        2.9          …        3.1        2.7         2.4    2.2
        Amortization                                              -2.1          -1.6          -1.0          -1.7        -0.9       -1.3        -1.4      -1.3       -1.4        -1.6   -2.0
    Exceptional financing (DSSI)                                   0.0           0.0            …            0.2          …         0.1         0.0       0.0        0.0         0.0    0.0
""
Statistical discrepancy6                                           0.5          -0.2           0.0           0.6         0.0        0.0        0.0        0.0        0.0         0.0    0.0
""
Memorandum items:
 Primary balance                                                  -3.0           0.6           0.3           1.3         0.8       -1.3        -2.8       0.5        1.1         1.3    1.8
 Domestic primary balance                                          0.6           1.8          -1.0          -1.7         0.6       -0.8        -1.2       1.2        1.9         1.9    2.4
 Total debt                                                       84.6          80.1          80.3          76.4        74.1       74.4          …       70.4       65.7        60.8   55.9
  of which: Domestic public debt                                  38.3          35.5          34.1          33.6        30.3       31.1          …       28.5       25.6        23.2   20.9
    Interest payments as a percent of govt. revenue               26.1          22.3          22.4          22.5        18.7       18.4       21.1       18.4       15.7        14.7   13.4
""
Sources: The Gambian authorities; and IMF staff estimates and projections.
1
" The grant for debt service falling due to April 13, 2021 is available under the CCRT. Subject to the availability of sufficient resources in the CCRT, debt service relief could be"
"provided for a total period of two years, through April 13, 2022."
2
"    Calculated as the sum of project grant (net of social assistance projects), external project loans, and changes in project accounts."
3
    Includes the increase of Central Bank statutory capital by 180 million dalasi yearly in 2019–23.
4
    Commercial bank borrowing in 2021 budget is net of domestic debt amortization.
5
    In staff projections change in arrears also includes a reduction in the treasury float.
6
    The statistical discrepancy in 2020 is the projected change in the treasury float.
""
""
""
""
32         INTERNATIONAL MONETARY FUND
