    Interest                                                          3.1           3.0           3.0          2.6         2.6        2.9      2.6        2.3        2.2         2.0    1.8
      External                                                        0.4           0.6           0.6          0.6         0.6        0.6      0.6        0.5        0.5         0.5    0.5
      Domestic                                                        2.7           2.4           2.5          2.0         2.0        2.3      2.1        1.8        1.7         1.5    1.4
    Subsidies and transfers                                           3.6           5.9           6.1          4.3         4.4        4.3      3.8        3.2        3.0         2.8    2.7
      Of which : Subsidies to SOEs                                    0.6           1.0            …            …           …          …        …          …          ….          ….     ….
         NAWEC                                                        0.1           0.2            …            …           …          …        …          …          ….          ….     ….
         NFSPMC                                                       0.5           0.8            ….           …           …          …        …          …          ….          ….     ….
  Net acquisition of nonfinancial assets                              9.0           7.8           6.7         10.0        10.1       14.6      9.9        9.6        8.7         8.3    8.3
    Acquisitions of nonfinancial assets                               9.0           7.8           6.7         10.0        10.1       14.6      9.9        9.6        8.7         8.3    8.3
        Foreign financed2                                             8.3           6.1           4.9          7.5         7.6       12.2       8.4        8.0       7.1         6.7    6.6
        Gambia local fund                                             0.7           1.7           1.8          2.5         2.5        2.5       1.5        1.6       1.6         1.6    1.6
""
 Net lending (+)/borrowing (–)                                       -2.5          -1.7          -2.1         -3.9        -4.0       -5.7      -2.1       -1.2       -0.6       -0.2   -0.1
""
 Financing6                                                           2.8           1.0           1.7          3.9         4.0        5.7       2.1        1.2       0.6         0.2    0.1
""
     Net acquisition of financial assets 3                           -0.4          -0.2          -0.2         -0.2        -0.2        0.7      -0.2       -0.1       0.0         0.0    0.0
""
     Net incurrence of liabilities                                    3.1           1.0           1.6          4.0         4.0        5.0       2.2        1.4        0.6        0.2    0.1
      Domestic                                                        0.5           0.8           0.8          2.3         2.4        2.5       0.4        0.0       -0.3       -0.1   -0.4
          Net borrowing                                               1.2           0.5           0.1          1.2         1.2        0.8       0.4        0.0       -0.3       -0.1   -0.4
           Bank                                                       1.3           1.0           0.6          1.2         1.2         …        0.4        0.0       -0.3       -0.1   -0.4
            Central Bank of The Gambia                               -1.2          -0.8          -1.9         -0.2        -0.2         …        0.0        0.0        0.0        0.0    0.0
            Commercial4                                               2.5           1.8           2.5          1.4         1.4        0.8       0.4        0.0       -0.3       -0.1   -0.4
           Nonbank                                                   -0.1          -0.5          -0.5          0.0         0.0         …        0.0        0.0        0.0        0.0    0.0
          RCF/ECF (onlent)                                             …            1.1           1.1          2.1         2.1        2.1        …          …          …          …      …
         Change in arrears5                                          -0.7          -0.8          -0.4         -0.9        -0.9       -0.4       0.0        0.0        0.0        0.0    0.0
      Foreign                                                         2.6           0.2           0.9          1.6         1.7        2.5       1.8        1.4        0.9        0.3    0.5
        Loans                                                         2.6           0.2           0.9          1.6         1.7        2.5       1.8        1.4        0.9        0.3    0.5
         Borrowing                                                    4.3           1.9           2.3          2.9         2.9        3.9       3.1        2.8        2.4        2.2    2.5
           Budget support                                             0.0           0.0           0.0          0.0         0.0         …        0.0        0.0        0.0        0.0    0.0
           Project support                                            4.3           1.9           2.3          2.9         2.9         …        3.1        2.8        2.4        2.2    2.5
         Amortization                                                -1.6          -1.7          -1.4         -1.3        -1.3       -1.5      -1.3       -1.4       -1.5       -1.9   -1.9
     Exceptional financing (DSSI)                                     0.0           0.2           0.2          0.1         0.1        0.0       0.0        0.0        0.0        0.0    0.0
""
 Statistical discrepancy/ Float                                      -0.2           0.6           0.4          0.0         0.0        0.0       0.0        0.0       0.0         0.0    0.0
""
 Memorandum items:
  Primary balance                                                     0.6           1.3           1.0         -1.3        -1.4       -2.9      0.5        1.1        1.6         1.8    1.7
  Domestic primary balance                                            1.8          -1.7          -1.0         -0.8        -1.1       -1.3      1.2        1.9        2.2         2.4    2.6
  Total debt                                                         80.2          76.4          77.9         74.4        74.8         …      71.0       66.9       62.9        57.5   52.9
   of which: Domestic public debt                                    35.6          33.6          34.7         31.1        30.0         …      27.6       25.5       24.0        21.5   19.1
     Interest payments as a percent of govt. revenue                 22.3          22.5          21.9         18.4        18.8       21.1     18.9       16.3       15.0        13.5   12.2
     COVID-19 related spending                                          …             …           3.5           …          0.2         …         …         …         …           …      …
""
 Sources: The Gambian authorities; and IMF staff estimates and projections.
 1
"   The grant for debt service falling due through October 15, 2021 is available under the CCRT. Subject to the availability of sufficient resources in the CCRT, debt service"
" relief could be provided for a total period of two years, through April 13, 2022."
 2
"     Calculated as the sum of project grant (net of social assistance projects), external project loans, and changes in project accounts."
 3
     Includes the increase of Central Bank statutory capital by 180 million dalasi yearly in 2019–23.
 4
     Commercial bank borrowing in 2021 budget is net of domestic debt amortization.
 5
     In staff projections change in arrears also includes a reduction in the treasury float.
 6
     Excluding the float in Financing
""
""
""
""
24        INTERNATIONAL MONETARY FUND
