Domestic financed                                                               1.0                 17                2.1            18                3.4            18               3.1            3.1            3.4           3.7           3.7           3.7
Foreign financed                                                             3.4               3.0               3.6           3.2               49           3.2              44          5.2          5.1           4.8          43          3.8
"Overall balance (commitment basis )                                 -1.1             -2.1             -1.5        -1.3             -2.3         -1.4           -2.7        -4,2        -4,5        -4.8        -4,2        -3.6"
"Float (variation of accounts payable, + = increase)             0.4            0.6           -0.2       -0.2           -0.2         0.0           0.1        0.0        0.0        0.0        0.0        0.0"
Variation of domestic arrears (+ = increase)                    -1.0            -0.6            -0.6        -0.5            -0.3        -0.3          -0.1         0.0        0.0        0.0        0.0        0.0
"Overall balance (including grants, cash basis)                   -1.7           -2.0           -2.3        -2.0           -2.8        -1.7          -2.7       -4,.3       -4,5       -4.8       -4,2       -3.6"
Domestic primary balance*                                               0.1             -0.9              0.1          0.1             -0.4          0.3            0.0         0.3         0.2         0.1          0.4         0.7
Domestic primary balance (old program definition) *           0.7             0.6               ene           wee               ees           eee             eee          eve          eee          ene          ewe          ene
Total financing                                                                                                      17                      2.0                      2.3               2.0                      2.8                17                    27               3.8               3.7               3.8               3.3               2.9
Foreign borrowing (residency principle)                         0.6             1.2             17         1.5             2.1          1.2            2.2         3.3         3.3         3.4         3.0         2.6
"External borrowing, Gross                        1.2        1.8        2.3     2.0        2.7      1.6       2.7     3.9     3.9     4.2     3.9     3.5"
Budget support loans                                               0.1               0.6              04          04              0.1           0.0             0.0          0.0          0.0          0.0          0.0          0.0
of which: Air Madagascar                                                    0.0                  0.7                   0.0             0.0                  0.0             0.0                 0.0            0.0            0.0            0.0            0.0            0.0
Project loans                                                                                              1.0                       1.3                       18                1.6                      2.6                 1.6                    27               3.9               3.9               4.2               3.9               3.5
Amortization on a due basis (-)                               -0.6           -0.6           -0.6        -0.5           -0.6        -0.5          -0.5       -0.5       -0.6       -0.7       -0.9       -0.9
Domestic borrowing (residency principle)                      1.1             0.8             0.6         0.5             0.7         0.5            0.5         0.4         0.4         0.4         0.3         0.3
Monetary sector                                                         0.6              04              0.5          0.5              0.8          0.7             0.5          0.3          0.3          0.3          0.2          0.2
Non-monetary sector                                                  0.7              0.7             -0.2         -0.1              -0.1          -0.1             0.0          0.1          0.1          0.1          0.1          0.0
Treasury correspondent accounts (net)                        -0.2             -0.2              0.2          0.2              0.0          0.0            0.0         0.0         0.0         0.0         0.0         0.0
"Excess financing *                                                                    0.0                0.0                0.0           0.0                0.0           0.0             -0.2         -1.8         -2.4         -3.8         -47         -4,2"
of which: budget support to be programmed                             0.0                  0.0                  0.0            0.0                  0.0             0.0                0.0           -0.5           -0.8           -1.0           -0.9           -0.7
Sources: Malagasy authorities; and IMF staff estimates and projections.
"* Domestic taxes include 0.2 percent of GDP in 2017 corresponding to tax arrears of Air Madagascar used for its recapitalization, offset in the line Treasury operations (net)."
* Primary balance excl. foreign-financed investment and grants. Commitment basis.
"? Up to June 2018, primary balance excl. foreign-financed investment (but grants included)."
* A negative value indicates allocated financing with the disbursement schedule to be agreed.
"5 For EBS 19/73, non rebased GDP was still in use."
INTERNATIONAL MONETARY FUND 35
