   Interest                                                 0.5             0.5        0.4         0.5          0.6        0.5       0.4         0.4       0.4       0.4
 Net acquisition of non-financial assets                    1.8             1.8        2.1         2.8          2.7        2.1       2.0         1.7       1.7       1.7
   Net acquisition of fixed assets                          1.6             1.5        1.7         1.5          1.4        1.5       1.5         1.5       1.5       1.5
   Capital transfers                                        0.2             0.3        0.4         1.3          1.3        0.6       0.5         0.3       0.3       0.3
Primary balance                                             0.8             0.4        0.6        -3.8         -2.8       -0.9       0.3         1.0       1.3       1.5
Net lending/borrowing                                       0.3             -0.1       0.2        -4.3         -3.3       -1.4      -0.1         0.5       0.9       1.1
""
Financing
 Net acquisition of financial assets                           …              …           …        7.1          5.0       -3.3      -6.5         0.4       0.7       0.9
   Domestic                                                    …              …           …        7.1          5.0       -3.3      -6.5         0.4       0.7       0.9
   External                                                    …              …           …        0.0          0.0        0.0       0.0         0.0       0.0       0.0
 Net incurrence of liabilities                                 …              …           …       11.3          8.3       -2.0      -6.4        -0.2      -0.2      -0.2
   Domestic                                                    …              …           …        6.8         -6.8      -23.5      -6.4        -0.2      -0.2      -0.2
    New Issuances                                              …              …           …       20.8          0.6        0.6       0.5         0.5       0.5       0.5
    Amortizations                                              …              …           …       13.9          7.4      24.1        6.9         0.7       0.7       0.7
   External                                                    …              …           …        4.5        15.1       21.6        0.0         0.0       0.0       0.0
    New Issuances                                              …              …           …        4.5        18.9       21.6        0.0         0.0       0.0       0.0
    Amortizations                                              …              …           …        0.0          3.8        0.0       0.0         0.0       0.0       0.0
Memorandum items
 Gross Financing Needs (millions of euros)                     …              …           …      452.4       384.2      708.2     205.7          4.5       0.0       0.0
   Percent of GDP                                              …              …           …       18.2        14.5       25.4        7.0         0.1       0.0       0.0
" Public Debt (millions of euros)                          911.8        904.0        920.8      1,202.5     1,422.0     1,367.0   1,181.2     1,175.4   1,169.6   1,163.8"
   Percent of GDP                                          34.3         33.2         32.7         48.4        53.8       49.1      40.4         38.4     37.1      35.7
" Nominal GDP (in millions of euros)                     2,655.8      2,725.3       2,818.4     2,484.2     2,644.7     2,783.6   2,923.5     3,057.5   3,155.2   3,256.3"
""
" Sources: Govern d'Andorra Department of Statistics, Andorran authorities and IMF staff calculations."
" Note: The central government comprises Govern d'Andorra, as well as non-market public corporations and nonprofits."
""
""
""
""
                                                                                                                       INTERNATIONAL MONETARY FUND 23
