 Capital expenditure and net lending                                                            6.8       7.1         7.2      10.3        7.8         10.8        9.3          8.0       7.0         6.9       6.3
   Budget-financed capital expenditure and net lending                                          6.8       7.0         7.2       8.1        6.6           7.1       6.2          6.0       5.9         5.7       5.6
     Capital expenditure (budget financed)                                                      6.8       7.1         7.3       8.1        6.6           7.1       6.2          6.0       5.9         5.7       5.6
     Net lending                                                                                0.0      -0.1        -0.1       0.0        0.0           0.0       0.0          0.0       0.0         0.0       0.0
   PAK-financed capital expenditure                                                             0.0       0.0         0.0       1.3        1.3           2.0       2.0          0.8       0.0         0.0       0.0
   IFI-financed capital expenditure                                                             0.0       0.0         0.0       0.9        0.0           1.7       1.1          1.2       1.1         1.1       0.7
""
 Primary balance                                                                              -1.7       -1.0        -1.0      -4.0      -2.6           -5.5      -4.8         -3.6      -2.6       -2.6      -2.2
 Overall balance                                                                              -1.9       -1.4        -1.3      -4.3      -2.9           -5.8      -5.1         -4.0      -3.1       -3.1      -2.7
    Ex-PAK ex-IFI capital projects (Fiscal rule) 2/                                           -1.8       -1.2        -1.2      -1.8      -1.5           -2.0      -1.9         -1.9      -1.9       -1.9      -1.9
    Ex-PAK-related current expenditures                                                       -1.8       -1.3        -1.2      -4.1      -2.8           -5.8      -5.0         -3.9      -3.0       -3.0      -2.6
 Overall cyclically adjusted balance                                                          -1.8       -1.3        -1.4      -4.3      -2.9           -5.9      -5.3         -4.0      -3.1       -3.1      -2.7
 Statistical discrepancy                                                                       0.0        0.2         0.2         …         …              …         …            …         …          …         …
""
Financing                                                                                       1.8       1.0         1.0       4.2        2.8           5.8       5.0          3.9       3.0        3.0        2.6
  Foreign financing                                                                             0.2      -0.4         0.7       1.0       -0.1           1.8       0.9          0.2       0.1        0.6        0.4
"   Drawings, incl. official financing                                                           0.1       0.1         0.1       0.4        0.3           0.8       0.5          0.2       0.0        0.0        0.0"
   Amortization                                                                                -0.5      -1.1        -0.9      -0.4       -0.3          -0.7      -0.7         -1.2      -1.0       -0.5       -0.4
   Donor financing for new projects                                                             0.0       0.0         0.0       0.9        0.0           1.7       1.1          1.2       1.1        1.1        0.7
   IMF financing                                                                                0.6       0.6         1.5       0.0        0.0           0.0       0.0          0.0       0.0        0.0        0.0
 Domestic financing                                                                             3.3       1.5         1.5       3.6        3.0           4.1       4.3          3.9       3.1        2.7        2.5
  Domestic borrowing (net)                                                                      2.1       1.6         1.5       1.6        1.5           1.9       2.2          3.0       3.0        2.6        2.4
  Privatization revenues                                                                        1.1       0.0         0.0       1.3        1.3           2.0       2.0          0.8       0.0        0.0        0.0
  Own-source revenue (- = increase)                                                             0.2      -0.1        -0.1       0.0        0.0           0.1       0.0          0.0       0.0        0.0        0.0
  Other unidentified financing                                                                  0.0       0.0         0.1       0.0        0.3           0.2       0.1          0.1       0.1        0.1        0.1
 Accumulation of Assets (- = increase)                                                         -1.7      -0.2        -1.2      -0.4       -0.2          -0.1      -0.2         -0.2      -0.3       -0.3       -0.3
""
Memorandum items
Bank balance of the general government                                                          3.5       3.5         4.5       4.7        4.5           4.5       4.5          4.5       4.5         4.5       4.5
Of which: ELA                                                                                   0.8       0.8         0.7         …        0.7            …        0.6          0.6       0.6         0.5       0.5
Total public debt 3/                                                                          13.0      14.3        16.3      17.6       17.0          20.6       19.6        22.2       24.2      26.1       27.4
    External debt                                                                               6.4       6.1         6.7       7.5        6.3           9.2        7.1         7.3        7.2       7.4        7.4
    Domestic debt                                                                               6.7       8.2         9.6     10.1       10.7          11.4       12.5        14.9       17.1      18.7       20.0
      Of which: guarantees                                                                      0.2       0.3         0.7        …         0.7            …         0.8         0.8        0.8       0.7        0.7
Contingent liabilities: debt of the former Yugoslavia                                           5.7       5.1         4.5        …         2.9            …         2.5         2.2        1.8       1.4        1.1
"Nominal GDP (millions of euros)                                                              5,807     6,070       6,414     6,757      6,757         7,123      7,108       7,514      7,959     8,434      8,955"
 Sources: Kosovo authorities; and IMF staff estimates and projections.
 1/ Does not yet reflect the GFSM 2014 methodology.
" 2/ For fiscal rule purposes, IFI and PAK-financed projects post-July 2015 are excluded from the fiscal deficit. In the authorities' presentation, the fiscal rule deficit also excludes expenditures from carried-"
" forward OSR. Following methodology agreed during the SBA, IMF staff assumes no carried-forward OSR."
 3/ The former Yugoslavia debt has been reclassified as a contingent liability and is no longer included in the stock of public debt.
" 4/ Assumes tax compliance gains of 0.7 percent of GDP, a timely and full implementation of the war veteran pension law, and tight administration for all other budgeted social schemes."
" 5/ Based on current legislation, revenue trends, and the 2019 draft Budget. It assumes gains of 0.6 percent of GDP from debt collection and tax compliance which will require implementation of strong"
 reforms in revenue administration.
""
""
""
""
                                                                                                                                       INTERNATIONAL MONETARY FUND                                              29
