V1
                                                                                                                                                                               PANAMA
""
""
""
"                 Table 3. Panama: Summary Operations of the Central Government, 2016–26"
                                           (In percent of GDP)
                                                                                                               Est.                                 Projections
                                                             2016      2017          2018       2019         2020          2021        2022         2023          2024     2025      2026
 2/ Staff adjustment to account for the accrual of previously unrecorded expenditure for 2015-18.
 3/ Current revenues and grants less current expenditure.
" 4/ For 2015 - 2017, includes spending allowed under Article 34 of Law 38 of 2012."
" 5/ Includes staff adjustment for net financing through the change in obligations related to unrecorded expenditure for 2015-2019. For 2019, also accounts for deposits"
 accumulated in pre-financing operations.
""
""
""
""
                                                                                                                           INTERNATIONAL MONETARY FUND                                29
