    Domestic (net)                                                          -0.1        2.5       4.7          -5.7        -1.0       -5.5     -4.3     -5.4     -2.2     -1.0        -1.6
       Banking system (net)                                                  7.5        9.5     10.0            2.5         2.2        1.5     -1.2     -3.6     -0.9      2.8         1.9
           Central bank                                                      2.7        0.7       0.6           2.5         1.2       -3.5     -5.2     -4.9     -4.9     -3.4        -3.6
             of which Use of SDR Allocations                                  …          …        0.7            …          2.6        2.5       …        …        …        …           …
                                5
           Commercial banks                                                  4.8        8.8       9.4           0.0         1.0        5.0      4.0      1.3      4.0      6.3         5.5
       Nonbank financing5                                                   -7.6       -7.1      -5.3          -8.2        -3.3       -7.0     -3.1     -1.8     -1.3     -3.9        -3.5
            Of which: Repayment of domestic arrears                         -4.8       -2.9      -7.0           0.0        -4.3       -8.4     -4.1     -3.8     -2.6     -2.3        -1.9
 Financing gap (- = surplus)                                                 0.0        0.0       0.0           8.5         4.8        4.7      4.2      2.5      0.0      0.0          --
  Expected financing (excluding IMF)                                         0.0        0.0       0.0            …          1.5        1.3      3.2      1.6      0.0      0.0         0.0
  IMF-ECF                                                                    0.0        0.0       0.0            …          3.3        3.3      1.0      1.0      0.0      0.0         0.0
  Residual financing gap                                                     0.0        0.0       0.0            …          0.0        0.0      0.0      0.0      0.0      0.0         0.0
  Memorandum items:
                                  6
    Stock of domestic arrears                                              32.0          …      22.7              …        28.7       26.1     18.2     12.3       8.3      5.0         2.7
    Stock of government deposits                                             2.3         …        4.9             …          1.9        8.1    12.7     16.8     20.1     21.7        23.1
    CEMAC Reference fiscal balance7                                          3.6         …       -1.3             …         -1.9       -2.2     -3.2      0.7      1.3      0.5        -0.7
"    GDP at current market prices (CFAF billion)                           5,937      7,006     7,006          8,721       7,189      8,721    8,755    9,184    9,277    9,414     9,843.9"
"    Non-oil GDP at market prices (CFAF billion)                           4,245      4,478     4,478          4,792       4,639      4,792    5,138    5,504    5,924    6,407       6,930"
 Sources: Congolese authorities; and IMF staff estimates and projections.
 1
   Includes net spending (i.e. spending minus revenues) associated with decentralized government entities.
 2
   Revenue and grants excluding oil revenues minus total primary expenditures (excluding interest payments).
 3
    Non oil revenue excluding grants minus total expenditures excluding interest payments and foreign-financed investment.
 4
   Basic non-oil primary balance minus oil revenue and oil-related transfers.
 5
   Include resident and non-resident creditors from the CEMAC region.
 6
   Includes estimates of domestic arrears audited by the the Caisse Congolaise d'Amortisation (CCA) and reported but not yet audited arrears.
 7
   CEMAC definition: overall balance minus 20 percent of oil revenues and minus 80 percent of the oil revenue in excess of the average observed during the three previous years.
""
""
""
""
24     INTERNATIONAL MONETARY FUND
