 Capital expenditure                                                             3.4              3.2              2.9                  3.1              3.2             3.0                2.3
 Payment for financial assets                                                    0.2              0.4              0.3                  1.3              1.6             0.8                0.3
 Contingency                                                                     0.0              0.0              0.0                  0.0              0.5             0.1                0.1
Primary balance                                                                  -0.4             -0.8             -0.4                 -2.5           -11.2               -4.3            -1.5
Overall balance                                                                  -4.0             -4.5             -4.3                 -6.7           -16.1               -9.5            -7.2
Financing                                                                         4.0              4.5              4.3                  6.7            16.1               9.5              7.2
 Local Currency Debt (net)                                                        3.6              4.3              3.7                  6.1            11.2               7.1              6.7
 Foreign Currency Debt (net)                                                      0.8              0.6              0.5                  0.5             2.5               0.8              0.7
   Official Creditors                                                             0.0              0.0              0.0                  0.0             2.8               0.0              0.0
   Commercial Creditors                                                           0.8              0.6              0.5                  0.5            -0.3               0.8              0.7
 Transactions in Assets and Liabilities                                           0.4              0.4              0.3                  0.3             0.5               0.2              0.1
 Use of cash and other balances                                                  -0.8             -0.9             -0.3                 -0.3             2.0               1.5             -0.2
Structural primary balance (percent of potential GDP)                            -0.1             -0.2              0.2                 -0.8            -6.3               -1.6            -0.2
Gross government debt 3/                                                         50.5            52.9             56.5                 63.7             81.8            83.4               86.0
Memorandum items:
National budget primary balance (percent of GDP)                                 -0.9             -1.4             -1.3              -3.1             -10.2              -4.6               -2.0
National budget overall balance (percent of GDP)                                 -4.2             -4.9             -5.0              -7.1             -15.1              -9.6               -7.5
"Fiscal year GDP (billions of rand)                                             4,420            4,702            4,931             5,120              4,860            5,237              5,571"
Fiscal year real GDP growth (percent)                                             0.8              1.6              0.4              -0.1               -7.7              3.4                2.0
Fiscal year GDP Deflator growth (in percent)                                      6.2              4.8              4.4               3.9                2.8              4.2                4.3
Fiscal year nominal GDP growth (percent)                                          7.1              6.4              4.9               3.8               -5.1              7.7                6.4
Contingent Liabilities (percent of GDP) 4/                                      15.2             15.7             17.3                 19.1             25.6                 …                …
Sources: South African National Treasury and Fund staff estimates and projections.
"1/ Data are on a fiscall year basis (April 1-March 31) and are based on the June 24, 2020 Supplementary Budget Review. Consolidated government corresponds to the national"
"government, social security funds, provincial governments, and some public entities. Local governments are only partially captured through the transfers sent to them by national"
government.
2/ Non-tax revenue excludes transactions in financial assets and liabilities. These transactions are classified as a domestic financing item given that they involve primarily revenues
associated with realized exchange rate valuation gains from the holding of foreign currency deposits and other conceptually similar smaller items.
3/ Covers only national government debt.
"4/ Contingent Liabilities are sourced from Table 11 of the Statistical Annex of the 2020 Budget Review . For FY 2020/21, the 200 billion rand loan guarantees that are expected to be"
provided in the context of the COVID-19 fiscal support package were added to the total contingent liabilities in the 2020 Budget Review.
""
""
""
""
                                                                                                                                 INTERNATIONAL MONETARY FUND                                       23
