 Overall fiscal balance (cash basis)                                              -2.7       -1.3      1.3        0.7       0.7       -4.7      -2.2     -0.7     -1.2     -0.7     -0.4     -0.5
""
 Financing                                                                         2.7        1.3     -1.3      -0.7       -0.7        4.7       2.2      0.7      1.2      0.7      0.4      0.5
   Net external                                                                    1.3        0.8      0.1       0.6        0.5        0.6       0.5      0.8      2.0      1.6      1.4      1.6
     Disbursements                                                                 2.0        1.3      0.8       1.8        1.2        2.0       1.8      1.8      2.9      2.8      2.8      2.7
     Program financing (loans) 4                                                    0.5       0.2      0.5         …         0.0        …         0.0      0.0      0.0      0.0      0.0      0.0
     Scheduled amortization                                                        -1.2      -0.8     -1.2       -1.2       -0.7      -1.4       -1.3     -1.0     -0.9     -1.3     -1.4     -1.2
   Net domestic                                                                     1.4       0.5     -1.3       -1.3       -1.2       4.1        1.7     -0.1     -0.7     -0.9     -1.0     -1.1
     Net bank credit to the government                                              1.4       0.5     -1.3       -1.0       -1.2       4.3        1.8      0.1     -0.6     -0.7     -0.8     -0.9
"        Banking credit (net, excluding National Oil Account) 4                      1.3       2.4     -1.5       -1.7       -1.7       3.7        1.3     -0.1     -1.0     -1.0     -1.0     -1.1"
          Of which: central bank on-lending of IMF resources                         …         …       0.6        4.3        3.3       1.1        0.9      0.9      0.0      0.0      0.0      0.0
        National Oil Account                                                        0.1      -1.9      0.2        0.6        0.5       0.7        0.6      0.2      0.4      0.3      0.2      0.2
     Nonbank financing                                                              0.0       0.0      0.0       -0.2        0.0      -0.2       -0.2     -0.2     -0.2     -0.2     -0.1     -0.1
 Financing gap                                                                      0.0       0.0      0.0        0.0        0.0       0.0        0.0      0.0      0.0      0.0      0.0      0.0
""
 Memorandum items
" Nominal GDP (Millions of new dobra)                                             8,154      8,619    9,424     8,976    10,247       9,615 10,750 11,281 11,972 12,748 13,602 14,693"
 Public debt                                                                        81         93      100       103        87         102     88     86     84     81     77     71
 EMAE loss                                                                          3.7        3.8      4.1        …         …           …      …      …      …      …      …      …
""
 Sources: São Tomé and Príncipe authorities' data and IMF staff estimates and projections.
 1
     Revenue is measured on a cash basis.
 2
     'Non-tax revenue' and 'other current expenditure' exhibit a hike in 2019 as some autonomous entities were brought into the Treasury's accounts.
 3
"  Excludes oil related revenues and a fraction of the oil surcharge for ENCO debt repayment, grants, interest earned, scheduled interest payments, foreign-financed capital outlays, and"
 capitalization of regional organizations per definition in TMU.
 4
     Includes use of IMF program support.
""
""
""
""
28        INTERNATIONAL MONETARY FUND
