 Combined public balance (PC) 5/                                      -4.1      -4.9     -4.0       -7.7     -3.2       -5.8     -2.4       -4.5     -1.7       -2.9     -0.9       -1.3     -0.8       -0.5
" Overall public balance, including grants                             -4.4      -6.0     -4.6       -8.3     -4.9       -7.4     -4.4       -6.4     -4.6       -5.9     -3.7       -4.3     -3.7       -3.6"
" Consolidated general government overall balance, excl. grants        -4.1      -5.0              -10.1                 -6.8                -5.6                -4.1                -2.7                -2.1"
" Consolidated general government primary balance, excl. grants        -0.9      -1.7                -6.4                -3.1                -2.0                -0.6                 0.7                 1.2"
 Social Security Corporation balance                                   3.3       3.5       3.8       1.8       3.8       3.2       3.9       3.2       3.9       3.0       3.8       2.8       3.7       2.6
 Government and guaranteed gross debt                                92.9      97.4     100.4     110.3     100.7     114.0     100.2     115.1      99.6     114.5      98.0     111.6      96.1     108.5
" Government and guaranteed gross debt, net of SSC's holdings         75.1      78.0      79.9      89.2      79.7      90.9      78.7      90.3      77.8      88.3      75.8      84.2      73.6      79.8"
    Of which: External                                               36.6      35.0      39.5      41.3      41.1      45.0      40.8      45.5      40.0      44.3      38.3      42.4      36.1      39.8
 Stock of health arrears                                               1.2       0.3       0.1       0.2       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
 Stock of energy arrears (fuel and electricity)                        2.1       0.6       0.6       0.6       0.4       0.2       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
" GDP at market prices (JD millions)                                30,482    31,597    32,313    30,654    33,882    31,814    35,632    33,419    37,582    35,302    39,716    37,394    42,052    39,594"
""
 Sources: Jordanian authorities; and IMF staff estimates and projections.
" 1/ Starting 2019, the fiscal accounts consolidate the operations of 29 government units, with a neutral impact on the overall balance."
 2/ In 2019 non-tax revenues on oil derivatives were reclassified as sales taxes.
 3/ Unidentified fiscal measures that will need to be implemented to eliminate primary deficit by the end of the program.
 4/ Includes net issuance of domestic FX bonds.
" 5/ Primary government balance excluding grants and transfers to NEPCO and WAJ, plus NEPCO operating balance, WAJ overall balance, and starting in 2019, water distribution"
 companies overall balance.
""
""
""
""
30        INTERNATIONAL MONETARY FUND
