V1
                                                                                                                                                                                            BOLIVIA
""
""
""
                                    Table 2. Bolivia: Operations of the Combined Public Sector 1/
"                                                     (In percentage of GDP, unless otherwise indicated)"
                                                                                                                                                      Baseline projections
                                                                                  2017           2018           2019           2020        2021           2022           2023       2024       2025
          Commercial banks                                                          0.0            0.0            0.5            0.2            0.0         0.0               0.0     0.0        0.0
      Pension funds                                                                -0.4           -0.5           -0.5            0.2        -0.2           -0.4              -0.3    -0.2       -0.2
      Other domestic                                                               -0.3            2.5            1.1            0.0            0.0         0.0               0.0     0.0        0.0
    Fiscal financing gap                                                                                                         1.7
    Fiscal financing gap in millions of US dollars                                                                             690.0
Memorandum items:                                                                  -0.7            2.0            0.6            0.2        -0.2          -0.40              -0.2    -0.2       -0.2
Primary balance                                                                    -6.7           -7.0           -5.7           -5.8        -5.3           -4.4              -3.4    -2.7       -2.0
Overall balance before nationalization                                             -7.8           -8.1           -7.0           -7.3        -6.9           -6.0              -5.2    -4.5       -3.9
 o/w Non-hydrocarbon primary balance 5/                                           -10.6           -9.9           -8.5           -7.6        -5.9           -5.3              -4.7    -4.1       -3.6
Overall balance as a share of non-hydrocarbon GDP                                  -8.2           -8.5           -7.4           -7.6        -7.1           -6.2              -5.3    -4.6       -4.0
Hydrocarbon related revenue 6/                                                      4.8            4.8            4.7            3.8            2.5         2.7               2.9     3.0        3.1
Nonfinancial public sector gross public debt 7/                                    51.3           53.8           57.5           64.9        66.1           66.3              66.1    65.8       65.2
 o/w gross foreign public debt 8/                                                  24.2           24.4           26.0           29.0        29.4           29.3              29.0    28.7       28.4
NFPS deposits                                                                      14.0           12.3           10.7            9.5            7.4         5.6               4.6     4.0        3.7
Nominal GDP in billions of Bolivianos                                             259.2          278.4          290.1          282.6       301.9          324.1         349.3       374.9      402.4
Sources: Ministry of Economy and Public Finances and Fund staff calculations.
"1/ The operation of mixed-ownership companies, primarily in the telecom, electricity and hydrocarbon sectors, are not included."
2/ Includes incentives for hydrocarbon exploration investments in the projection period.
"3/ Includes pensions, cash transfers to households, and social investment programs (previously classified as capital expenditure)."
4/ Includes net lending.
"5/ Primary balance before nationalization costs minus hydrocarbon related balance (latter defined as the sum of direct hydrocarbon tax (IDH),"
"royalties, and the operating balance of state oil/gas company (YPFB) minus YPFB investments."
"6/ Hydrocarbon related revenues are defined as direct hydrocarbon tax (IDH), royalties, and the operating balance of"
state oil/gas company (YPFB)
7/ Public debt includes SOE's borrowing from the BCB but not from other domestic institutions.
8/ Gross foreign public debt includes sovereign bonds issued internationally but held by residents.
""
""
""
""
                                                                                                                                       INTERNATIONAL MONETARY FUND                              11
