pdf,table_pages,table_names
pdfs/Angola/2020/1AGOEA2020001.pdf,28,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Billions_of_Kwanzas,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,29,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,30,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_non-oil_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,31,"Table_2d._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2020/1AGOEA2020001.pdf,116,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Billions_of_Kwanzas,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,117,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,118,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_non-oil_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2020/1AGOEA2020001.pdf,119,"Table_2d._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2021/1AGOEA2021001.pdf,25,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Billions_of_kwanzas,_unless_otherwise_indicated)"
pdfs/Angola/2021/1AGOEA2021001.pdf,26,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_GDP)"
pdfs/Angola/2021/1AGOEA2021001.pdf,27,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_non-oil_GDP)"
pdfs/Angola/2021/1AGOEA2021001.pdf,28,"Table_2d._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2021/1AGOEA2021002.pdf,23,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Billions_of_kwanzas,_unless_otherwise_indicated)"
pdfs/Angola/2021/1AGOEA2021002.pdf,24,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2021/1AGOEA2021002.pdf,25,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2019–23_(Percent_of_non-oil_GDP,_unless_otherwise_indicated)"
pdfs/Angola/2021/1AGOEA2021002.pdf,26,"Table_2d._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2022/1AGOEA2022001.pdf,31,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2022/1AGOEA2022001.pdf,32,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2022/1AGOEA2022001.pdf,33,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Angola/2022/1AGOEA2022001.pdf,34,"Table_2d._Angola:_Statement_of_Central_Government_Operations,_2019–23_"
pdfs/Argentina/2018/cr18219.pdf,43,"Table_5._Argentina:_Consolidated_Public_Sector_Operations,_2011–23_"
pdfs/Argentina/2018/cr18219.pdf,44,"Table_6._Argentina:_Federal_Government_Operations,_2015–23_"
pdfs/Argentina/2018/cr18219.pdf,47,"Table_10._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(US$mn,_as_of_May_31,_2018)"
pdfs/Argentina/2018/cr18297-ArgentinaBundle.pdf,38,Table_3._Argentina:_Consolidated_Public_Sector_Operations_
pdfs/Argentina/2018/cr18297-ArgentinaBundle.pdf,39,Table_4._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2018/cr18297-ArgentinaBundle.pdf,45,Table_8._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(US$mn)_
pdfs/Argentina/2018/cr18374.pdf,30,Table_3._Argentina:_Consolidated_Public_Sector_Operations_
pdfs/Argentina/2018/cr18374.pdf,31,Table_4._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2018/cr18374.pdf,36,Table_8._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(US$mn)_
pdfs/Argentina/2019/1ARGEA2019003.pdf,35,Table_4._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2019/1ARGEA2019003.pdf,40,Table_8._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(US$mn)_
pdfs/Argentina/2019/1ARGEA2019004.pdf,35,Table_4._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2019/1ARGEA2019004.pdf,40,Table_8._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(US$mn)_
pdfs/Argentina/2021/1ARGEA2021001.pdf,,""
pdfs/Argentina/2022/1ARGEA2022001.pdf,60,Table_3a._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2022/1ARGEA2022001.pdf,61,Table_3b._Argentina:_Federal_Government_Operations_
pdfs/Argentina/2022/1ARGEA2022001.pdf,62,Table_4._Argentina:_General_Government_Operations_1_
pdfs/Argentina/2022/1ARGEA2022001.pdf,66,Table_7._Argentina:_Federal_Government_Gross_Financing_Needs_and_Sources_(in_millions_of_U.S._dollars)
"pdfs/Armenia, Republic of/2019/1ARMEA2019005.pdf",43,"Table_4a._Armenia:_Central_Government_Operations,_2016–23_(In_billions_of_Armenian_drams)"
"pdfs/Armenia, Republic of/2019/1ARMEA2019005.pdf",44,"Table_4b._Armenia:_Central_Government_Operations,_2016–23_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Armenia, Republic of/2019/1ARMEA2019007.pdf",28,"Table_3a._Armenia:_Central_Government_Operations,_2016–24_(In_billions_of_Armenian_drams)"
"pdfs/Armenia, Republic of/2019/1ARMEA2019007.pdf",29,"Table_3b._Armenia:_Central_Government_Operations,_2016–24_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Armenia, Republic of/2020/1ARMEA2020002.pdf",31,"Table_3a._Armenia:_Central_Government_Operations,_2017–25_(In_billions_of_Armenian_drams)"
"pdfs/Armenia, Republic of/2020/1ARMEA2020002.pdf",32,"Table_3b._Armenia:_Central_Government_Operations,_2017–25_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Armenia, Republic of/2020/1ARMEA2020003.pdf",31,"Table_3a._Armenia:_Central_Government_Operations,_2017–25_(In_billions_of_Armenian_drams)"
"pdfs/Armenia, Republic of/2020/1ARMEA2020003.pdf",32,"Table_3b._Armenia:_Central_Government_Operations,_2017–25_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Armenia, Republic of/2021/1ARMEA2021001.pdf",41,"Table_3a._Armenia:_Central_Government_Operations,_2018–26_(In_billions_of_Armenian_drams)"
"pdfs/Armenia, Republic of/2021/1ARMEA2021001.pdf",42,"Table_3b._Armenia:_Central_Government_Operations,_2018–26_(In_percent_of_GDP,_unless_otherwise_specified)"
"pdfs/Aruba, Kingdom of the Netherlands/2021/1ABWEA2021001.pdf",29,"Table_3a._Aruba:_Operations_of_the_Central_Government,_2016–2026_(In_percent_of_GDP,_unless_indicated_otherwise)"
"pdfs/Aruba, Kingdom of the Netherlands/2021/1ABWEA2021001.pdf",30,"Table_3b._Aruba:_Operations_of_the_Central_Government,_2016–2026_(In_millions_of_Aruban_florins,_unless_indicated_otherwise)"
pdfs/Australia/2018/cr1844.pdf,48,"Table_2._Australia:_Fiscal_Accounts,_201213-202223_(In_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Australia/2019/1AUSEA2019008.pdf,47,"Table_2._Australia:_Fiscal_Accounts,_201314-202324_(In_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Australia/2021/1AUSEA2021001.pdf,47,"Table_2._Australia:_Fiscal_Accounts,_201516-202526_(In_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Austria/2018/cr18272.pdf,27,"Table_2._Austria:_Fiscal_Accounts,_2015–23_(In_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Austria/2020/1AUTEA2020001.pdf,,""
pdfs/Austria/2021/1AUTEA2021001.pdf,33,"Table_3._Austria:_Fiscal_Accounts,_2018–26_1_(In_percent_of_GDP,_unless_otherwise_indicated)"
"pdfs/Azerbaijan, Republic of/2019/1AZEEA2019001.pdf",39,"Table_3a._Azerbaijan:_Statement_of_Consolidated_Government_Operations,_2017–24_(In_millions_of_manat)"
"pdfs/Azerbaijan, Republic of/2019/1AZEEA2019001.pdf",40,"Table_3b._Azerbaijan:_Statement_of_Consolidated_Government_Operations,_2017–24_(In_percent_of_non-oil_GDP)"
"pdfs/Azerbaijan, Republic of/2021/1AZEEA2021001.pdf",35,"Table_4._Azerbaijan:_Statement_of_Consolidated_Government_Operations,_2018–26_(In_millions_of_manat)"
"pdfs/Azerbaijan, Republic of/2021/1AZEEA2021001.pdf",36,"Table_5._Azerbaijan:_Statement_of_Consolidated_Government_Operations,_2018–26_(In_percent_of_non-oil_GDP)"
"pdfs/Bahamas, The/2019/1BHSEA2019001.pdf",33,Table_2._The_Bahamas:_Operations_of_the_Central_Government_1_
"pdfs/Bahamas, The/2020/1BHSEA2020001.pdf",17,Table_2a._The_Bahamas:_Operations_of_the_Central_Government_(In_millions_of_Bahamian_dollars)
"pdfs/Bahamas, The/2020/1BHSEA2020001.pdf",18,Table_2b._The_Bahamas:_Operations_of_the_Central_Government_(In_percent_of_GDP)
"pdfs/Bahamas, The/2021/1BHSEA2021001.pdf",31,"Table_2a._The_Bahamas:_Operations_of_the_Central_Government,_FY2018–26_(In_millions_of_Bahamian_dollars)"
"pdfs/Bahamas, The/2021/1BHSEA2021001.pdf",32,"Table_2b._The_Bahamas:_Operations_of_the_Central_Government,_FY2018–26_(In_percent_of_GDP)"
pdfs/Bangladesh/2018/cr18158.pdf,34,"Table_4._Bangladesh:_Central_Government_Operations,_FY2015–18_1_"
pdfs/Bangladesh/2018/cr18158.pdf,35,"Table_4._Bangladesh:_Central_Government_Operations,_FY2015–18_1_(Continued)"
pdfs/Bangladesh/2019/1BGDEA2019001.pdf,34,"Table_4._Bangladesh:_Central_Government_Operations,_FY2015–201_"
pdfs/Bangladesh/2019/1BGDEA2019001.pdf,35,"Table_4._Bangladesh:_Central_Government_Operations,_FY2015–201_(concluded)_"
pdfs/Bangladesh/2020/dsacr20187.pdf,26,"Table_4a._Bangladesh:_Central_Government_Operations,_FY2017–25_1_"
pdfs/Bangladesh/2020/dsacr20187.pdf,27,"Table_4b._Bangladesh:_Central_Government_Operations,_FY2017–25_1_"
pdfs/Bangladesh/2022/1BGDEA2022001.pdf,42,"Table_4a._Bangladesh:_Central_Government_Operations,_FY2017?26_1_(In_billions_of_Taka)"
pdfs/Bangladesh/2022/1BGDEA2022001.pdf,43,"Table_4b._Bangladesh:_Central_Government_Operations,_FY2017?26_1_(In_percent_of_GDP)"
pdfs/Barbados/2018/cr18133-BarbadosBundle.pdf,38,"Table_2a._Barbados:_Central_Government_Operations,_2014–23_1_(In_millions_of_Barbados_dollars)"
pdfs/Barbados/2018/cr18133-BarbadosBundle.pdf,39,"Table_2b._Barbados:_Central_Government_Operations,_2014–23_1_(In_percent_of_GDP,_unless_otherwise_indicated)"
pdfs/Barbados/2018/cr18290.pdf,35,"Table_2a._Barbados:_Central_Government_Operations,_FY_2015–24_(in_millions_of_Barbados_dollars)_1"
pdfs/Barbados/2018/cr18290.pdf,36,"Table_2b._Barbados:_Central_Government_Operations,_FY_2015–24_(in_percent_of_GDP)_1"
pdfs/Barbados/2019/1BRBEA2019001.pdf,29,"Table_2a._Barbados:_Central_Government_Operations,_201617–202425_(in_millions_of_Barbados_dollars)_1"
pdfs/Barbados/2019/1BRBEA2019001.pdf,30,"Table_2b._Barbados:_Central_Government_Operations,_201617–202425_(in_percent_of_GDP,_unless_otherwise_indicated)_1"
pdfs/Barbados/2019/1BRBEA2019002.pdf,40,"Table_2a._Barbados:_Central_Government_Operations,_201617–202425_(In_Millions_of_Barbados_dollars)_1"
pdfs/Barbados/2019/1BRBEA2019002.pdf,41,"Table_2b._Barbados:_Central_Government_Operations,_201617–202425_(In_percent_of_GDP,_unless_otherwise_indicated)_1"
pdfs/Barbados/2020/1BRBEA2020001.pdf,27,"Table_2a._Barbados:_Central_Government_Operations,_201718–202526_(In_Millions_of_Barbados_dollars)_1"
pdfs/Barbados/2020/1BRBEA2020001.pdf,28,"Table_2b._Barbados:_Central_Government_Operations,_201718–202526_(In_percent_of_FY_GDP,_unless_otherwise_indicated)_1"
pdfs/Barbados/2020/1BRBEA2020002.pdf,24,"Table_2a._Barbados:_Central_Government_Operations,_20182019–20252026_(In_millions_of_Barbados_dollars)_1"
pdfs/Barbados/2020/1BRBEA2020002.pdf,25,"Table_2b._Barbados:_Central_Government_Operations,_20182019–20252026_(In_percent_of_FY-GDP,_unless_otherwise_indicated)_1"
pdfs/Barbados/2021/1BRBEA2021001.pdf,25,"Table_2a._Barbados:_Central_Government_Operations,_20182019–20262027_(In_millions_of_Barbados_dollars)_1"
pdfs/Barbados/2021/1BRBEA2021001.pdf,26,"Table_2b._Barbados:_Central_Government_Operations,_20182019–20262027_(In_percent_of_FY-GDP,_unless_otherwise_indicated)_1"
pdfs/Barbados/2021/1BRBEA2021002.pdf,41,"Table_2a._Barbados:_Central_Government_Operations,_20182019–20262027_(In_millions_of_Barbados_dollars)_1"
pdfs/Barbados/2021/1BRBEA2021002.pdf,42,"Table_2b._Barbados:_Central_Government_Operations,_20182019–20262027_(In_percent_of_FY-GDP,_unless_otherwise_indicated)_1"
pdfs/Belgium/2018/cr1871.pdf,31,"Table_5._Belgium:_General_Government_Statement_of_Operations,_2014-23_"
pdfs/Belgium/2019/1BELEA2019001.pdf,29,"Table_3._Belgium:_General_Government_Statement_of_Operations,_2015-24_"
pdfs/Belgium/2020/1BELEA2020001.pdf,30,"Table_3._Belgium:_General_Government_Statement_of_Operations,_2018-25_"
pdfs/Belgium/2021/1BELEA2021001.pdf,38,"Table_5._Belgium:_General_Government_Statement_of_Operations,_2019-26_"
pdfs/Belize/2018/cr18327-BelizeBundle.pdf,31,Table_2a._Belize:_Operations_of_the_Central_Government_1_2_(In_millions_of_Belize_dollars)
pdfs/Belize/2018/cr18327-BelizeBundle.pdf,32,Table_2b._Belize:_Operations_of_the_Central_Government_1_2_(In_percent_of_GDP;_unless_otherwise_indicated)
pdfs/Belize/2019/1BLIZEA2019001.pdf,30,Table_2a._Belize:_Operations_of_the_Central_Government_1_2_(In_millions_of_Belize_dollars)
pdfs/Belize/2019/1BLIZEA2019001.pdf,31,Table_2b._Belize:_Operations_of_the_Central_Government_1_2_(In_percent_of_GDP;_unless_otherwise_indicated)
pdfs/Belize/2021/1BLZEA2021001.pdf,25,"Table_2a._Belize:_Operation_of_the_Central_Government_12_(In_millions_of_Belize_dollars,_unless_otherwise_indicated)"
pdfs/Belize/2021/1BLZEA2021001.pdf,26,Table_2b._Belize:_Operations_of_the_Central_Government_12_(In_percent_of_GDP;_unless_otherwise_indicated)
pdfs/Belize/2022/1BLZEA2022001.pdf,26,"Table_2a._Belize:_Operations_of_the_Central_Government_12_(In_millions_of_Belize_dollars,_unless_otherwise_indicated)"
pdfs/Belize/2022/1BLZEA2022001.pdf,27,Table_2b._Belize:_Operations_of_the_Central_Government_1_2_(In_percent_of_GDP;_unless_otherwise_indicated)
pdfs/Benin/2018/cr1801.pdf,39,"Table_4._Benin:_Consolidated_Central_Government_Operations,_2014–22_(Billions_of_CFA_francs)"
pdfs/Benin/2018/cr1801.pdf,40,"Table_5._Benin:_Consolidated_Central_Government_Operations,_2014–22_(Percent_of_GDP)"
pdfs/Benin/2018/cr1801.pdf,41,"Table_6._Benin:_Consolidated_Central_Government_Operations,_2016–18_"
pdfs/Benin/2020/dsacr20175.pdf,28,"Table_4._Benin:_Consolidated_Central_Government_Operations,_2018-25_(CFAF_billion)"
pdfs/Benin/2020/dsacr20175.pdf,29,"Table_5._Benin:_Consolidated_Central_Government_Operations,_2018-25_(Percent_of_GDP)"
pdfs/Benin/2021/1BENEA2021001.pdf,27,"Table_2._Benin:_Consolidated_Central_Government_Operations,_2018-25_(CFAF_billion)"
pdfs/Benin/2021/1BENEA2021001.pdf,28,"Table_3._Benin:_Consolidated_Central_Government_Operations,_2018-25_(Percent_of_GDP)"
pdfs/Bhutan/2018/cr18300.pdf,26,"Table_2._Bhutan:_Government_Budget_Summary,_201213–202223_"
pdfs/Bolivia/2018/cr18379.pdf,33,Table_3._Bolivia:_Operations_of_the_Combined_Public_Sector_1_(In_percent_of_GDP_unless_otherwise_specified)
pdfs/Bolivia/2018/cr18379.pdf,34,Table_4._Bolivia:_Non-Financial_Public_Sector_Total_Debt_(In_percent_of_GDP_unless_otherwise_specified)
pdfs/Bolivia/2020/1BOLEA2020001.pdf,14,"Table_2._Bolivia:_Operations_of_the_Combined_Public_Sector_1_(In_percentage_of_GDP,_unless_otherwise_indicated)"
pdfs/Bolivia/2021/1BOLEA2021001.pdf,34,"Table_3a._Bolivia:_Operations_of_the_Combined_Public_Sector,_2019–2026_1_(Bs_million)"
pdfs/Bolivia/2021/1BOLEA2021001.pdf,35,"Table_3b._Bolivia:_Operations_of_the_Combined_Public_Sector,_2019–2026_1_(Percent_of_GDP)"
pdfs/Bolivia/2021/1BOLEA2021001.pdf,36,"Table_4._Bolivia:_Non-Financial_Public_Sector_Debt,_2012–2019_"
pdfs/Bosnia and Herzegovina/2018/cr1839-BosniaHerzBundle.pdf,35,"Table_4._Bosnia_and_Herzegovina:_General_Government_Statement_of_Operations,_2013–22_(In_percent_of_GDP)"
pdfs/Bosnia and Herzegovina/2018/cr1839-BosniaHerzBundle.pdf,36,"Table_5a._Bosnia_and_Herzegovina:_General_Government_Statement_of_Operations,_2013–18_(KM_million)"
pdfs/Bosnia and Herzegovina/2018/cr1839-BosniaHerzBundle.pdf,38,"Table_5c._Federation_of_Bosnia_and_Herzegovina:_General_Government_Statement_of_Operations,_2013–18_1_(KM_million)"
pdfs/Bosnia and Herzegovina/2018/cr1839-BosniaHerzBundle.pdf,40,"Table_5e._Republika_Srpska:_General_Government_Statement_of_Operations,_2013–18_1_(KM_million)"
pdfs/Bosnia and Herzegovina/2018/cr1839-BosniaHerzBundle.pdf,41,"Table_5f._Republika_Srpska:_Consolidated_Central_Government_Statement_of_Operation,_"
pdfs/Bosnia and Herzegovina/2020/1BIHEA2020002.pdf,14,"Table_4a._Bosnia_and_Herzegovina:_General_Government_Statement_of_Operations,_2017–25_(In_percent"
pdfs/Bosnia and Herzegovina/2020/1BIHEA2020002.pdf,15,"Table_4b._Bosnia_and_Herzegovina:_General_Government_Statement_of_Operations,_2017–25_(KM"
pdfs/Bosnia and Herzegovina/2020/1BIHEA2020002.pdf,16,"Table_4c._Bosnia_and_Herzegovina:_Government_Statement_of_Operations,_2019–20_(In_percent_of_GDP)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,33,"Table_4a._Bosnia_and_Herzegovina:_Government_Statement_of_Operations,_2017–25_(Percent_of_GDP)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,34,"Table_4b._Bosnia_and_Herzegovina:_Government_Statement_of_Operations,_2017–25_(KM_million)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,35,"Table_4c._Bosnia_and_Herzegovina:_Entity_Governments_Statement_of_Operations,_2019–21_(Percent_of_respective_GDP)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,36,"Table_5a._Institutions_of_BiH:_Statement_of_Government_Operations,_2017–25_(KM_million)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,37,"Table_5b._Federation_of_BiH:_Statement_of_General_Government_Operations,_2017–25_(KM_million)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,38,"Table_5c._Federation_of_BiH:_Statement_of_Central_Government_Operations,_2017–25_(KM_million)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,39,"Table_5d._Republika_Srpska:_Statement_of_General_Government_Operations,_2017–25_(KM_million)"
pdfs/Bosnia and Herzegovina/2021/1BIHEA2021001.pdf,40,"Table_5e._Republika_Srpska:_Statement_of_Central_Government_Operations,_2017–25_(KM_million)"
pdfs/Botswana/2018/cr18268.pdf,30,"Table_3a._Botswana:_Central_Government_Operations,_201415–2023241_(Billions_of_pula)"
pdfs/Botswana/2018/cr18268.pdf,31,"Table_3b._Botswana:_Central_Government_Operations,_201415–2023241_(Percent_of_GDP)"
pdfs/Botswana/2018/cr18268.pdf,32,"Table_3c._Botswana:_Central_Government_Operations,_201415–2023241_(Percent_of_non-mineral_GDP)"
pdfs/Botswana/2020/1BWAEA2020002.pdf,34,"Table_3a._Botswana:_Central_Government_Operations,_201415–2025261_(Billions_of_pula)"
pdfs/Botswana/2020/1BWAEA2020002.pdf,35,"Table_3b._Botswana:_Central_Government_Operations,_201415–2025261_(Percent_of_GDP)"
pdfs/Botswana/2020/1BWAEA2020002.pdf,36,"Table_3c._Botswana:_Central_Government_Operations,_201415–2025261_(Percent_of_non-mineral_GDP)"
pdfs/Botswana/2021/1BWAEA2021001.pdf,32,"Table_3a._Botswana:_Central_Government_Operations,_201516–2627_1_(Billions_of_pula)"
pdfs/Botswana/2021/1BWAEA2021001.pdf,33,"Table_3b._Botswana:_Central_Government_Operations,_201516–202627_1_(Percent_of_GDP)"
